fishing_fraction,mmsi,Vessel Identity,Notes,nn_times_classified_all,nn_number_max_labels_all,nn_average_length_all,nn_max_label_all,nn_max_score_all,nn_max_label_fishing_all,nn_max_fishing_score_all,nn_max_sublabel_all,nn_max_sub_score_all,nn_max_sublabel_fishing_all,nn_max_sub_fishing_score_all,positions,active_positions,active_hours,fishing_points,num_A,num_B,iso3,country_name,average_length,avg_num_distinct_lengths,avg_width,number_valid_length_messages,gap_hours,num_gaps,training_label,training_sublabel,training_length,training_listsources,spoofing_hours,num_overlapping_segs
0.09784206503204562,577132000,Reefer,,6,1,117.30831146240234,Reefer,0.9993058939774832,Purse_seines,2.48874557666016E-7,Reefer,0.9993449747562408,Purse_seines,3.038535183463864E-7,63162,51021,11600.403194444505,4992,38648,0,VUT,Vanuatu,134.0,1.0,20.0,14158,80.00555555555556,3,Reefer,,134.157142857,reefer_fishing,7090.531666666667,9
0.06706432371433177,760000370,Trawlers,,1,1,78.16329956054688,Reefer,0.9982648491859436,Trawlers,0.0010275145759806037,Reefer,0.998902440071106,Trawlers,2.669795067049563E-4,10093,6203,4591.509444444447,416,7919,0,PER,Peru,38.0,1.0,8.0,644,2117.9341666666664,7,,,,,3.450277777777778,1
0.003217848332081948,341064000,Trawlers,,1,1,127.22242736816406,Reefer,0.9966496825218201,Trawlers,7.68481925206288E-7,Reefer,0.9967768788337708,Trawlers,6.148159172880696E-7,19285,18646,385149.7790277778,60,18624,0,KNA,Saint Kitts and Nevis,104.99687575102139,2.0,16.004446046623407,9317,,,,,,,856549.4299999996,3917
0.03747072599531616,412321992,no_idea_what_it_is,,1,1,60.12992477416992,Reefer,0.9950152039527893,Trawlers,5.561070283874869E-4,Reefer,0.9949359893798828,Trawlers,3.5216769902035594E-4,956,854,818.2709722222223,32,564,0,CHN,China,30.0,1.0,8.663712011903769,614,17138.108611111107,16,,,,,,
0.007878105791706346,229705000,Reefer,,4,1,103.54364013671875,Reefer,0.993632972240448,Trawlers,6.35725214443994E-5,Reefer,0.99460369348526,Trawlers,3.8762896778621325E-5,14824,11551,5928.761249999982,91,1986,0,MLT,Malta,118.0,1.0,17.003187943776265,6901,386.2452777777778,8,Reefer,,117.27,reefer_fishing,3622.9958333333334,10
0.08945032434277911,577105000,Reefer,,8,1,115.8185806274414,Reefer,0.9931806027889252,Purse_seines,7.604522595341164E-8,Reefer,0.9932156875729561,Purse_seines,2.1631372145076728E-7,122405,87870,16436.31347222219,7860,88407,0,VUT,Vanuatu,120.00149725503243,1.25,16.00027033771419,38061,1401.7677777777776,28,Reefer,,120.75,reefer_fishing,501.5711111111111,1
0.0656,150203453,no_idea_what_it_is,,1,1,69.25556945800781,Reefer,0.9930692911148071,Trawlers,7.123482646420598E-5,Reefer,0.991787850856781,Trawlers,2.9976956284372136E-5,910,625,627.3476388888889,41,124,0,,Invalid MMSI,,,,,8313.280833333332,7,,,,,,
0.09223674096848578,341379000,Trawlers,,1,1,76.61299133300781,Reefer,0.9908463358879089,Trawlers,5.912510096095502E-4,Reefer,0.9934775829315186,Trawlers,3.847407060675323E-4,2228,1301,1352.1012500000002,120,193,0,KNA,Saint Kitts and Nevis,35.0,1.0,8.0,390,486.87222222222226,6,,,,,0.24333333333333335,2
0.09465663419229439,576277000,Reefer,,9,1,97.72801038953993,Reefer,0.9904974301656088,Purse_seines,1.9681086816171324E-5,Reefer,0.9906102021535238,Purse_seines,1.95530805950423E-5,104611,83861,19452.617638888805,7938,92360,0,VUT,Vanuatu,95.99789268092105,1.25,13.999743009868421,27439,1554.2258333333334,25,Reefer,,95.92,reefer_fishing,,
0.09318025032029172,577169000,Reefer,,4,1,107.00307846069336,Reefer,0.9841359853744507,Purse_seines,7.563657684919178E-4,Reefer,0.9861628711223602,Purse_seines,7.598955804937191E-4,35246,20294,6339.183888888887,1891,20344,0,VUT,Vanuatu,124.0,1.0,18.0,12569,365.04638888888894,7,Reefer,,121.73333333299999,reefer_fishing,,
0.01692782797666705,577324000,Reefer,,3,1,111.37332661946614,Reefer,0.9793691635131836,Trawlers,2.7925497410781947E-7,Reefer,0.9798516035079956,Trawlers,7.075484731444703E-7,12611,8743,4430.846388888879,148,7776,0,VUT,Vanuatu,121.0,1.0,17.0,2334,243.2211111111111,5,Reefer,,120.7,reefer_fishing,,
0.016974789915966387,650766201,Cargo,,1,1,71.54995727539062,Reefer,0.9787179231643677,Purse_seines,7.915568421594799E-4,Reefer,0.9795541763305664,Purse_seines,6.114394636824727E-4,8270,5950,5925.830694444447,101,3651,0,MOZ,Mozambique,60.0,1.0,13.0,180,9553.482500000002,33,Purse seines,,,kristina_fishing,,
0.05495689655172414,412443601,no_idea_what_it_is,listed as fishing,1,1,79.98080444335938,Reefer,0.9776460528373718,Trawlers,1.1602438462432474E-4,Reefer,0.9759441614151001,Trawlers,5.8500238083070144E-5,2176,1856,860.2949999999997,102,0,0,CHN,China,61.0,1.0,9.0,1931,86.67333333333333,3,,,,,,
0.08916883526535763,576397000,Reefer,,8,1,82.9577407836914,Reefer,0.9742438197135925,Trawlers,0.003077540498907183,Reefer,0.9753459990024567,Trawlers,0.0026590554335896854,65524,50724,16848.122222222235,4523,51149,0,VUT,Vanuatu,94.0,1.0,14.0,25823,1630.9619444444447,22,Reefer,,94.98,reefer_fishing,617.8897222222222,1
0.0,677018800,Reefer,,6,1,69.72948964436848,Reefer,0.9705608288447062,Trawlers,0.0018961910379099816,Reefer,0.9700495600700378,Trawlers,0.0012830395856629668,3449,112,56.94472222222221,0,0,0,TZA,Tanzania,48.0,1.0,8.0,11623,,,,,,,,
0.0,600012237,no_idea_what_it_is,,1,1,65.63121032714844,Reefer,0.970356285572052,Trawlers,2.406118146609515E-4,Reefer,0.9679298996925354,Trawlers,1.4751187700312585E-4,1489,560,281.0279166666667,0,868,0,,Invalid MMSI,94.0,1.0,35.0,19,87.98,1,,,,,,
0.011601596247994405,576270000,Reefer,,8,1,108.9305534362793,Reefer,0.9698927402496338,Purse_seines,1.0511529321965973E-6,Reefer,0.9695808812975883,Purse_seines,3.879417725061174E-6,29622,24307,17347.03013888892,282,22857,0,VUT,Vanuatu,117.93961648306815,1.3333333333333333,14.681354549163606,4669,2099.8219444444444,28,Reefer,,113.37,reefer_fishing,10930.779166666667,8
0.08340807174887892,150201039,no_idea_what_it_is,listed as fishing,1,1,71.02816772460938,Reefer,0.9642763137817383,Trawlers,4.8801704542711377E-4,Reefer,0.9600353240966797,Trawlers,2.8654004563577473E-4,1225,1115,2038.8065277777778,93,600,0,,Invalid MMSI,,,,,9585.552222222223,27,,,,,,
0.014457174031642117,412331152,no_idea_what_it_is,listed as fishing,1,1,83.65458679199219,Reefer,0.9635826945304871,Trawlers,3.4721242263913155E-4,Reefer,0.9563959240913391,Trawlers,4.0386294131167233E-4,4164,3666,1110.011249999998,53,0,0,CHN,China,45.0,1.0,8.0,1859,,,,,,,,
0.053213545266067724,664576000,Trawlers,,1,1,109.17893981933594,Reefer,0.9626351594924927,Purse_seines,3.193080374330748E-6,Reefer,0.9639419913291931,Purse_seines,1.687811891315505E-5,3090,1447,640.6413888888881,77,998,0,SYC,Seychelles,100.0,1.0,16.0,776,4348.457222222222,4,,,,,,
0.033231474407944994,667001591,Trawlers,,1,1,108.87446594238281,Reefer,0.9585772156715393,Trawlers,1.3885990028938977E-6,Reefer,0.9594854116439819,Trawlers,3.2949030810414115E-6,5479,2618,1044.6516666666666,87,1148,0,SLE,Sierra Leone,60.0,1.0,14.0,2167,118.50416666666666,2,,,,,61.74611111111111,1
0.0,413000551,Trawlers,,1,1,54.9207763671875,Reefer,0.9554692506790161,Trawlers,4.691377398557961E-4,Reefer,0.9554537534713745,Trawlers,1.893747685244307E-4,789,760,1143.0804166666667,0,304,0,CHN,China,30.869148936170212,2.0,6.091489361702128,940,,,,,,,,
0.02118380062305296,273338020,Trawlers,found on FAO,1,1,80.05744934082031,Reefer,0.9510570764541626,Trawlers,7.571005844511092E-4,Reefer,0.9539538025856018,Trawlers,5.129245691932738E-4,11132,6420,2275.949583333334,136,1739,0,RUS,Russia,59.0,1.0,10.0,2713,8391.751944444444,9,,,,,177.45083333333335,7
