mmsi,country_name,Search,Manual Label,Notes,Person,nn_times_classified_all,nn_number_max_labels_all,nn_average_length_all,nn_max_label_all,nn_max_score_all,nn_max_label_fishing_all,nn_max_fishing_score_all,nn_max_sublabel_all,nn_max_sub_score_all,nn_max_sublabel_fishing_all,nn_max_sub_fishing_score_all,positions,active_positions,active_hours,fishing_points,num_A,num_B,iso3,,average_length,avg_num_distinct_lengths,avg_width,number_valid_length_messages,gap_hours,num_gaps,training_label,training_sublabel,training_length,training_listsources,spoofing_hours,num_overlapping_segs,fishing_fraction
316018756,Canada,https://www.google.com/search?q=mmsi%20316018756,pleasure ,https://sd.ic.gc.ca/pls/engdoc_anon/mmsi_search.Ship_Search_Single?inMMSI=316018756&invesname=ade&inname=&oinmmsi=&incallsign=&invesid=&ininmarsat=,VL,2,1,-6.9897356033325195,Passenger,0.9986761212348938,Trawlers,5.566517131683213E-7,Sailing,0.9947901368141174,Trawlers,2.0181746549496893E-6,10769,6183,1952.0920833333337,465,5566,0,CAN,,19.0,1.0,5.0,3876,,,,,,,,,0.07520621057738962
316026746,Canada,https://www.google.com/search?q=mmsi%20316026746,Troller,,VL,1,1,19.16187858581543,Passenger,0.9949787259101868,Trawlers,2.7809276161860907E-6,Sailing,0.9948528409004211,Trawlers,6.6356692514091264E-6,3424,2361,2554.110833333333,23,122,0,CAN,,12.0,1.0,4.0,2773,2833.238611111111,13,,,,,,,0.009741634900465904
316003331,Canada,https://www.google.com/search?q=mmsi%20316003331,Trawlers,,VL,1,1,11.298900604248047,Cargo_Tanker,0.9909245371818542,Trawlers,9.812270582187921E-5,Cargo,0.560462474822998,Trawlers,9.905036131385714E-5,40850,5116,1158.076111111112,240,0,0,CAN,,,,,,,,,,,,,,0.04691164972634871
316023819,Canada,https://www.google.com/search?q=mmsi%20316023819,,http://www.nauticapedia.ca/dbase/Query/Shiplist4.php?&name=Discovery%20Dawn&id=4490,VL,3,1,5.3316545486450195,Cargo_Tanker,0.9903563459714254,Trawlers,4.5269849124451866E-5,Cargo,0.5219470163186392,Trawlers,4.3542309110004375E-5,38865,5533,1034.914583333331,376,0,0,CAN,,21.0,1.0,5.0,13573,,,,,,,,,0.06795590095788903
316002538,Canada,https://www.google.com/search?q=mmsi%20316002538,unknown_fishing,reckeck with Bjorn ,VL,2,1,12.548897504806519,Passenger,0.9765329360961914,Trawlers,0.0015776515938341618,Sailing,0.9571138918399811,Trawlers,0.0019291954231448472,3895,1480,1302.1811111111115,120,0,0,CAN,,12.0,1.0,3.0,1034,,,,,,,,,0.08108108108108109
316016225,Canada,https://www.google.com/search?q=mmsi%20316016225,Purse_seines,is it a difference among seine and purse-seiner,VL,3,1,14.414108912150065,Cargo_Tanker,0.9521655440330505,Trawlers,0.013915429322044778,Cargo,0.6349723140398661,Trawlers,0.012452705568193778,16826,3860,1139.3020833333335,110,5403,0,CAN,,18.0,1.0,4.0,5183,,,Trawlers,,,kristina_fishing,1457.9555555555555,2,0.02849740932642487
412419212,China,https://www.google.com/search?q=mmsi%20412419212,unknown_fishing,no enouth info ,VL,1,1,-7.014970779418945,Passenger,0.9999997615814209,Trawlers,4.0080969654354703E-8,Sailing,1.0,Trawlers,1.4335294729050929E-8,4999,4969,3501.731666666668,2,82,0,CHN,,15.0,1.0,4.0,119,,,,,,,,,4.024954719259408E-4
413790484,China,https://www.google.com/search?q=mmsi%20413790484,no_idea_what_it_is,no enouth info ,VL,2,1,13.497095108032227,Cargo_Tanker,0.9999995827674866,Trawlers,6.845936794883101E-12,Cargo,0.971455454826355,Trawlers,5.314354642113606E-12,17765,7732,1803.1141666666667,13,4720,0,CHN,,42.0,1.0,6.028093969484137,4129,,,,,,,40.04833333333333,2,0.0016813243662700465
413484060,China,https://www.google.com/search?q=mmsi%20413484060,Cargo,not 100% sure,VL,1,1,-3.6766366958618164,Cargo_Tanker,0.9999992847442627,Trawlers,1.5511539275259167E-10,Cargo,0.9046532511711121,Trawlers,7.161275045186599E-11,1936,1218,1684.0600000000002,13,0,0,CHN,,67.0,1.0,13.0,746,,,,,,,,,0.010673234811165846
412201456,China,https://www.google.com/search?q=mmsi%20412201456,no_idea_what_it_is,,VL,2,1,-1.2724814414978027,Passenger,0.9999985694885254,Trawlers,9.166875803356608E-11,Sailing,0.9999985098838806,Trawlers,3.2418861193629633E-10,5244,1948,1484.4565277777774,0,1377,0,CHN,,25.0,1.0,6.0,2425,,,,,,,,,0.0
