mmsi,Expert Label,Notes,nn_times_classified,nn_number_max_labels,nn_average_length,nn_stddev_length,nn_max_label,nn_max_score,nn_max_label_fishing,nn_max_fishing_score,nn_max_sublabel,nn_max_sub_score,nn_max_sublabel_fishing,nn_max_sub_fishing_score,nn_times_classified_all,nn_number_max_labels_all,nn_average_length_all,nn_stdev_length_all,nn_max_label_all,nn_max_score_all,nn_max_label_fishing_all,nn_max_fishing_score_all,nn_max_sublabel_all,nn_max_sub_score_all,nn_max_sublabel_fishing_all,nn_max_sub_fishing_score_all,positions,active_positions,active_hours,fishing_points,num_A,num_B,iso3,country_name,average_length,stddev_length,number_distinct_lengths,avg_width,number_valid_length_messages,shipname,num_shipnames,imo,num_imos,callsign,num_callsign,gap_hours,num_gaps,training_label,training_sublabel,training_length,training_listsources,spoofing_hours,num_overlapping_segs
416001838,Drifting_longlines,VL,3,1,29.45101038614909,3.9347239870907447,Trawlers,0.5610535244146982,Trawlers,0.5610535244146982,Trawlers,0.5686349868774414,Trawlers,0.5686349868774414,5,2,30.215191650390626,3.002261856287753,Trawlers,0.6057032704353332,Trawlers,0.6057032704353332,Trawlers,0.6144875824451447,Trawlers,0.6144875824451447,28126,20831,6863.137500000012,12468,851,0,TWN,Taiwan,28.0,0.0,1,6.0,3078,FENG CUO NO.668,3,,,BJ4731,2,136.38777777777779,4,,,,,677.9555555555555,2
664544000,Drifting_longlines,VL,3,2,44.33275604248047,4.161739297220519,Trawlers,0.5480972249060869,Trawlers,0.5480972249060869,Trawlers,0.5452976665110327,Trawlers,0.5452976665110327,4,2,45.53458499908447,4.162245469584957,Trawlers,0.6601431309245527,Trawlers,0.6601431309245527,Trawlers,0.658066827149014,Trawlers,0.658066827149014,40596,38200,83048.75805555553,21259,38221,0,SYC,Seychelles,51.0,0.0,1,10.0,4049,HSIANG FA NO.18,2,,,S7SC,1,,,,,,,865875.2700000022,1648
416116500,multiple gear listed ,VL,3,2,52.65524546305338,2.2747853426456306,Trawlers,0.5417622551321983,Trawlers,0.5417622551321983,Trawlers,0.5317973472798864,Trawlers,0.5317973472798864,3,2,52.65524546305338,2.2747853426456306,Trawlers,0.5417622551321983,Trawlers,0.5417622551321983,Trawlers,0.5317973472798864,Trawlers,0.5317973472798864,27741,25223,6589.242777777772,9697,19449,0,TWN,Taiwan,47.974785992217896,0.6732658794165702,2,7.997198443579767,6425,WIN  FAR  878,2,,,BI-2572,2,1357.5058333333336,4,,,,,2442.768611111111,15
664268000,Purse_seines,VL,2,2,56.57510185241699,5.334016133394694,Trawlers,0.538530558347702,Trawlers,0.538530558347702,Trawlers,0.5280893296003342,Trawlers,0.5280893296003342,3,2,52.24728139241537,8.391421444408781,Trawlers,0.6433447202046713,Trawlers,0.6433447202046713,Trawlers,0.6348793009916941,Trawlers,0.6348793009916941,6834,2456,1032.2856944444443,325,4939,0,SYC,Seychelles,80.0,0.0,1,14.0,1378,TXORI AUNDI,1,8208531,1,S7SZ,1,5636.608333333332,20,,,,,,
416011800,unknown_fishing,VL,2,2,41.865440368652344,0.2065289985974472,Trawlers,0.5174701698124409,Trawlers,0.5174701698124409,Trawlers,0.5171122550964355,Trawlers,0.5171122550964355,2,2,41.865440368652344,0.2065289985974472,Trawlers,0.5174701698124409,Trawlers,0.5174701698124409,Trawlers,0.5171122550964355,Trawlers,0.5171122550964355,6847,1860,6501.853888888888,553,290,0,TWN,Taiwan,45.0,0.0,1,8.0,2462,SHANG YANG,3,,,BH3268,1,1705.5750000000003,43,,,,,382.7161111111111,1
416826000,Drifting_longlines,VL,3,2,47.482234954833984,2.3619129804972716,Trawlers,0.5007570075492064,Trawlers,0.5007570075492064,Drifting_longlines,0.5043489893262935,Drifting_longlines,0.5043489893262935,4,2,47.77383804321289,2.0147501241848342,Trawlers,0.5990134244784713,Trawlers,0.5990134244784713,Trawlers,0.5895930323749781,Trawlers,0.5895930323749781,14867,10777,5555.712777777787,7579,2,0,TWN,Taiwan,50.0,0.0,1,10.0,772,JAIN HSUAN NO.202,2,,,BI2507,2,2359.565,11,,,,,0.12027777777777778,1
416002496,Drifting_longlines,VL,3,2,31.791749318440754,2.474703462678268,Trawlers,0.49729084968566895,Trawlers,0.49729084968566895,Trawlers,0.49746182560920715,Trawlers,0.49746182560920715,3,2,31.791749318440754,2.474703462678268,Trawlers,0.49729084968566895,Trawlers,0.49729084968566895,Trawlers,0.49746182560920715,Trawlers,0.49746182560920715,1736,1736,6293.769444444446,555,0,0,TWN,Taiwan,,,,,,CHUAN HSING FA NO10,1,,,BJ4808,1,1672.954722222222,38,,,,,,
567025800,Drifting_longlines,VL,2,2,28.88919734954834,11.046241226586746,Trawlers,0.49072650537709706,Trawlers,0.49072650537709706,Trawlers,0.4911098377488088,Trawlers,0.4911098377488088,2,2,28.88919734954834,11.046241226586746,Trawlers,0.49072650537709706,Trawlers,0.49072650537709706,Trawlers,0.4911098377488088,Trawlers,0.4911098377488088,9976,2276,2612.825972222222,1145,0,0,THA,Thailand,46.0,0.0,1,9.0,2471,MOOK ANDAMAN NO.18,2,,,HSB2691,1,4587.781944444445,7,,,,,,
416002235,Drifting_longlines,VL,3,2,34.34105428059896,4.834044832026056,Trawlers,0.4874676689505577,Trawlers,0.4874676689505577,Trawlers,0.5025510787963867,Trawlers,0.5025510787963867,4,3,31.93411922454834,6.225110848935954,Trawlers,0.4804083276540041,Trawlers,0.4804083276540041,Trawlers,0.5531875193119049,Trawlers,0.5531875193119049,6148,3518,6935.32902777778,1346,0,0,TWN,Taiwan,,,,,,SAN SHENGSHIANGNO268,4,,,BJ4775,2,1339.0663888888887,40,,,,,1668.5913888888888,1
312000125,longline - don't know if set or longline,VL,2,2,23.056986808776855,12.23444517980587,Trawlers,0.47132775094360113,Trawlers,0.47132775094360113,Trawlers,0.47799570485949516,Trawlers,0.47799570485949516,2,2,23.056986808776855,12.23444517980587,Trawlers,0.47132775094360113,Trawlers,0.47132775094360113,Trawlers,0.47799570485949516,Trawlers,0.47799570485949516,1859,1724,4281.122083333334,798,0,0,BLZ,Belize,,,,,,YU LONG NO.125,3,,,,1,5293.91138888889,51,,,,,,
416002875,longline - don't know if set or longline,VL,2,2,31.410962104797363,1.2045758122294843,Trawlers,0.47027526795864105,Trawlers,0.47027526795864105,Trawlers,0.4760184809565544,Trawlers,0.4760184809565544,2,2,31.410962104797363,1.2045758122294843,Trawlers,0.47027526795864105,Trawlers,0.47027526795864105,Trawlers,0.4760184809565544,Trawlers,0.4760184809565544,5772,2808,3052.8019444444453,1463,790,0,TWN,Taiwan,28.725987035945785,0.8645207977472209,2,6.0,1697,RUEY I SHYANG NO.6,3,,,BJ4892,3,5526.189722222222,21,,,,,,
416225500,Drifting_longlines,VL,3,2,30.70061683654785,1.8308231255588832,Trawlers,0.46378494473174214,Trawlers,0.46378494473174214,Trawlers,0.4728251467458904,Trawlers,0.4728251467458904,4,2,31.329159259796143,1.9531695239649496,Trawlers,0.5903444377472624,Trawlers,0.5903444377472624,Trawlers,0.5977900155121461,Trawlers,0.5977900155121461,9988,3334,4954.628194444448,1883,180,0,TWN,Taiwan,29.0,0.0,1,6.0,3052,CHANG YING NO.868,3,,,BJ4961,2,501.72694444444437,9,,,,,,
635000300,longline - don't know if set or longline,VL,3,2,70.82935587565105,4.347405506361167,Trawlers,0.38055649151404697,Trawlers,0.38055649151404697,Purse_seines,0.3494093914826711,Purse_seines,0.3494093914826711,9,3,69.41615380181207,4.282455412840346,Trawlers,0.5139095308323804,Trawlers,0.5139095308323804,Trawlers,0.47470890755196,Trawlers,0.47470890755196,97688,84121,4393.714166666603,53232,92191,0,ATF,French Southern and Antarctic Lands,55.0,0.0,1,11.0,6908,ILE BOURBON,1,9245421,1,FOSP,1,,,,,,itu_fishing,2489.5522222222226,2
645221000,unknown_fishing,VL,1,1,33.958065032958984,,Trawlers,0.34827494621276855,Trawlers,0.34827494621276855,Trawlers,0.3961963653564453,Trawlers,0.3961963653564453,1,1,33.958065032958984,,Trawlers,0.34827494621276855,Trawlers,0.34827494621276855,Trawlers,0.3961963653564453,Trawlers,0.3961963653564453,2508,583,730.7529166666668,55,0,0,MUS,Mauritius,,,,,,VIMAYA,2,,,3B2009,2,57.82722222222222,2,,,,,,
