mmsi,inferred,known
123484,fixed_gear,
123514,cargo_or_tanker,
123654789,cargo_or_tanker,
123658980,cargo_or_tanker,
123888888,tug,
1239468,tug,
124050100,tug,
12430662,cargo_or_tanker,
12506184,cargo_or_tanker,
12516257,cargo_or_tanker,
126020126,cargo_or_tanker,
126020135,cargo_or_tanker,
12899869,cargo_or_tanker,
1299416,cargo_or_tanker,
132332888,drifting_longlines,
13237745,cargo_or_tanker,
1326630,cargo_or_tanker,
13273430,cargo_or_tanker,
1329614,fixed_gear,
134,passenger,
13449075,cargo_or_tanker,
134508,tug,
13585417,tug,
13633757,passenger,
13872729,cargo_or_tanker,
138802150,tug,
14269159,cargo_or_tanker,
143222789,cargo_or_tanker,
14385696,cargo_or_tanker,
147258369,cargo_or_tanker,
14872,passenger,
14928,passenger,
14968098,passenger,
15,cargo_or_tanker,
150200172,cargo_or_tanker,
150200373,cargo_or_tanker,
150200390,cargo_or_tanker,
150200402,cargo_or_tanker,
150200406,cargo_or_tanker,
150200413,tug,
150200735,cargo_or_tanker,
150200763,cargo_or_tanker,
150200766,tug,
150200794,cargo_or_tanker,
150200813,cargo_or_tanker,
150201031,cargo_or_tanker,
150201047,cargo_or_tanker,
150201098,cargo_or_tanker,
150201124,cargo_or_tanker,
150201143,cargo_or_tanker,
150201178,cargo_or_tanker,
150201302,cargo_or_tanker,
150201305,cargo_or_tanker,
150201389,cargo_or_tanker,
150201617,cargo_or_tanker,
150201694,purse_seines,
150201698,cargo_or_tanker,
150201744,cargo_or_tanker,
1506502,cargo_or_tanker,
1510,passenger,
15168,passenger,
152000022,purse_seines,
15343000,cargo_or_tanker,
1539,passenger,
156258183,cargo_or_tanker,
156489123,passenger,
15652184,cargo_or_tanker,
156789456,cargo_or_tanker,
158,cargo_or_tanker,
158638888,cargo_or_tanker,
1596980,cargo_or_tanker,
16,cargo_or_tanker,
160000079,cargo_or_tanker,
160000149,cargo_or_tanker,
161,passenger,
161050436,tug,
16261,passenger,
16277172,cargo_or_tanker,
16449538,cargo_or_tanker,
16484074,cargo_or_tanker,
168,cargo_or_tanker,
168162803,trawlers,
171068800,cargo_or_tanker,
17140534,cargo_or_tanker,
175874,tug,
17739082,cargo_or_tanker,
17850344,cargo_or_tanker,
18001827,cargo_or_tanker,
18087938,cargo_or_tanker,
181658697,cargo_or_tanker,
1822875,cargo_or_tanker,
18263641,cargo_or_tanker,
18661,trawlers,
18808,passenger,
18817,fixed_gear,
18918,cargo_or_tanker,
18927,tug,
18976437,passenger,
18976452,passenger,
18976479,passenger,
19,tug,
19021070,cargo_or_tanker,
190700658,trawlers,
190701081,fixed_gear,
190701082,fixed_gear,
190701084,fixed_gear,
190701091,fixed_gear,
190701094,trawlers,
190701095,fixed_gear,
190701605,trawlers,
191283710,trawlers,
19154768,cargo_or_tanker,
1942,tug,
195566,passenger,
19599,tug,
196672,passenger,
19687,passenger,
198412055,fixed_gear,
19950,cargo_or_tanker,
1998195,passenger,
19985372,cargo_or_tanker,
2,tug,
20,trawlers,
200,cargo_or_tanker,
200000000,tug,
200000167,purse_seines,
200000622,passenger,
200001025,trawlers,
200001042,cargo_or_tanker,
200005219,purse_seines,
20003318,passenger,
200077900,passenger,
20049699,cargo_or_tanker,
20080315,passenger,
200804300,passenger,
200808150,tug,
200902032,cargo_or_tanker,
200912310,passenger,
200930906,cargo_or_tanker,
201,cargo_or_tanker,
20100409,cargo_or_tanker,
20100476,tug,
201005170,cargo_or_tanker,
201006210,passenger,
201010212,cargo_or_tanker,
201010252,cargo_or_tanker,
201010287,cargo_or_tanker,
201010294,cargo_or_tanker,
201100006,cargo_or_tanker,
201100082,cargo_or_tanker,
201100084,cargo_or_tanker,
201100085,cargo_or_tanker,
201100086,cargo_or_tanker,
