,mmsi,label,length,tonnage
175,306126000,Reefer,83.39,2595.0
176,273828310,Reefer,101.89,4014.0
177,273385120,Reefer,99.0,3351.0
178,334533000,Reefer,99.0,3351.0
179,374723000,Reefer,86.09,2713.0
180,341838000,Reefer,92.0,3246.0
181,354036000,Reefer,94.5,3649.0
182,576276000,Reefer,99.5,3822.0
183,374906000,Reefer,99.5,3822.0
184,277247000,Reefer,106.03,3939.0
185,677047700,Reefer,106.03,3939.0
186,244790145,Reefer,126.29,5471.0
187,306509000,Reefer,105.35,4190.0
188,273395480,Reefer,105.35,4190.0
189,529087000,Reefer,99.02,3363.0
190,245409000,Reefer,133.92,5918.0
191,576419000,Reefer,106.86,3802.0
192,352844000,Reefer,85.75,3264.0
193,355141000,Reefer,93.88,2829.0
194,370981000,Reefer,84.64,1490.0
195,441725000,Reefer,110.03,4071.0
196,529052000,Reefer,99.59,3493.0
197,370890000,Reefer,99.59,3493.0
198,353937000,Reefer,92.21,3260.0
199,356591000,Reefer,122.46,4177.0
200,412322340,Reefer,91.5,3218.0
201,529445000,Reefer,91.5,3218.0
202,371565000,Reefer,91.5,3218.0
203,355874000,Reefer,91.41,3520.0
204,440116000,Reefer,96.78,3437.0
205,529101000,Reefer,99.99,3415.0
206,529268000,Reefer,112.9,4056.0
207,529382000,Reefer,120.2,4574.0
208,372210000,Reefer,120.2,4574.0
209,371790000,Reefer,107.96,4202.0
210,529567000,Reefer,116.2,4287.0
211,353451000,Reefer,116.2,4287.0
212,371719000,Reefer,93.71,3170.0
213,273353310,Reefer,122.76,4495.0
214,311004000,Reefer,135.7,5103.0
215,273324210,Reefer,99.01,3526.0
216,353709000,Reefer,99.01,3526.0
217,636017161,Reefer,106.86,3802.0
218,273316230,Reefer,105.23,3634.0
219,311000433,Reefer,95.51,3968.0
220,231766000,Reefer,95.51,3968.0
221,311411000,Reefer,85.93,3399.0
222,311411000,Reefer,85.93,3399.0
223,374831000,Reefer,110.0,4071.0
224,311367000,Reefer,85.93,3398.0
225,374611000,Reefer,99.02,3363.0
226,212857000,Reefer,98.3,3817.0
227,308228000,Reefer,108.22,4091.0
228,309165000,Reefer,108.22,4091.0
229,212856000,Reefer,97.6,3817.0
230,576270000,Reefer,113.37,4521.0
231,353242000,Reefer,94.32,3431.0
232,576728000,Reefer,94.32,3431.0
233,576732000,Reefer,100.98,3936.0
234,636017359,Reefer,100.98,3936.0
235,577077000,Reefer,98.28,3858.0
236,577082000,Reefer,107.88,4394.0
237,255802850,Reefer,100.6,3981.0
238,355199000,Reefer,100.72,3767.0
239,440523000,Reefer,118.92,5122.0
240,273353640,Reefer,116.57,4148.0
241,273348810,Reefer,94.32,3401.0
242,352515000,Reefer,138.0,6117.0
243,355513000,Reefer,110.22,5024.0
244,431263000,Reefer,104.2,4865.0
245,249665000,Reefer,105.0,5136.0
246,312377000,Reefer,117.28,5070.0
247,273351170,Reefer,115.14,5292.0
248,667006047,Reefer,115.14,5292.0
249,440214000,Reefer,119.15,4273.0
250,351817000,Reefer,119.15,4273.0
251,273349530,Reefer,124.68,4936.0
252,431201000,Reefer,124.25,4969.0
253,273356290,Reefer,137.55,6154.0
254,357889000,Reefer,137.55,6154.0
255,259723000,Reefer,120.4,6420.0
256,373443000,Reefer,112.39,6420.0
257,356616000,Reefer,146.02,6557.0
258,356616000,Reefer,146.02,6557.0
259,355720000,Reefer,145.0,6545.0
260,224124000,Reefer,132.9,7207.0
261,273317370,Reefer,125.3,5874.0
262,273353800,Reefer,124.24,7389.0
263,636010125,Reefer,146.29,7089.0
264,341307000,Reefer,123.0,7395.0
265,312900000,Reefer,123.0,7395.0
266,273338510,Reefer,124.19,7057.0
267,273337510,Reefer,124.5,7392.0
268,351747000,Reefer,126.39,7355.0
269,351747000,Reefer,126.39,7355.0
270,636015528,Reefer,136.9,7533.0
271,273395490,Reefer,136.9,7533.0
272,636017108,Reefer,134.15,6558.0
273,356878000,Reefer,142.4,7777.0
274,356878000,Reefer,142.4,7777.0
275,306337000,Reefer,137.49,8984.0
276,273384930,Reefer,136.42,7355.0
277,636014597,Reefer,134.01,5994.0
278,636016249,Reefer,151.0,8665.0
279,310118000,Reefer,151.0,8665.0
280,636014596,Reefer,134.01,5994.0
281,353306000,Reefer,127.38,7367.0
282,354871000,Reefer,133.59,8487.0
283,309578000,Reefer,133.59,8487.0
284,576689000,Reefer,141.0,8483.0
285,373451000,Reefer,141.0,8483.0
286,636012261,Reefer,141.0,8487.0
287,352784000,Reefer,125.03,7307.0
288,529606000,Reefer,84.6,2429.0
289,356514000,Reefer,138.0,7800.0
290,636092423,Reefer,134.1,7326.0
291,636013146,Reefer,148.8,9074.0
292,351336000,Reefer,135.03,7367.0
293,357611000,Reefer,138.0,7959.0
294,273210110,Reefer,152.87,12403.0
295,273211110,Reefer,152.87,12406.0
296,273512400,Reefer,152.69,12527.0
297,273421470,Reefer,154.9,12282.0
298,273816010,Reefer,152.7,12703.0
299,352610000,Reefer,137.8,9438.0
300,309478000,Reefer,137.8,9438.0
301,370305000,Reefer,137.8,9538.0
302,309479000,Reefer,137.8,9538.0
303,636008972,Reefer,144.03,8818.0
304,273356610,Reefer,172.0,13496.0
305,576195000,Reefer,172.12,13506.0
306,311127000,Reefer,150.35,10614.0
307,311294000,Reefer,141.17,10584.0
308,311297000,Reefer,141.17,10584.0
309,314236000,Reefer,151.5,10535.0
310,311295000,Reefer,141.17,10584.0
311,311122000,Reefer,169.1,12659.0
312,636091016,Reefer,155.0,11382.0
313,246428000,Reefer,155.0,11382.0
314,636013073,Reefer,154.0,15058.0
315,636013070,Reefer,158.53,11590.0
316,636013068,Reefer,184.8,15058.0
317,311121000,Reefer,169.09,12659.0
318,244915000,Reefer,151.0,12111.0
