mmsi,shipname,callsign,length,width,power_hp,tonnage,power
257014440,KONVOY,LK7252,10.66,3.05,115.0,10.0,86.25
257014500,BRIS,LK8977,10.65,4.0,245.0,,183.75
257014540,FJORDBAS,LK5599,12.39,4.58,350.0,19.0,262.5
257014640,ULVANGSOEY,LK5576,14.0,4.4,272.0,23.0,204.0
257014840,LINDHOLM,LK5543,12.15,3.91,190.0,18.0,142.5
257014900,VESTREVAAG,LG5544,10.65,4.01,175.0,,131.25
257015020,FAXSEN,LFYE,,,,,
257015440,TRYM,LM9351,10.55,3.35,140.0,10.0,105.0
257015640,RYVINGEN,LK 5591,,,,,
257016140,ARNT EGIL,LK5634,10.66,3.63,230.0,12.0,172.5
257016340,OEYNES,LHXQ,20.18,5.9,550.0,69.0,412.5
257016500,UNNUR,LG3862,9.54,2.97,420.0,8.0,315.0
257017240,UDVAAR II,LHYA,19.68,6.75,720.0,91.0,540.0
257017440,SOLBJOERN,LK5670,14.32,4.72,250.0,24.0,187.5
257018000,GOLLENES,LCOH,62.6,12.8,4160.0,,3120.0
257018040,THORSHAVET,LK5641,14.13,5.18,250.0,23.0,187.5
257018140,GROENHOLM,LK5613,12.9,3.7,400.0,21.0,300.0
257018640,JOHN ANDREAS  F-1-TN,LK5682,10.63,3.6,152.0,10.0,114.0
257018840,BJORN MARTIN,LK5584,10.07,3.37,154.0,10.0,115.5
257020600,BUGOYFISK,LG4858,10.66,5.03,640.0,,480.0
257020740,GEMINI,LK5671,10.66,4.17,160.0,12.0,120.0
257020840,FROKNA,LK5707,14.99,5.5,311.0,25.0,233.25
257020940,HIMMELTIND,LM9378,10.65,3.36,131.0,11.0,98.25
257021140,HAVOERN 1,LF3310,10.65,3.3,135.0,7.0,101.25
257021440,KARL EMIL,LK5667,9.82,2.98,130.0,8.0,97.5
257021940,MOSTEIN,LK5352,14.97,5.8,402.0,25.0,301.5
257022340,M/K HANS GUSTAV,LK5688,,,,,
257022900,FOERST,LK5601,,,,,
257023440,KARI ANNE,LK2962,,,,,
257023540,BROTT,LK8383,10.62,4.0,167.0,14.0,125.25
257023920,LISO,LF2148,10.6,3.8,117.0,12.0,87.75
257024540,KVARTNES,LK5749,12.0,3.61,160.0,18.0,120.0
257024600,RAANES N-80-B,LK9155,12.04,3.95,187.0,,140.25
257024900,TRESSNES,LK9331,10.66,4.5,280.0,,210.0
257025440,M/S FJORDBUEN,LK5781,12.13,3.95,190.0,18.0,142.5
257025740,OSTAD SENIOR,LK5051,14.2,3.94,268.0,23.0,201.0
257026440,NY VIKING,LK5809,14.97,5.0,311.0,24.0,233.25
257026640,HAVSKOY II,LM 6277,,,,,
257027000,NORLINER,LG6271,10.95,10.95,700.0,,525.0
257027040,MALIN,LG5523,10.25,3.25,135.0,11.0,101.25
257027140,JENNY,LM 2858,,,,,
257027940,SVANEN,LK5644,10.63,2.98,300.0,12.0,225.0
257028500,AUSTNESFJORD,LM8282,10.6,3.2,85.0,12.0,63.75
257028640,FROEY,LK5888,10.6,3.89,152.0,12.0,114.0
257029240,HORNSUND,LK2031,14.08,3.98,256.0,23.0,192.0
257029440,FALCON,LK5889,12.12,3.93,230.0,18.0,172.5
257029640,HERMANN,LK5883,12.24,4.55,245.0,19.0,183.75
257029940,ISELIN,LK5806,14.96,4.58,311.0,25.0,233.25
257030340,BONITO,LK5861,14.73,4.99,490.0,24.0,367.5
257030500,BREIVIK SR,LG9033,12.98,4.32,300.0,,225.0
257030540,ISBJORN,LK5895,10.89,4.25,250.0,15.0,187.5
257030600,INGVALDSON,LG5614,14.97,4.75,800.0,25.0,600.0
257030740,FESKARGUTTEN,LK5910,14.96,5.01,350.0,25.0,262.5
257030940,GRIMSOEYVAERING,LK5875,12.0,3.47,152.0,12.0,114.0
257031040,KNOTTEN,LK2381,7.76,2.67,51.0,4.0,38.25
257031340,DANOY,LM2627,8.11,2.75,30.0,3.0,22.5
257031600,KEVIN,LM7385,9.94,3.25,120.0,,90.0
257032140,T.SIVERTSEN,LK5948,12.12,3.93,250.0,18.0,187.5
257032500,CHRISTINA E,3YVG,80.4,16.8,6120.0,,4590.0
257032740,NEPTUN,LM8392,9.45,3.2,62.0,8.0,46.5
257032900,HYAS,LK 2586,,,,,
257033520,BRITA,LF2288,7.93,2.75,84.0,4.0,63.0
257033840,HAVOY,LK5995,9.89,3.59,115.0,10.0,86.25
257034440,SKOGSOEYJENTA,LK5485,12.52,3.73,250.0,10.0,187.5
257034520,DELFIN,LF2309,,,,,
257034640,FISKEBOEN,LKXA,,,,,
257034800,JULIE,LG5657,10.66,3.98,175.0,,131.25
257034840,JOHAN MARTIN,LF4232,,,,,
257034940,BERGEBUEN,LK5943,14.16,4.4,250.0,24.0,187.5
257035040,FROYMANN,LK5918,14.88,5.75,360.0,25.0,270.0
257035140,TRIO,LK5985,14.99,5.85,450.0,25.0,337.5
257035440,ORIANA,LK5970,10.61,3.54,300.0,12.0,225.0
257035600,HAVNAERINGEN,LK2274,8.35,3.16,130.0,5.0,97.5
257035740,ROSOEY,LK 5927,,,,,
257035800,SVANANES,LG5625,9.48,3.66,420.0,,315.0
257035940,INGO,LK5867,14.09,5.08,500.0,23.0,375.0
257036340,OLSTIND,LK5981,12.99,4.5,152.0,18.0,114.0
257036420,RANDI SOFIE,LF2348,,,,,
257036540,HELLA,LK5266,8.14,2.65,72.0,4.0,54.0
257037240,LUNA,LM4443,10.55,3.75,56.0,12.0,42.0
257037440,TORSTEIN,LM2029,9.27,3.14,72.0,8.0,54.0
257037500,SOFIE,LK 2914,,,,,
257038040,HAVOEY,LK6049,14.96,5.7,405.0,,303.75
257038140,MAILEN,LF3387,10.2,3.1,120.0,11.0,90.0
257038740,NORDSTRAND,LK6028,10.99,3.58,152.0,22.0,114.0
257038840,VILJIA,LK5572,7.13,2.6,48.0,3.0,36.0
257038940,RISHOLM,LM3903,14.78,5.03,250.0,19.0,187.5
257039740,KNUT M,LK5088,13.54,4.56,245.0,20.0,183.75
257040440,STRATOS,LK5957,12.95,4.55,275.0,23.0,206.25
257040900,TIKO,LF5206,8.84,2.9,65.0,,48.75
257041440,HAVLYS,LK6160,14.99,5.89,291.0,25.0,218.25
257041500,VIKAN,LF5207,8.17,2.87,22.0,5.0,16.5
257041700,TONO,LG 4702,,,,,
257041800,BRENNAJENTA,LM4049,10.12,3.26,165.0,12.0,123.75
257041940,OEYFJORD,LK3231,12.2,4.18,178.0,15.0,133.5
257042320,TAREVIKING,LK3810,,,,,
257042540,VANJA,LK5983,14.16,4.4,250.0,25.0,187.5
257042600,SILVER,LF5208,10.63,3.58,222.0,,166.5
257042640,LINAS,LK 6144,,,,,
257043040,FJODORN,LM4840,10.3,3.44,62.0,9.0,46.5
257043140,FROMAR,LK6165,11.48,3.72,155.0,15.0,116.25
257043540,ROSA JADE,LK6191,11.85,4.62,330.0,17.0,247.5
257043800,VAGGE +47 97745572,LG5529,10.01,2.8,370.0,,277.5
257044320,GLITTERTIND,LF2472,,,,,
257044340,AUD ANITA 45505204,LK6067,12.11,4.02,208.0,18.0,156.0
257044500,THEA,LM5710,,,,,
257044640,DOENNING 2,LG3997,9.69,3.1,185.0,4.0,138.75
257044840,ANNJO,LK 6203,,,,,
257045140,TOPAS,LK6223,10.55,3.46,160.0,11.0,120.0
257045240,AURSOY,LK4100,14.21,4.37,245.0,23.0,183.75
257045940,VENGSOYBUEN,LK6225,14.98,5.82,473.0,65.0,354.75
257046040,FJORDBUEN,LK5341,10.6,3.8,130.0,12.0,97.5
257046220,NYBROTT,LF2500,9.0,2.9,65.0,7.0,48.75
257046600,GANNFLAESA,LF5214,,,,,
257046840,KLEPPEN,LK3064,14.04,4.27,300.0,23.0,225.0
257046900,PAX,LK7869,10.64,3.64,154.0,,115.5
257046940,SANDOESUND,LK 6284,,,,,
257047240,OERNES,,,,,,
257047740,VAAGAR,LF3427,,,,,
257047900,DRISTIG,LG5687,10.63,3.48,250.0,,187.5
257048900,KARINA,LF5219,,,,,
257049140,MONA,LK6245,10.66,3.63,156.0,12.0,117.0
257049240,LINDSJOE,LK4961,12.02,4.32,205.0,18.0,153.75
257049500,FJORDBOY,LLFN,,,,,
257050440,HORISONT,LK6269,14.92,5.54,370.0,25.0,277.5
257050640,TROLLABUEN,LK4727,10.67,3.6,152.0,12.0,114.0
257050740,VERONIKA,LK4652,10.7,4.0,180.0,12.0,135.0
257051140,SULETRAAL,LK3774,,,,,
257051240,SOLOEY F-157-LB,LK7117,8.4,2.75,65.0,5.0,48.75
257052600,NORDGRUNN,LF5224,,,,,
257053240,ELIAS,LK6401,12.99,5.05,316.0,21.0,237.0
257053440,VARNA,LK4919,14.07,4.52,245.0,23.0,183.75
257053600,VARG,LF5225,,,,,
257053740,FISKESKJAER,LK5207,8.9,2.85,70.0,7.0,52.5
257053940,AARVIKEN,LK 6312,,,,,
257054140,ODIN,LK6417,10.65,3.6,152.0,12.0,114.0
257054640,JOFFRE,LK5361,9.9,2.94,120.0,8.0,90.0
257054740,SEIBUEN,LK6447,14.1,4.22,250.0,18.0,187.5
257054800,UNNI,LF5226,10.63,3.58,250.0,6.0,187.5
257055040,SKJAANES F-38-G,LK6370,12.13,4.06,250.0,25.0,187.5
257056040,KLAEVTIND,LJKH,18.05,5.8,461.0,87.0,345.75
257056140,AADNE F-85-G,LM9748,9.35,3.1,62.0,7.0,46.5
257056340,GRIPAR,LK6518,12.65,3.58,152.0,20.0,114.0
257056440,ANNA CHRISTINE,LK6326,12.94,4.65,250.0,21.0,187.5
257056600,FROEYANES,3YXV,60.0,14.0,4158.0,,3118.5
257056720,LINNI,LF2636,9.76,3.45,72.0,9.0,54.0
257057040,HAVORNA,LK6531,14.96,5.44,480.0,25.0,360.0
257057240,EVITOR,LK6516,10.29,4.1,300.0,11.0,225.0
257057440,TROLLFJELD,LK6514,13.26,3.94,250.0,18.0,187.5
257057840,KALLEGUTT F-34-TN,LK6526,10.4,3.2,305.0,12.0,228.75
257058040,KARIANNE,LK6529,14.96,5.51,450.0,25.0,337.5
257058340,ARGO JUNIOR,LK6569,14.17,4.45,245.0,23.0,183.75
257058940,FJORDBAS,LK2782,12.38,4.15,210.0,19.0,157.5
257059040,NORDFJELL,LM3298,10.4,3.51,170.0,7.0,127.5
257059240,BJORNES,LK 4798,,,,,
257059340,BOGASKJAER,LK6543,14.98,5.03,340.0,24.0,255.0
257059940,PERAGUTT,LK6590,10.66,3.59,152.0,12.0,114.0
257060440,RAMONA,LK6606,12.13,3.92,290.0,18.0,217.5
257061020,LINHAV,LF2705,,,,,
257061440,NJAAGUTT,LK6604,10.55,2.98,318.0,6.0,238.5
257061640,VAEROEYGUTT,LK6598,12.97,4.49,250.0,21.0,187.5
257062140,UDVAAR,LK6597,10.54,4.45,250.0,12.0,187.5
257062640,ASTRID,LK9918,9.6,3.1,340.0,,255.0
257062840,DJUPASKJAER,LK3631,10.6,3.8,154.0,12.0,115.5
257062940,ANN-KATHRIN,LK6613,10.65,3.6,160.0,12.0,120.0
257063040,ANDREAS,LK6486,10.42,3.4,300.0,10.0,225.0
257064040,KVALOEYSKJAER,LK6394,12.09,3.88,285.0,18.0,213.75
257064900,ELINA,LG5739,10.99,4.06,610.0,,457.5
257065140,POLARVIND,LK6698,,,,,
257065240,KRABBEN,LK 6636,,,,,
257065440,SARAH,LF3542,10.01,3.2,116.0,10.0,87.0
257065600,SJOKVISTEN,LG5725,10.96,3.42,369.0,,276.75
257065620,BUSEN,LF2768,,,,,
257066540,EGGLAND,LK5711,10.57,3.86,152.0,12.0,114.0
257066740,NONSTIND,LK6688,12.1,3.94,250.0,18.0,187.5
257066940,VAAGHAV,LK6692,14.94,5.61,461.0,25.0,345.75
257067040,HAFDIS,LG2881,10.93,4.61,700.0,,525.0
257067740,KIM-ANDRE,LF3563,,,,,
257068140,HAUGSTAD,LK6702,14.82,5.41,373.0,25.0,279.75
257068740,LANGOYSUND,LK5874,10.6,3.6,152.0,12.0,114.0
257069440,ARGUS,LK 6712,,,,,
257069740,HAVLEIK,LK6764,10.65,3.6,152.0,12.0,114.0
257069840,MAXIMUS,LK5607,,,,,
257070640,BALDER,LK3549,10.01,3.18,127.0,7.0,95.25
257070940,FREKOY,LK6805,11.47,3.6,175.0,15.0,131.25
257071040,SLETTHAV,LK6804,10.55,3.39,175.0,11.0,131.25
257071140,HAVBRIS,LK 6798,,,,,
257071340,RAGNHILD KRISTINE,LK6829,14.95,5.33,315.0,24.0,236.25
257071440,ORION,LK6828,10.66,3.51,175.0,10.0,131.25
257071540,HAVBRIS,LK6833,14.95,4.6,250.0,31.0,187.5
257071640,FROYFISK,LLAQ,,,,,
257072440,SPRATTUS,LDFW,20.45,5.85,365.0,49.0,273.75
257072540,BUNES,LK 6844,,,,,
257072740,LOFOTVAERING,LK6532,10.65,4.0,127.0,12.0,95.25
257072840,SKARNER,LK6861,10.66,3.64,154.0,12.0,115.5
257073620,REVEN,LF2875,10.6,3.86,115.0,14.0,86.25
257074140,MARLOV SENIOR,LK6889,14.36,4.5,291.0,24.0,218.25
257074540,LENE K,LK6838,14.86,5.54,380.0,25.0,285.0
257074640,EROS,LK6795,14.98,5.6,370.0,25.0,277.5
257074740,EMMA-V,LK 6907,,,,,
257075240,HUGNAD,LM6156,8.93,2.96,30.0,6.0,22.5
257075340,NYGRUNN,LK6864,12.24,4.56,250.0,19.0,187.5
257075540,PORSANGVAERING,LK6916,10.55,3.4,154.0,10.0,115.5
257076240,MERETHE,LK6931,12.72,4.51,250.0,20.0,187.5
257076840,FANGST,LK6971,14.95,5.52,400.0,25.0,300.0
257077240,HYDRA,LK6978,12.95,4.61,291.0,20.0,218.25
257077440,ROSTJENTA,LK6977,14.97,5.33,360.0,25.0,270.0
257078140,ATHENA,LK6672,10.56,4.5,370.0,51.0,277.5
257078240,VIKSTJERNA,LK6970,12.99,4.07,291.0,21.0,218.25
257079000,NESEJENTA,3YWO,32.55,9.0,990.0,,742.5
257079040,ALEXANDRA,LK7097,10.59,3.73,115.0,12.0,86.25
257079240,BASNES,LK7577,10.15,3.1,222.0,,166.5
257079740,STROEMOEY,LK7066,10.66,3.64,175.0,12.0,131.25
257079840,VESLEMOEY,LK6901,10.65,3.6,175.0,12.0,131.25
257080140,GAUTEGUTT,LM 6045,,,,,
257080240,ROSTVAER,LK6689,10.01,2.99,110.0,8.0,82.5
257080640,FLO V20TM,LK7025,12.51,4.41,250.0,20.0,187.5
257081240,MELOYSUND JR,LK7043,12.95,5.46,400.0,21.0,300.0
257082340,TUSSBOEN,LK5649,10.55,3.46,152.0,11.0,114.0
257082600,OLE MARTIN,LK7480,,,,,
257082720,BOERFJELL,LK5532,11.88,3.47,300.0,17.0,225.0
