mmsi,shipname,callsign,length,width,power_hp,tonnage,power
257110940,MORGENSTJERNE,LK 3552,,,,,
257111140,STOKKVIK,LKMY,17.09,5.1,550.0,32.0,412.5
257111220,EVITA,LK2083,8.64,2.76,96.0,6.0,72.0
257111240,OEYGUTT,LM3902,15.3,4.75,275.0,24.0,206.25
257111540,LEISUND,LIOC,,,,,
257111820,STRANDAR,LK2090,10.6,3.8,100.0,10.0,75.0
257111840,SATURN,LK5174,11.03,3.56,152.0,13.0,114.0
257111940,JANN YNGVE,LM9598,10.4,3.2,125.0,9.0,93.75
257112420,TOMMERVIK F-52-LB,LK2105,7.62,2.45,49.0,3.0,36.75
257112440,HARSTADKYST,LM2745,10.02,3.0,102.0,10.0,76.5
257113220,FLOING,LK2122,10.01,2.95,135.0,10.0,101.25
257113420,STIG,LK2124,8.07,2.87,80.0,4.0,60.0
257113440,MIA,LK5112,10.98,4.5,250.0,14.0,187.5
257113640,HILDE HELENE,LM6344,9.45,3.06,115.0,9.0,86.25
257113840,MARIA,LM5992,10.62,3.89,175.0,14.0,131.25
257113920,HOGBAKKEN F-119-LB,LK2137,8.82,3.14,95.0,6.0,71.25
257113940,FJORDFISK,LM7642,10.47,3.16,130.0,7.0,97.5
257114140,RAMGRUNN,LM9647,10.98,3.7,171.0,11.0,128.25
257114440,BOEEN,LM9388,10.95,3.85,143.0,14.0,107.25
257114520,FLUTIND,LK2155,10.05,3.35,115.0,10.0,86.25
257115020,ALINE,LK2164,14.41,3.95,183.0,24.0,137.25
257115220,SANDHOLMEN,LK2169,14.12,4.31,300.0,21.0,225.0
257115500,HALLVARD,LG6557,,,,,
257115520,INGRID MARIE,LK2173,10.05,2.91,130.0,10.0,97.5
257115620,JUANITA,LK2174,10.03,2.93,80.0,10.0,60.0
257115640,SIKA,LK2280,10.52,3.7,150.0,12.0,112.5
257116000,RADEK,LNXT,53.55,8.53,1100.0,,825.0
257116240,BARJO,LK2006,9.97,3.1,100.0,10.0,75.0
257116740,HAVFRUA,LM6981,9.45,3.2,127.0,8.0,95.25
257117240,VARULV,LK3524,14.31,5.15,300.0,24.0,225.0
257117320,OEYBUEN,LK2206,10.35,3.87,131.0,11.0,98.25
257117500,MS STORMHAV,LM6458,12.83,3.96,156.0,17.0,117.0
257117620,NATALIE,LK2228,12.26,3.8,250.0,18.0,187.5
257117700,OLINE,LF5261,,,,,
257117740,AMALIE,LM2510,10.06,2.91,182.0,9.0,136.5
257117820,KAJA MARIE,LK2233,12.2,4.18,160.0,19.0,120.0
257117840,DOENNVAER,LM6737,9.72,3.41,95.0,12.0,71.25
257117920,VARGSUNDVAERING,LK2234,14.87,5.24,379.0,24.0,284.25
257118040,KLUBBEN,LF3200,8.16,2.51,40.0,,30.0
257118140,HARDHAUS,LK7553,14.55,4.48,250.0,,187.5
257118240,SVELLINGEN,LM9001,9.45,3.06,102.0,8.0,76.5
257118320,SHARA,LK2257,9.1,3.18,84.0,8.0,63.0
257118500,ARINA,LG6095,12.27,4.05,285.0,14.0,213.75
257118520,SETTNOEY JR,LK2262,10.55,3.46,116.0,11.0,87.0
257118620,PARTNER F-60-LB,LK2264,9.0,3.14,80.0,7.0,60.0
257118700,FROY VIKING,LG6332,,,,,
257118800,EVA MARIE,LM7813,12.83,3.96,156.0,,117.0
257118820,VESLEVAAG,LK2271,12.22,4.11,178.0,19.0,133.5
257119120,OMEGA,LK2275,14.88,5.61,355.0,25.0,266.25
257119340,RAUNEFJORD,LK2687,14.98,5.85,250.0,24.0,187.5
257119500,KATRINE,LF5265,,,,,
257119640,ELLINORA,LM7957,10.97,3.89,120.0,17.0,90.0
257119840,INGMUNDSON,LK2670,10.55,3.46,300.0,12.0,225.0
257119940,MELOYPYNT,LK2103,,,,,
257120320,M-SVENDSEN,LK2311,12.2,4.18,155.0,19.0,116.25
257120340,OVESEN JR,LM 8079,,,,,
257120420,SISSEL F-17-LB,LK2312,10.66,3.62,120.0,12.0,90.0
257120500,HAVGLANS,LCUZ,62.6,12.8,4078.0,,3058.5
257120620,HELENA,,,,,,
257121000,HAVNEFJELL,LLTI,23.95,6.4,538.0,151.0,403.5
257121720,TIGERGUTT,LK2343,14.29,4.72,238.0,24.0,178.5
257121840,LUNA,LM7586,10.65,3.69,150.0,10.0,112.5
257121920,LINDA MERETE,LK2347,10.5,3.43,152.0,12.0,114.0
257122120,REMSKJAER,LK 2359,,,,,
257122320,SOLENG,LK2365,10.64,3.11,127.0,10.0,95.25
257122820,ROALDSEN JUNIOR,LK2391,17.25,5.2,355.0,74.0,266.25
257122920,VIGDIS,LK 2392,,,,,
257123120,BUHOLMSKJAER,LK2396,9.24,3.22,76.0,7.0,57.0
257123140,MJOLNER2,LK5093,10.65,4.01,155.0,18.0,116.25
257123220,ROY MAGNE,LK2397,10.55,3.46,152.0,11.0,114.0
257123320,EVRO,LK2407,14.1,4.52,256.0,19.0,192.0
257123840,,,,,,,
257124020,ANFIELD,LK2420,10.52,3.7,150.0,12.0,112.5
257124220,SOLBRIS,LK2430,9.97,2.95,80.0,10.0,60.0
257124420,BAATSMANN,LK2432,13.23,4.18,178.0,23.0,133.5
257124500,HAVBAAEN,LG5968,12.32,3.94,610.0,,457.5
257124520,JUVEL,LK2433,14.07,4.68,270.0,23.0,202.5
257124640,VANGSBUEN,LM7558,10.62,3.89,156.0,14.0,117.0
257124740,ELAS,LM6029,13.62,3.95,200.0,22.0,150.0
257124800,NORDTINN,LM3210,14.08,4.3,185.0,18.0,138.75
257124840,ULF DANIEL,LM 3972,,,,,
257124920,UTVAER,LK2452,10.55,3.46,152.0,11.0,114.0
257125020,EMMA,LK2459,14.98,5.0,280.0,24.0,210.0
257125040,HORNGRUNN,LM7740,10.37,3.24,180.0,10.0,135.0
257125140,DENTAX SENIOR,JXVK,16.88,5.4,450.0,40.0,337.5
257125440,WILLYSON,LK3860,13.15,4.18,230.0,21.0,172.5
257125600,MARTOR,LG 6409,,,,,
257125700,FINDUS,LG2147,9.69,3.1,222.0,,166.5
257125720,VESTASKJER,LK2475,14.86,5.2,330.0,25.0,247.5
257125820,LANGNESVAERING,LK2481,12.4,3.95,208.0,20.0,156.0
257125920,SENJAFJELL,LK2482,12.2,4.18,250.0,16.0,187.5
257126040,SEKTOR,LM6798,10.99,4.26,270.0,18.0,202.5
257126220,ERLEND JOHAN,LK2485,10.55,3.38,145.0,10.0,108.75
257126500,SELMA,LG6368,12.4,3.88,500.0,15.0,375.0
257126740,VEINES,LM7077,14.6,4.5,246.0,24.0,184.5
257127520,BONES,LK2515,10.66,3.83,109.0,12.0,81.75
257127920,MAGNARSON,LK2524,10.17,3.4,230.0,5.0,172.5
257128000,SOLVARSKJAR,LCJG,34.99,9.25,1000.0,,750.0
257128020,BOEVAERING,LK2528,9.02,2.95,105.0,6.0,78.75
257128420,SANDRA MARI,LK2535,12.34,3.86,131.0,16.0,98.25
257128440,DRAGON,LK5314,10.63,3.72,192.0,12.0,144.0
257128620,SKARSTADVAERING,LK2545,13.08,3.69,122.0,21.0,91.5
257128920,HIMMELTIND,LK2556,12.8,4.2,265.0,21.0,198.75
257129020,NEPTUN,LK2561,9.14,3.15,72.0,7.0,54.0
257129140,HANS,LK5216,14.97,5.4,450.0,25.0,337.5
257129320,LANGHOLMSUND,LK2569,12.98,3.9,175.0,15.0,131.25
257129420,JOHANNE,LK2570,10.55,3.46,210.0,12.0,157.5
257129520,MISTRAL,LK2571,8.81,3.22,76.0,8.0,57.0
257129840,STRAUMVANG T-80-I,LK5298,10.64,3.95,190.0,12.0,142.5
257129940,OEYBAS,LK5304,12.13,4.55,275.0,19.0,206.25
257130040,SKAGOY,LM8731,14.29,4.34,272.0,23.0,204.0
257130240,AKSEL ANDRE,LK5299,10.65,2.95,150.0,10.0,112.5
257130320,JOSNESBUEN,LK2591,8.82,3.14,80.0,6.0,60.0
257130620,SIMAR,LK2605,10.5,3.78,145.0,9.0,108.75
257130920,MULOYBUEN,LK2616,13.68,3.98,131.0,20.0,98.25
257131020,HAVGUTT,LK2621,10.6,3.9,152.0,15.0,114.0
257131320,HAVOEY,LK2629,10.54,4.1,131.0,18.0,98.25
257131420,VARDEN,LK2630,8.85,3.11,129.0,7.0,96.75
257131520,SORVAERING,LK2632,10.64,4.06,115.0,12.0,86.25
257131740,NENNIK,LK4980,8.06,2.65,65.0,4.0,48.75
257131800,STORVIG,LCLK,,,,,
257131940,TERNA,LM8521,9.51,3.14,120.0,9.0,90.0
257132240,HAAVARD,LM7492,9.27,3.15,72.0,8.0,54.0
257132340,EVELYN,LM6249,,,,,
257132720,VESTBAAEN,LK2666,10.35,3.08,115.0,9.0,86.25
257132820,SOYLABUEN,LK2668,,,,,
257132940,NY-KVIKK,LM4841,10.05,2.99,109.0,8.0,81.75
257133000,M-SOLHAUG,LAIC,34.07,9.5,990.0,,742.5
257133140,EGILSON,LM6545,10.61,3.6,178.0,14.0,133.5
257133340,OEYSKJAER,LK2305,8.33,2.72,65.0,4.0,48.75
257133500,LAGERTHA,LM6844,9.72,3.41,162.0,11.0,121.5
257133620,LENA-ELIAS,LK2688,12.37,4.52,238.0,19.0,178.5
257133720,KIKKI,LK2691,12.99,4.85,220.0,21.0,165.0
257133820,RAVNOEY,LK2694,10.66,3.58,156.0,12.0,117.0
257134040,SJOEBLOMSTEN,LNEW,,,,,
257134420,FROEGRUNN,LK2711,10.66,3.1,80.0,12.0,60.0
257134500,VALKYRIEN,LG5979,10.4,4.05,250.0,,187.5
257134620,,,,,,,
257134720,BUAGUTT,LK2717,10.01,3.48,135.0,9.0,101.25
257135000,FISKEBAS,LDFS,64.2,14.0,3100.0,,2325.0
257135020,NESBUEN,LK2722,9.26,2.87,85.0,5.0,63.75
257135220,MARINA,LK2724,12.32,4.66,296.0,19.0,222.0
257135500,SKREIGRUNN,LG6353,14.98,6.01,500.0,,375.0
257135520,SOERSTEIN,LK2734,10.6,3.9,127.0,7.0,95.25
257135620,HANNE,LK2736,10.35,3.5,160.0,11.0,120.0
257135920,SKIPSON,LK2746,10.55,3.46,131.0,11.0,98.25
257136040,ANDUNGEN F-62-BD,LM2808,9.56,3.2,108.0,9.0,81.0
257136220,ALDRA,?,,,,,
257136340,ENGOEY,LM4403,10.64,3.41,180.0,9.0,135.0
257136420,REISAVAERINGEN,LK2755,10.02,3.0,80.0,10.0,60.0
257136520,HALTENFISK,LK2756,12.2,4.18,250.0,19.0,187.5
257136640,AMANDA,LK3056,10.55,3.46,130.0,12.0,97.5
257136720,LEON OLAI,LK 2759,,,,,
257136920,HEIDRUN,LK2764,10.6,3.9,116.0,9.0,87.0
257137220,VAARBUEN,LK2769,10.62,3.93,152.0,12.0,114.0
257137420,FJORDBUEN,LK2773,10.65,3.86,190.0,12.0,142.5
257137640,VANNOEYVAERING,LK4991,14.8,5.27,405.0,25.0,303.75
257137720,SAIBMA,LK2781,8.06,2.94,30.0,4.0,22.5
257138000,SMARAGD,LKOO,74.0,15.8,5440.0,,4080.0
257138240,STORENGBUEN,LM8377,9.54,2.97,110.0,9.0,82.5
257138420,HITTERVAERING,LK2803,14.99,4.58,300.0,32.0,225.0
257138720,IDA BEATE,LK2809,14.94,5.05,360.0,24.0,270.0
257138820,GORM III,LK2811,14.02,3.9,163.0,14.0,122.25
257139000,JOHAN HJORT,LDGJ,,,,,
257139040,HAVBRYN,LK2155,10.05,3.35,115.0,10.0,86.25
257139120,SIGNAL,LK2814,14.95,4.66,300.0,24.0,225.0
257139240,GILL,LKQZ,16.49,4.51,235.0,29.0,176.25
257139340,BRASOEYFISK,LM 6122,,,,,
257139520,RENATO III,LK2842,,,,,
257139940,MEBAS,LK3893,10.03,3.55,116.0,10.0,87.0
257140040,VAAGAN,LK5334,10.99,3.67,152.0,14.0,114.0
257140120,TOFTING,LK2849,,,,,
257140140,TOR.E,LK5297,10.6,3.1,130.0,12.0,97.5
257140240,BARSKJAER,LK5333,10.12,3.65,152.0,11.0,114.0
257140620,TOVE MARIE,LK2860,10.55,3.46,178.0,11.0,133.5
257140920,RUTH KRISTIN,LK2869,10.64,4.05,160.0,12.0,120.0
257141020,LAKSHMI,LK2870,9.02,3.22,108.0,8.0,81.0
257141040,JAN TORE,LK5099,10.64,3.95,152.0,12.0,114.0
257141320,SOLFUGLEN,LK2882,10.6,3.9,145.0,12.0,108.75
257141720,SULOEY,LK2913,10.55,3.46,116.0,11.0,87.0
257141820,ULOEYBUEN,LK2915,12.2,4.18,168.0,19.0,126.0
257141940,JANSON,LK5336,12.1,4.2,152.0,16.0,114.0
257142140,KVALVIK,LM6026,10.45,3.0,100.0,,75.0
257142240,LINN TORRY,LM6373,9.45,3.08,97.0,9.0,72.75
257142520,SVENDSEN SENIOR,LK2937,14.93,4.52,317.0,22.0,237.75
257142620,GLADIATOR,LK2941,10.45,3.77,135.0,11.0,101.25
257142820,SJOBAS,LK2950,14.95,5.2,368.0,25.0,276.0
257142920,SVEBOEN,LK2954,9.65,2.87,76.0,9.0,57.0
257143120,SILVER,LK2957,7.9,2.67,30.0,4.0,22.5
257143420,DUKAT,LK2965,10.66,4.02,115.0,12.0,86.25
257143440,LITJ SKJAERET,LK 5350,,,,,
257143720,TEIS,LK 2979,,,,,
257143740,VALOYTIND,LK5329,12.98,4.95,250.0,21.0,187.5
257144020,GIVAER,LK3003,10.6,3.99,165.0,12.0,123.75
257144040,LARS GORAN,LK5340,10.58,3.8,152.0,12.0,114.0
257144120,BRATTHOLM,LK3005,12.2,4.18,185.0,18.0,138.75
257144220,OLSOYVERING,LK3043,12.5,4.13,240.0,20.0,180.0
257144240,SKUVINGEN,LM9927,12.83,3.96,180.0,17.0,135.0
257144920,DALGAARD,LK3055,10.6,3.75,230.0,12.0,172.5
257145220,NORDHAV,LK3075,12.2,4.18,182.0,19.0,136.5
257145320,HAVPRINS,LK3078,10.66,3.91,152.0,12.0,114.0
257145600,MARIUS,LF5284,,,,,
257145800,HOEGNI,LG2408,10.26,3.14,303.0,,227.25
257145820,ARKTOS,LK3109,19.01,5.51,345.0,65.0,258.75
257145920,DRUEN II,LK3120,7.91,2.62,48.0,4.0,36.0
257146020,SYREN,LK3123,10.55,3.46,130.0,11.0,97.5
257146120,MARI,LK3131,10.48,3.82,116.0,12.0,87.0
257146220,F/S SILEGG,LK3136,10.6,3.8,170.0,10.0,127.5
257146440,TROLLTIND,LK5326,12.98,4.3,156.0,21.0,117.0
257146520,SNEFJELL,LK3145,10.4,3.3,152.0,11.0,114.0
257146800,URAGUTTEN,LM5558,9.42,3.14,118.0,7.0,88.5
257146820,EINAR ANDRE,LK3164,12.2,4.18,263.0,40.0,197.25
257147020,KAMOE,LK3167,13.53,4.11,400.0,22.0,300.0
257147320,HAVFROEKNA,LK3171,10.61,3.9,131.0,12.0,98.25
257147500,STAR,LF5286,,,,,
257147820,STINE MAYA,LK3190,9.35,2.91,130.0,9.0,97.5
257147900,SOLVAER,LG6479,10.99,3.84,500.0,,375.0
257147920,JOKER,LK3210,16.03,5.75,370.0,43.0,277.5
257148020,ODD JONNY 2,LK3215,13.75,4.89,238.0,22.0,178.5
257148220,CONAN,LK3219,9.58,2.72,135.0,9.0,101.25
257148320,NITTAYA,LK3220,10.3,3.2,115.0,11.0,86.25
257148420,JOELLE,LK3225,14.92,5.42,367.0,72.0,275.25
257148520,ARNT IVAR,LK3234,10.63,3.75,176.0,12.0,132.0
257148620,ANDFJORD,LK3235,14.87,4.72,291.0,24.0,218.25
257149000,HOVDEN VIKING,JWLM,37.54,9.25,1000.0,,750.0
257149020,STORM,LK3239,10.55,3.46,266.0,11.0,199.5
257149120,VEGARD,LK3243,18.15,5.0,250.0,39.0,187.5
257149220,BREITIND,LK3245,12.91,3.6,152.0,22.0,114.0
257149420,VESLEMOY,LK 3252,,,,,
257149500,OCEAN,LG3733,10.65,4.2,450.0,8.0,337.5
257149920,REPSOY,LK3270,14.97,5.4,250.0,25.0,187.5
257150120,REPPARFJORD,LK3272,10.62,4.2,178.0,12.0,133.5
257150140,NONSTIND,LK7508,12.21,3.65,175.0,,131.25
257150220,BJOERN,LK3280,10.03,3.0,76.0,10.0,57.0
257150240,T.A SENIOR,LK7556,14.99,6.0,474.0,,355.5
257150320,M/S SANDHOLMEN,LK3281,9.0,3.45,115.0,,86.25
257150620,SKUMRING,LK 3295,,,,,
257150700,KAMILLA,LM2163,10.65,3.17,70.0,7.0,52.5
257150720,HOLMEN,LK 3298,,,,,
257150820,VENI ACTIV,LK3312,10.6,3.9,127.0,12.0,95.25
257150920,SLETTVOLL SENIOR,LK3313,10.6,3.9,167.0,12.0,125.25
257151120,ICE,LK3323,10.62,4.2,185.0,5.0,138.75
257151240,HAUNES,LK7604,12.98,3.97,290.0,,217.5
257151420,LOKSTIND,LK3334,14.11,4.72,250.0,24.0,187.5
257151500,VAARINN,LM8656,9.15,3.05,80.0,7.0,60.0
257151720,BUROY,LK3370,12.2,4.18,250.0,19.0,187.5
257152420,NORBRIS,LK3429,10.62,4.2,154.0,14.0,115.5
257152520,OLAV NILSEN,LK3431,16.35,5.8,400.0,45.0,300.0
257152620,MEA,LK 3438,,,,,
257152940,HAAREK,LK7646,8.02,2.7,63.0,,47.25
257153140,INGOYVAERING,LK7649,10.65,4.13,175.0,,131.25
257153220,KLUBBEN,LK3483,12.64,4.22,250.0,20.0,187.5
257153240,OYESTEIN,LK7610,12.24,3.64,250.0,,187.5
257153440,STUFUNES,LK2109,10.4,3.71,150.0,11.0,112.5
257153500,PRESTFJORD,3YHX,65.0,15.0,6000.0,,4500.0
257153520,NYBOE,LK3503,14.0,4.7,380.0,23.0,285.0
257153700,REMY,LM9663,9.37,3.38,120.0,8.0,90.0
257154120,KVITNES,LK3540,8.85,3.15,76.0,7.0,57.0
257154220,GEIR ERIK,LM3550,,,,,
257154320,ELVIRA 3,LK3553,,,,,
257154420,OEYSJARK,LK3554,10.12,3.6,80.0,9.0,60.0
257154540,TRUDA,LF 3840,,,,,
257154720,PETTERSON,LK3599,10.55,3.46,162.0,11.0,121.5
257154900,VILJEN,LK3278,10.31,3.35,357.0,,267.75
257155040,REKYL,LK 7587,,,,,
257155220,LILLI,LK3614,9.65,3.41,120.0,9.0,90.0
257155320,HARDY GUTTEN,LK3815,,,,,
257155500,SAGA K,LG6266,14.98,5.68,913.0,,684.75
257155740,VESLEPER,LK7647,12.21,3.64,175.0,,131.25
257156040,STORSTEIN,LK7764,14.96,5.42,400.0,,300.0
257156120,FAGERSKJAER,LK3677,10.66,4.1,160.0,12.0,120.0
257156240,TRIN EVEN,LK5053,10.65,4.01,120.0,12.0,90.0
257156320,KARINA,LK3696,12.06,3.6,152.0,7.0,114.0
257156500,SALTBAAEN,LG6592,10.66,3.84,500.0,,375.0
257156640,KVITNAKKEN F-29-G,LK7683,10.98,3.99,400.0,,300.0
257157020,HORNTIND,LK3727,10.6,4.1,160.0,18.0,120.0
257157120,MELOEYBAS,LK3735,13.68,4.13,250.0,22.0,187.5
257157240,HERR OLSEN,LK7585,10.62,3.05,310.0,,232.5
257157340,ALBATROSS III,LK7757,10.15,3.05,222.0,,166.5
257157440,NORBUEN,LK7736,12.22,4.52,218.0,,163.5
257157500,SELVAAGBUEN,LG 6591,,,,,
257157520,VESTFISK,LK3764,14.98,5.4,250.0,24.0,187.5
257157620,LEISKJAER,LK3767,10.65,4.2,152.0,12.0,114.0
257157640,JM SENIOR,LK7821,10.71,4.72,330.0,,247.5
257157740,ZANDER,LK7818,12.21,3.64,175.0,13.0,131.25
257157920,TRISTEIN,LK3798,10.62,4.2,152.0,12.0,114.0
257157940,DINABOEN,LK7089,12.72,4.2,280.0,16.0,210.0
257158320,FLOHAV,LK3851,10.66,4.1,152.0,12.0,114.0
257158500,SYDNES,LF6252,,,,,
257158540,SILJAN,LF3869,,,,,
257158840,LISBETH,LK7721,10.15,3.07,200.0,,150.0
257158920,SONBAS SENIOR,LK3905,10.5,3.65,200.0,15.0,150.0
257159220,MAGNHILD,LK3919,9.45,3.06,108.0,8.0,81.0
257159320,ERATO,LK3925,12.2,4.18,204.0,19.0,153.0
257159640,ISABELL,LK7808,9.05,2.85,305.0,10.0,228.75
257159740,GJOEA,LK7541,10.66,4.0,175.0,12.0,131.25
257159920,JANTO,LK3975,12.3,3.74,245.0,20.0,183.75
257159940,FANGST,LK5559,9.24,3.22,100.0,7.0,75.0
257160020,SNARSETVEARING,LK3988,14.98,4.95,411.0,24.0,308.25
257160120,LYNGVAER,LK3998,14.47,5.19,600.0,24.0,450.0
257160140,TUNGVAAG,LK7829,10.67,4.0,170.0,,127.5
257160240,JULIANE,LK7626,10.3,3.4,340.0,,255.0
257160320,BELL-ROCK,LK4011,,,,,
257160620,VAAGASKJAER,LK4031,10.64,3.5,152.0,12.0,114.0
257160640,HAVGUTT,LK7820,10.66,3.65,154.0,,115.5
257160740,VASSOYBUEN,LK7574,10.62,5.05,303.0,,227.25
257160940,LINDA SOFIE,LF3879,10.35,3.4,410.0,,307.5
257161020,MAAKEN,LK4069,10.65,3.98,152.0,12.0,114.0
257161040,SPRINT,LK7828,10.55,3.12,430.0,,322.5
257161140,HAVSULEN,LK7835,12.2,3.64,175.0,,131.25
257161320,SULINGEN,LK4083,10.99,3.56,170.0,13.0,127.5
257161420,STEINARSON,LK4094,10.55,3.46,178.0,11.0,133.5
257161540,FJORDBAS,LK7744,10.6,2.95,310.0,,232.5
257161620,TIN,LK 4119,,,,,
257161840,KRISTIN MARITA,LK7751,10.65,3.79,375.0,10.0,281.25
257161940,SULOY,LK7840,12.2,4.2,250.0,,187.5
257162520,,LK 4203,,,,,
257162600,HUSOEY,LG 6583,,,,,
257162640,KATLA,LK7560,14.95,5.94,600.0,54.0,450.0
257162840,CAPELLA,LK 7885,,,,,
257163120,EMIL LEANDER,LK 4257,,,,,
257163140,NORDHOLMEN,LK7759,10.25,3.82,365.0,,273.75
257163220,HANNE MARIE,LK4259,13.05,4.1,245.0,18.0,183.75
257163320,BORFJELL,LK4261,14.1,4.37,250.0,24.0,187.5
257163340,THEA,LF3895,9.69,3.1,220.0,,165.0
257163840,VAAGAR,LK7976,10.2,3.9,330.0,,247.5
257163940,LANGNES JR,LK7902,10.6,3.0,112.0,,84.0
257164320,MAYA,LK4392,10.01,2.94,115.0,10.0,86.25
257164340,M/S BOIE,LK7887,13.99,5.01,360.0,,270.0
257164500,GURATIND,LF5296,14.99,6.0,450.0,,337.5
257164540,KING NORDKAPP,LK7929,10.59,3.86,200.0,,150.0
257164640,HUSOEYSUND,LK-7944,,,,,
257164700,LOMSTIND,LG6593,10.66,4.61,265.0,,198.75
257164820,SWANSEA,LK4409,10.99,3.57,175.0,10.0,131.25
257165320,MARTIN,LK4435,10.6,3.9,145.0,10.0,108.75
257165340,WILLIKSEN SENIOR$,LK 7984,,,,,
257165920,SVATIND,LK4452,10.96,3.42,120.0,13.0,90.0
257166000,KAROLOS,LKDQ,,,,,
257166220,ORAFISK,LK4492,14.23,4.43,450.0,23.0,337.5
257166400,ORFJORD,LGLX,31.31,8.2,750.0,108.0,562.5
257166920,NORDLYS,LK4525,10.11,3.43,175.0,10.0,131.25
257167020,STRONSTADVAERING,LK4527,10.98,3.88,160.0,14.0,120.0
257167220,STEN TORE,LK4529,10.65,4.15,152.0,12.0,114.0
257167320,BOELGEN,LK4530,10.98,3.75,152.0,20.0,114.0
257167540,BOY-ANGEL,LK8049,14.63,5.0,285.0,24.0,213.75
257167800,AKOM F-100-TN,LG6640,,,,,
257168040,OTELIE,LK7283,10.6,3.75,230.0,,172.5
257168240,IDA KONSTANSE,LF3945,,,,,
257168520,POLARJO,LK4580,10.02,2.99,80.0,10.0,60.0
257168800,BAATSKJKAER,LM2398,9.97,2.91,82.0,,61.5
257169140,VESLEPER,LK8122,10.65,4.12,152.0,,114.0
257169320,MORILD,LK4631,10.31,3.35,127.0,12.0,95.25
257169420,VAAGEN,LK4642,10.55,4.12,255.0,12.0,191.25
257169620,VIKING,LK4663,12.6,3.8,180.0,15.0,135.0
257169820,GRONOYTRAL,LK4671,12.96,4.22,205.0,20.0,153.75
257169920,OYVER,LK 4673,,,,,
257170320,NORDSTJERNA F-40-G,LK4708,12.96,3.92,190.0,18.0,142.5
257170340,FINNVIK,LK7806,10.65,4.14,175.0,,131.25
257170720,SJOESTJERNA,LK4729,10.02,3.01,80.0,10.0,60.0
257170820,LILJEN,LK4731,8.67,3.05,72.0,4.0,54.0
257170940,BORGHILD,LGXG,,,,,
257171020,HUSOYVAERING,LK4748,12.95,3.98,250.0,18.0,187.5
257171140,RODIAN,LK7202,10.61,4.3,320.0,,240.0
257171220,HARTHO,LK4773,12.24,4.9,330.0,19.0,247.5
257171620,BALLSTADJENTA,LK4780,10.38,3.41,110.0,11.0,82.5
257171940,MICHELLE,LK7968,10.6,4.55,250.0,,187.5
257172140,BAMSE,LK8133,9.52,3.27,120.0,6.0,90.0
257172440,VITO,LK8225,10.65,3.63,175.0,,131.25
257172500,LOVUNDVAERING,LG6630,10.32,4.28,225.0,,168.75
257172600,MIRA,LG6654,10.65,3.8,425.0,,318.75
257172640,OTTOBAS,LM2703,10.64,3.8,167.0,12.0,125.25
257172720,KIM RICHARD,LK4824,10.6,4.1,152.0,12.0,114.0
257172740,PION,LK8236,10.66,4.1,210.0,12.0,157.5
257172820,KVALOEYGUTT,LK4825,10.47,3.66,300.0,11.0,225.0
257172920,MILDRID,LK4829,7.78,2.62,30.0,4.0,22.5
257173500,DANSKEN,LG6279,9.91,4.83,300.0,,225.0
257174140,STRANDGUTT,LK8141,10.65,4.5,330.0,,247.5
257174220,MARIANNE,LK4972,10.62,3.85,152.0,16.0,114.0
257174420,CAVARO F-13-G,LK4981,12.14,3.95,230.0,18.0,172.5
257174440,SKIPNES,LK8075,10.3,3.44,340.0,,255.0
257174540,HUGNAD,LK8196,9.82,3.22,154.0,,115.5
257174740,SANDER,LK8042,10.42,3.42,485.0,,363.75
257175020,MARNA,LK5040,12.22,4.1,218.0,19.0,163.5
257175040,NEPTUN,LK8287,12.21,3.65,175.0,14.0,131.25
257175220,ONSOEYGUTT,LK5044,8.8,3.25,85.0,7.0,63.75
257175320,AEGIR,LK5045,14.13,4.16,310.0,16.0,232.5
257175420,SOLBUEN,LK5054,10.58,3.43,170.0,12.0,127.5
257175440,SJOGUTTEN,LM2404,10.55,3.77,200.0,12.0,150.0
257175620,KORAL,LK5087,8.8,3.2,152.0,6.0,114.0
257175740,KAROLINE,LF7638,,,,,
257175820,VIKING,LK5107,9.24,3.22,86.0,7.0,64.5
257176240,BUAR,LF4022,,,,,
257176320,VANDSOEYVAAG,LK5140,10.56,3.89,250.0,12.0,187.5
257176340,TORSTIND,LM5175,8.63,2.71,109.0,7.0,81.75
257176540,TRAPANI,LM4563,10.08,2.99,150.0,7.0,112.5
257176620,OYGUTT,LK5160,14.23,3.97,245.0,23.0,183.75
257176640,HAUGEN,LK8048,14.96,5.68,360.0,,270.0
257177000,STRAUMBERG,LDEF,46.55,12.0,1863.0,,1397.25
257177040,LOBSTER,LK7995,11.98,3.85,400.0,,300.0
257177120,JARLEN,LLER,17.34,4.88,375.0,41.0,281.25
257177240,ODDVAR JUNIOR,LK8044,9.4,3.2,68.0,7.0,51.0
257177340,UTRYGG,LK8219,10.65,3.8,165.0,,123.75
257177500,LILLEBROR,LK5684,14.63,4.15,270.0,23.0,202.5
257177900,SANTOS,LK6458,10.55,4.1,350.0,16.0,262.5
257178340,BJORNOY,LK8319,10.66,4.69,384.0,,288.0
257178800,JAKOBSSON,LG6658,10.97,4.0,410.0,10.0,307.5
257178940,M/S MODDY,LK8347,10.3,3.55,160.0,11.0,120.0
257179040,SILJE,LM7305,8.74,2.49,35.0,6.0,26.25
257179140,NYSTAD,LM 7561,,,,,
257179240,BORGEN,LF5003,,,,,
