mmsi,length
540004100,20
538060007,72.37
259296000,68.8
258174000,58
259282000,53
259106000,53
273386020,49
273817020,152
273511500,172
205461000,162
259508000,44
259689000,40
258996620,23
257349500,24
257888500,28
257387000,30
416010900,76
371507000,189
354753000,30.6
