mmsi,power,length,tonnage
259244000,914,39.29, 172
259245000,850,29.92, 130
259247000,775,39.46, 137
259252000,5800,74.7, 
259253000,1000,37.25, 497
259258000,990,27.41, 264
259263000,810,27.16, 242
259273000,408,22.31, 67
259281000,6120,65.0, 
259282000,3600,53.1, 
259292000,1200,47.5, 
259296000,6180,68.8, 
259302000,525,19.22, 79
259304000,500,19.9, 121
259309000,1000,40.6, 
259311000,6120,68.85, 
259324000,2665,56.2, 
259329000,800,34.0, 
259335000,4670,61.82, 
259340000,1500,39.48, 
259350000,600,20.96, 170
259352000,1000,26.2, 
259363000,600,23.3, 144
259374000,4800,65.7, 
259375000,1000,32.03, 
259377000,600,23.55, 126
259380000,1520,43.32, 
259390000,5168,75.4, 
259392000,510,20.98, 123
259407000,3700,53.0, 
259421000,2570,33.95, 
259423000,600,27.6, 
259428000,3500,60.9, 
259434000,980,33.63, 
259438000,650,26.4, 172
259447000,2147,44.95, 
259450000,750,30.35, 
259454000,6870,75.4, 
259465000,3672,49.9, 845
259474000,1520,44.85, 
259475000,985,30.0, 
259476000,990,27.49, 
259478000,1520,34.25, 
259489000,1501,46.57, 
259501000,1000,36.26, 
259503000,720,27.99, 284
259511000,3675,78.39, 
259519000,590,23.99, 199
259521000,5225,67.4, 
259525000,5170,66.28, 
259526000,8920,70.0, 
259536000,722,23.95, 207
259537000,600,20.99, 170
259539000,6000,84.21, 
259540000,1000,25.84, 
259558000,1000,41.45, 
259562000,1100,51.7, 
259563000,1000,27.42, 
259574000,7500,67.4, 
259602000,5220,68.1, 
259609000,600,22.91, 177
259616000,2000,51.2, 
259617000,1015,36.34, 
259620000,1014,33.76, 149
259635000,1350,37.36, 
259637000,1014,38.08, 
259647000,1520,44.8, 
259648000,1014,28.08, 
259651000,3260,58.92, 
259653000,1000,34.79, 186
259655000,3750,61.75, 
259657000,5875,68.3, 
259660000,870,27.1, 259
259666000,3900,50.8, 
259682000,2400,52.04, 
259683000,7510,60.0, 
259691000,3900,57.3, 
259697000,7520,67.4, 
259707000,6120,59.75, 
259822000,1000,34.07, 
259845000,4080,59.2, 
259893000,1599,37.3, 
259937000,1000,33.95, 
259963000,2400,49.82, 
259995000,1400,34.07, 
257000410,114,10.22, 11
257000510,369,9.95, 
257002830,300,14.65, 24
257003910,430,9.48, 
257004640,197,10.59, 12
257007800,245,12.15, 18
257008040,152,10.65, 12
257014640,272,14.0, 23
257014900,175,10.65, 
257021140,135,10.65, 7
257025440,190,12.13, 18
257028640,152,10.6, 12
257030940,152,12.0, 12
257034440,250,12.52, 10
257038040,405,14.96, 
257041940,178,12.2, 15
257044640,185,9.69, 4
257046940,380,14.29, 35
257049240,205,12.02, 18
257057440,250,13.26, 18
257060440,290,12.13, 18
257061640,250,12.97, 21
257064040,285,12.09, 18
257065600,369,10.96, 
257079740,175,10.66, 12
257088540,190,10.6, 12
257089040,70,9.97, 10
257094940,250,12.9, 21
257098240,100,10.29, 8
257098740,400,13.98, 23
257101030,367,19.38, 84
257110720,76,9.24, 9
257124420,178,13.23, 23
257124500,610,12.32, 
257125720,330,14.86, 25
257128000,1000,34.99, 
257129140,450,14.97, 25
257132720,115,10.35, 9
257133000,990,34.07, 
257134420,80,10.66, 12
257135520,127,10.6, 7
257136340,180,10.64, 9
257138620,175,10.58, 11
257140040,152,10.99, 14
257140240,152,10.12, 11
257141720,116,10.55, 11
257141820,168,12.2, 19
257144920,230,10.6, 12
257146220,170,10.6, 10
257147320,131,10.61, 12
257152940,63,8.02, 
257154420,80,10.12, 9
257156500,500,10.66, 
257160020,411,14.98, 24
257160140,170,10.67, 
257160620,152,10.64, 12
257163840,330,10.2, 
257167320,152,10.98, 20
257168800,82,9.97, 
257170720,80,10.02, 10
257171020,250,12.95, 18
257172820,300,10.47, 11
257175220,85,8.8, 7
257176320,250,10.56, 12
257180000,3750,61.54, 
257182340,210,14.37, 24
257186140,291,10.66, 
257187740,330,10.2, 
257190140,154,10.66, 
257192540,255,10.66, 
257200920,85,9.3, 6
257201420,250,10.66, 12
257206640,205,12.08, 18
257208940,600,12.23, 
257209440,152,10.61, 12
257214820,131,10.56, 12
257217140,250,12.22, 
257218740,300,10.3, 8
257222222,430,9.95, 
257222620,260,14.63, 24
257229000,917,39.7, 173
257233520,192,14.75, 24
257248000,2500,39.99, 
257249020,76,8.69, 5
257250320,320,14.78, 24
257251600,500,10.65, 8
257277520,230,10.5, 12
257281000,2200,58.75, 
257285420,190,10.09, 8
257287220,68,8.63, 6
257302140,1304,36.34, 
257303040,235,10.65, 
257308640,280,12.83, 43
257308720,210,10.6, 14
257308940,265,10.62, 
257313740,500,10.65, 
257313940,154,10.65, 
257317440,500,10.65, 
257319420,160,10.62, 14
257321500,369,9.96, 
257326020,285,12.96, 17
257328620,250,10.98, 17
257330120,68,8.63, 6
257335820,167,10.62, 14
257337920,250,12.15, 14
257340820,345,14.98, 24
257341220,156,12.99, 17
257351420,116,10.15, 10
257351520,115,10.15, 10
257353420,238,14.1, 24
257357120,210,14.01, 20
257372000,6120,74.2, 
257391500,62,10.52, 10
257392120,250,10.98, 15
257392600,128,9.72, 12
257398920,102,10.66, 12
257406500,335,20.36, 60
257408600,154,10.55, 11
257416420,260,11.52, 13
257428820,68,10.05, 9
257430920,152,10.62, 14
257441520,156,12.83, 17
257448500,540,23.0, 166
257450500,348,18.34, 48
257454420,108,9.51, 9
257458500,538,21.07, 124
257458720,328,14.63, 20
257463220,136,9.06, 7
257465500,1000,33.46, 162
257467220,102,10.4, 9
257470500,440,22.15, 92
257476500,1632,42.5, 
257481500,340,8.8, 
257488220,100,9.87, 14
257496800,291,12.99, 
257498420,250,14.6, 19
257541790,650,10.62, 15
257560600,5000,56.8, 
257602250,252,12.21, 12
257606600,350,10.99, 
257681500,400,18.02, 24
257687000,6691,69.77, 
257687800,769,34.58, 
257688800,300,10.65, 
257699500,291,16.15, 35
257700600,620,10.62, 
257701500,310,14.85, 24
257710500,500,19.45, 60
257720800,715,10.96, 
257737500,400,17.25, 64
257774500,300,15.76, 24
257775500,250,13.35, 17
257779500,180,12.34, 23
257789500,255,15.53, 22
257795500,245,14.98, 22
257806500,720,27.11, 
257823500,343,14.95, 24
257834500,470,20.99, 97
257846600,265,10.99, 24
257857750,369,10.05, 
257867740,120,9.9, 
257927000,1000,34.85, 
257951500,245,12.2, 19
257953500,245,12.32, 19
257976500,320,19.2, 41
257993600,275,10.98, 
258067000,2400,50.75, 477
258098000,1000,37.52, 
258143000,380,20.86, 118
258247000,610,44.78, 
258471000,1020,27.97, 
258512610,425,10.66, 
258516910,400,14.6, 
258541000,608,27.39, 109
258544000,280,12.85, 
258545000,650,20.48, 
258549010,152,10.65, 13
258569000,1600,53.47, 298
258678000,990,41.1, 
258996620,880,23.79, 207
259122000,2100,41.18, 
259241000,970,21.3, 167
259290000,1000,37.49, 
259293820,175,10.5, 12
259295000,940,21.25, 142
259432000,5400,73.3, 
259449000,550,18.88, 70
259457000,1520,44.85, 
259508000,3200,44.85, 
259565000,1305,45.65, 
259576000,3900,50.2, 
259590000,550,20.99, 100
259595000,3300,53.9, 
259612000,7500,68.25, 
259623000,7500,67.4, 
259641000,1000,27.4, 
259656000,5000,54.6, 
259713000,2100,53.3, 
259855000,2500,43.8, 
257488002,402,16.52, 24
257867500,389,19.02, 43
257588500,520,23.71, 135
257421500,550,20.93, 91
257639500,477,20.3, 76
257629500,425,26.33, 169
257576500,440,23.27, 137
257860500,600,17.84, 79
257480500,600,23.8, 124
257245220,380,15.66, 34
258529000,520,22.5, 111
257824500,525,20.25, 55
257880500,390,18.55, 95
257937500,350,18.3, 40
257035940,500,14.09, 23
257333420,354,16.05, 24
257016340,550,20.18, 69
257408500,210,12.9, 17
257522600,940,27.41, 
257056040,461,18.05, 87
257803500,500,19.6, 80
257866500,448,21.32, 138
259200000,980,26.2, 236
257000910,154,10.55, 12
257557600,640,24.1, 161
257303000,650,22.05, 185
258442000,460,16.1, 63
257567600,720,27.3, 
258147000,1197,36.39, 
258052000,6000,56.2, 
258498000,940,23.95, 171
257067040,700,10.93, 
259388000,650,23.86, 185
257180800,610,10.94, 
257284600,270,12.19, 
257757000,2250,60.2, 
257997000,4896,78.0, 
257788700,300,10.65, 
