mmsi,power,length,tonnage
257126740,246,14.6, 24
257128440,192,10.63, 12
257129320,175,12.98, 15
257129520,76,8.81, 8
257130040,272,14.29, 23
257130620,145,10.5, 9
257130920,131,13.68, 20
257130940,196,10.65, 9
257131020,152,10.6, 15
257131220,114,10.65, 11
257131420,129,8.85, 7
257133140,178,10.61, 14
257133720,220,12.99, 21
257134500,250,10.4, 
257135000,3100,64.2, 
257135020,85,9.26, 5
257135220,296,12.32, 19
257135500,500,14.98, 
257135920,131,10.55, 11
257136420,80,10.02, 10
257136520,250,12.2, 19
257136640,130,10.55, 12
257136720,350,14.99, 24
257137420,190,10.65, 12
257138000,5440,74.0, 
257138120,114,9.58, 9
257138420,300,14.99, 32
257138720,360,14.94, 24
257138820,163,14.02, 14
257139120,300,14.95, 24
257139240,235,16.49, 29
257140140,130,10.6, 12
257140920,160,10.64, 12
257141020,108,9.02, 8
257141320,145,10.6, 12
257141940,152,12.1, 16
257142520,317,14.93, 22
257142620,135,10.45, 11
257142820,368,14.95, 25
257142920,76,9.65, 9
257143720,250,12.91, 21
257144020,165,10.6, 12
257144040,152,10.58, 12
257144120,185,12.2, 18
257144240,180,12.83, 17
257145320,152,10.66, 12
257145820,345,19.01, 65
257146020,130,10.55, 11
257146520,152,10.4, 11
257146640,160,10.65, 12
257147820,130,9.35, 9
257147920,370,16.03, 43
257148220,135,9.58, 9
257148520,176,10.63, 12
257148620,291,14.87, 24
257149000,1000,37.54, 
257149020,266,10.55, 11
257149420,250,10.58, 11
257149500,450,10.65, 8
257149920,250,14.97, 25
257150020,50,7.9, 4
257150120,178,10.62, 12
257150700,70,10.65, 7
257150720,160,12.2, 18
257150820,127,10.6, 12
257150920,167,10.6, 12
257151120,185,10.62, 5
257151240,290,12.98, 
257151420,250,14.11, 24
257151720,250,12.2, 19
257152420,154,10.62, 14
257152520,400,16.35, 45
257152620,330,19.86, 89
257153220,250,12.64, 20
257153240,250,12.24, 
257153500,6000,65.0, 
257153700,120,9.37, 8
257154220,112,10.4, 11
257154440,490,14.86, 
257154720,162,10.55, 11
257154900,357,10.31, 
257155040,350,10.31, 
257155500,913,14.98, 
257155740,175,12.21, 
257156040,400,14.96, 
257156120,160,10.66, 12
257156240,120,10.65, 12
257156720,203,10.99, 15
257157020,160,10.6, 18
257157120,250,13.68, 22
257157240,310,10.62, 
257157440,218,12.22, 
257157520,250,14.98, 24
257157640,330,10.71, 
257157740,175,12.21, 13
257157920,152,10.62, 12
257157940,280,12.72, 16
257158320,152,10.66, 12
257158840,200,10.15, 
