mmsi,GT
412420236,297.0
412420109,592.0
412329695,819.0
412329434,498.0
412463903,471.0
412695670,634.0
412440481,960.0
412465075,149.0
412440488,1128.0
412328795,336.0
412354445,479.0
412420646,955.0
412440176,419.0
412420984,605.0
412331048,276.0
412329686,1617.0
412698970,305.0
412328726,
412329678,1624.0
412420787,718.0
412420678,492.0
412691530,164.0
412465077,149.0
412110427,299.0
412331158,397.0
412420836,297.0
412420848,460.0
412698120,255.0
412209136,859.0
412329416,255.0
414203586,1408.0
412420315,1305.0
412695660,634.0
412671870,279.0
412439587,955.0
412420806,730.0
412679230,
412696740,626.0
412420466,496.0
412687180,115.0
412326798,473.0
412326798,271.0
412420231,457.0
412430920,499.0
412440367,1128.0
412326904,223.0
412420503,496.0
412420163,315.0
412439758,496.0
412430930,499.0
412695770,619.0
412371222,
413322680,
412329644,917.0
412420828,297.0
412697150,592.0
412401950,971.0
412331209,819.0
412420962,543.0
412439576,1300.0
412421049,4506.0
412331051,7765.0
412420929,498.0
412460285,302.0
412440241,681.0
412422706,487.0
412439579,1300.0
412329459,255.0
412420818,473.0
412422701,487.0
412420797,702.0
412329461,255.0
412420992,611.0
412426333,942.0
412420228,457.0
413322620,190.0
412440477,960.0
412672110,306.0
412439602,1596.0
412330103,
412440452,1497.0
412695690,634.0
413223000,502.0
412320026,199.0
412205140,626.0
412470420,225.0
412331053,1419.0
412329588,276.0
412440264,0.0
412420846,460.0
412420952,943.0
412698940,295.0
412331054,1655.0
412467334,149.0
412420687,950.0
412420435,299.0
412328746,651.0
412354055,479.0
412439765,498.0
412420825,495.0
412420813,473.0
412695430,698.0
412328752,651.0
412420794,396.0
413321670,157.0
412421064,581.0
412331026,
412440364,3014.0
412465078,149.0
412440487,1126.0
412331169,744.0
412440254,1202.0
412439584,498.0
412420865,428.0
412331168,744.0
412440479,960.0
412207535,470.0
412695550,634.0
412460288,302.0
412371194,1792.0
412422697,487.0
412329677,1624.0
412331076,1654.0
412205520,626.0
412420252,478.0
412420494,496.0
412420862,462.0
412440489,1128.0
412331141,1300.0
412694580,150.0
412420691,496.0
412111556,498.0
412692990,1195.0
412420849,460.0
412420563,616.0
412421067,
412500244,228.0
412420209,1096.0
412439764,498.0
412331154,297.0
412440249,857.0
412270039,7765.0
412672170,279.0
412465012,1315.0
412439604,1152.0
412420418,2020.0
412672060,277.0
412420892,496.0
412209197,295.0
412440039,404.0
412420927,470.0
412420502,498.0
412420211,980.0
412325002,
412460283,302.0
412329417,276.0
412421357,542.0
412331155,297.0
412671980,277.0
412326883,955.0
412674970,271.0
413322760,
412201847,362.0
412420244,453.0
412694470,1273.0
412460055,194.0
412695650,634.0
412440369,1128.0
412440271,0.0
412421034,552.0
412420951,542.0
412420926,470.0
412421025,317.0
412201842,362.0
412420812,473.0
412201875,989.0
412209148,299.0
412371182,1792.0
412420796,396.0
412421039,551.0
412330931,1366.0
412440484,1126.0
412331039,1408.0
412206008,921.0
412695640,634.0
412420581,736.0
412420934,602.0
412328725,
412201846,362.0
412371196,1004.0
412420596,345.0
412420406,498.0
412420963,543.0
412209011,
412675870,270.0
412331062,1497.0
412420854,479.0
412420922,487.0
412420239,297.0
412440555,1478.0
412440558,
412205337,356.0
413456000,
412200221,295.0
412420923,
412422694,487.0
412329439,498.0
412110346,298.0
412329643,917.0
412440047,282.0
412200215,295.0
412673480,237.0
412321680,157.0
413404410,712.0
412421017,651.0
412420647,955.0
412440508,657.0
412420377,948.0
412439588,955.0
412329448,298.0
412430940,499.0
412440444,1318.0
412420648,732.0
412440359,1137.0
412420421,498.0
412420891,462.0
412354057,479.0
412371205,1253.0
412420247,477.0
412440222,830.0
412440236,
412420165,320.0
412689540,120.0
412671930,277.0
412440438,1318.0
412420793,396.0
412420124,305.0
412331016,819.0
412420376,942.0
412209201,295.0
412420688,950.0
412420279,482.0
412695240,1331.0
412463901,471.0
412672070,306.0
412440441,1318.0
412436952,
412420823,592.0
412421013,615.0
412440561,
412439599,1596.0
412331034,989.0
412420462,498.0
412420959,543.0
412331156,297.0
412420341,946.0
412440009,309.0
412679240,
412420821,473.0
412371203,1253.0
412671890,277.0
412440334,299.0
412440252,1202.0
412354091,736.0
412420317,1305.0
413011000,523.0
412300378,215.0
412280982,3879.0
412420677,731.0
412201871,295.0
412209142,859.0
412333356,238.0
412209198,295.0
412400154,371.0
412694840,579.0
412420409,471.0
412420504,496.0
412328733,651.0
412209233,271.0
412689320,225.0
412695620,634.0
412694570,150.0
412331009,
412420954,480.0
412690510,
412420434,299.0
412421022,1687.0
412422696,487.0
412420472,946.0
412420985,646.0
412440285,89.0
412420213,499.0
412420339,477.0
412463905,471.0
412439741,488.0
412440442,1318.0
413328727,
412420832,297.0
412690490,
412331153,297.0
412424547,965.0
412440478,960.0
412280992,531.0
412424702,965.0
412209203,295.0
412421016,617.0
412420255,495.0
412330105,
412420873,586.0
412401260,279.0
412465014,1315.0
412439586,955.0
412217999,5306.0
412440317,
412420819,473.0
412691770,284.0
412440321,
412420534,496.0
412329421,276.0
412421026,317.0
412440066,298.0
412329418,276.0
412440154,742.0
412468636,149.0
412440383,624.0
413322770,
412500157,225.0
412328789,403.0
412110176,285.0
412302021,
412420792,396.0
412440237,
413501950,165.0
412329404,1066.0
412209139,859.0
412441730,1144.0
412331177,
412440031,577.0
412420538,496.0
412371195,1009.0
412470430,225.0
413322660,199.0
412440259,0.0
412331159,397.0
412200216,295.0
412679210,497.0
412440261,0.0
412331037,989.0
412672090,347.0
412420246,495.0
413300480,573.0
412331157,397.0
412667940,395.0
412467335,149.0
412465076,149.0
412328758,270.0
412371192,577.0
412440559,
412440011,309.0
412420871,460.0
412691520,164.0
412331174,1531.0
412420645,731.0
412371197,411.0
412200987,322.0
412421029,347.0
412671880,276.0
412421006,711.0
412421015,617.0
412329517,328.0
412420164,320.0
412421063,568.0
412440335,299.0
412440265,0.0
412440378,1053.0
412440173,511.0
412672210,279.0
412420958,552.0
412420168,319.0
412206009,921.0
412200336,861.0
412440251,857.0
412460287,302.0
412420652,732.0
412331149,297.0
412440243,857.0
412420288,491.0
412329419,276.0
412420471,946.0
412695680,634.0
412300377,1596.0
412440157,742.0
412420432,955.0
412420578,736.0
412440256,0.0
412421059,1347.0
412420973,594.0
412209149,299.0
412331122,720.0
412420195,298.0
412201876,989.0
412209132,859.0
412695760,622.0
412401250,276.0
412440278,89.0
412420906,461.0
412440238,
412329518,328.0
412217989,1095.0
412420278,482.0
412209202,295.0
412698550,317.0
412326972,271.0
412420876,510.0
412420577,496.0
412420467,498.0
412329446,298.0
412420795,396.0
412331123,720.0
412440435,1037.0
412440486,1126.0
412420248,477.0
412694520,150.0
412440517,1109.0
412698990,353.0
412698960,301.0
412328748,651.0
412440056,285.0
413228752,651.0
412329557,276.0
412300365,255.0
412331015,819.0
412420789,718.0
412695570,516.0
412207537,470.0
412329408,454.0
412329403,357.0
412460286,302.0
412420405,498.0
412209183,558.0
412371198,411.0
412326877,255.0
412326971,271.0
412329679,1577.0
412439742,488.0
412440381,1053.0
412331152,297.0
412420562,433.0
412672150,277.0
412440149,742.0
413205070,
412440362,1137.0
412209151,299.0
412420814,473.0
412440443,1318.0
412440328,
412420974,658.0
412200989,322.0
412420461,946.0
412331088,1655.0
412420644,731.0
412420978,267.0
412209195,295.0
412329688,1617.0
412421009,494.0
412420965,686.0
412110429,299.0
412440268,0.0
412985000,497.0
412329633,989.0
412420981,650.0
412440373,
412331091,1449.0
412695610,634.0
412421004,617.0
412420535,496.0
412420243,453.0
412420428,498.0
412328757,270.0
412420384,949.0
412420533,1910.0
412440235,
412420583,394.0
