mmsi,callsign,tonnage,length,ffa_ENGINE_POWER,ffa_ENGINE_UNIT,power
412328758,BZTK4,270.0,36.52,550,KW,550.0
412328759,BZTK3,270.0,36.52,550,KW,550.0
412328761,BZTK2,270.0,36.52,550,KW,550.0
412328783,BBDP8,206.0,40.93,540,KW,540.0
412329402,BBZS1,357.0,45.6,735,KW,735.0
412329403,BBZS2,357.0,45.6,735,KW,735.0
412329416,BBKV6,255.0,35.16,750,KW,750.0
412329417,BBKV9,276.0,37.56,750,KW,750.0
412329418,BBFC8,276.0,37.56,750,KW,750.0
412329426,BBIM9,255.0,35.16,720,KW,720.0
412331014,BZTX2,684.0,56.94,1000,HP,750.0
412331026,BZYX8,577.0,53.51,735,HP,551.25
412331078,BCFC6,720.0,56.0,1470,KW,1470.0
412331079,BCFC7,720.0,56.0,1470,KW,1470.0
412331086,BBLM6,265.0,41.7,750,KW,750.0
412331099,BZSW,157.0,29.0,351,KW,351.0
412331101,BZSW2,157.0,29.0,351,KW,351.0
412331102,BZSW3,157.0,29.0,351,kw,351.0
412331103,BZSW4,157.0,29.0,351,KW,351.0
412331104,BZSW5,157.0,29.0,351,KW,351.0
412331105,BZSW6,157.0,29.0,351,KW,351.0
412331122,BCFC8,720.0,56.0,1470,KW,1470.0
412331123,BCFC9,720.0,56.0,1470,KW,1470.0
412348301,BZZO7,669.0,57.68,1000,HP,750.0
412370007,BIWJ,619.0,57.02,735,KW,735.0
412371178,BZ6UW,577.0,54.07,698,HP,523.5
412371179,BZ7UW,577.0,54.07,698,KW,698.0
412371181,BIWM,1640.0,75.47,2880,HP,2160.0
412371182,BIWO,1640.0,75.47,2880,HP,2160.0
412371191,BZ6UY,577.0,56.17,735,KW,735.0
412371192,BZ7UY,577.0,53.51,735,KW,735.0
412371194,BZU8E,1792.0,75.34,2648,KW,2648.0
412371197,BZU4E,411.0,49.3,596,KW,596.0
412371198,BZU5E,411.0,49.3,596,KW,596.0
412420109,BZVZ8,634.0,56.5,735,KW,735.0
