mmsi,flag_country_name,known_label,known_length,is_high_seas,crew
416164600,Taiwan,drifting_longlines,56.0,True,30
416120500,Taiwan,drifting_longlines,57.78,True,30
416003955,Taiwan,drifting_longlines,34.0,False,16
577146000,Vanuatu,drifting_longlines,55.462,True,25
576699000,Vanuatu,drifting_longlines,54.248,True,30
416233500,Taiwan,drifting_longlines,21.5,True,14
441536000,South Korea,drifting_longlines,47.54,True,25
440517000,South Korea,drifting_longlines,50.28,True,25
441018000,South Korea,drifting_longlines,47.8228571429,True,25
441251000,South Korea,drifting_longlines,49.77,True,25
413342000,China,drifting_longlines,34.65,True,13
413270220,China,drifting_longlines,51.4688888889,True,30
441201183,South Korea,drifting_longlines,33.74,False,12
412200079,China,drifting_longlines,49.2,True,31
441201729,South Korea,drifting_longlines,25.8,False,11
441201728,South Korea,drifting_longlines,25.8,False,11
412420905,China,drifting_longlines,44.0,True,20
412420985,China,drifting_longlines,48.7,True,30
412420851,China,drifting_longlines,43.1966666667,True,25
412420901,China,drifting_longlines,41.0,True,17
440886000,South Korea,drifting_longlines,50.5328571429,True,25
431700200,Japan,drifting_longlines,44.8,True,23
431500990,Japan,drifting_longlines,48.19,False,25
431206000,Japan,drifting_longlines,52.685,True,22
431725000,Japan,drifting_longlines,54.8,True,25
431298000,Japan,drifting_longlines,49.99,True,24
431253000,Japan,drifting_longlines,49.2,True,23
440820000,South Korea,drifting_longlines,48.08,True,25
440733000,South Korea,drifting_longlines,48.08,True,25
440612000,South Korea,drifting_longlines,49.0257142857,True,25
440628000,South Korea,drifting_longlines,50.5467857143,True,25
440966000,South Korea,drifting_longlines,50.1666666667,True,25
440045000,South Korea,drifting_longlines,48.08,True,25
440986000,South Korea,drifting_longlines,48.08,True,25
440809000,South Korea,drifting_longlines,49.91,True,25
520271000,Fiji,drifting_longlines,30.03,True,14
520241000,Fiji,drifting_longlines,41.5,True,18
412420876,China,drifting_longlines,48.7514705883,True,28
431700150,Japan,pole_and_line,59.7333333333,True,33
431801000,Japan,pole_and_line,59.1566666667,True,32
338622000,United States,purse_seines,57.878,False,25
366020000,United States,purse_seines,67.801375,True,39
367333000,United States,purse_seines,69.4975,True,25
368489000,United States,purse_seines,63.402125,True,25
553111788,Papua New Guinea,purse_seines,64.7,False,25
553111771,Papua New Guinea,purse_seines,71.79,True,40
735058003,Ecuador,purse_seines,115.706,False,27
416238800,Taiwan,purse_seines,71.79,True,40
416233600,Taiwan,purse_seines,71.79,False,40
538060015,Marshall Islands,purse_seines,73.7066666667,False,32
510054000,Federated States of Micronesia,purse_seines,79.35,True,30
510057000,Federated States of Micronesia,purse_seines,79.61,True,34
529695000,Kiribati,purse_seines,63.4666666667,True,25
440990000,South Korea,purse_seines,68.1,True,25
441166000,South Korea,purse_seines,78.0933333333,True,29
413298000,China,purse_seines,75.225,False,25
529004000,Kiribati,purse_seines,56.5966666667,False,24
431310000,Japan,purse_seines,60.52,False,24
431671000,Japan,purse_seines,60.68,False,24
432438000,Japan,purse_seines,61.145,False,24
548905000,Philippines,purse_seines,68.4766666667,False,35
548831000,Philippines,purse_seines,68.4766666667,False,37
416043800,Taiwan,purse_seines,64.7,False,40
416574000,Taiwan,purse_seines,69.22,False,28
416574000,Taiwan,purse_seines,69.22,True,28
413032000,China,purse_seines,64.7,True,30
431501404,Japan,purse_seines,60.68,False,22
432726000,Japan,purse_seines,76.75,False,30
432685000,Japan,purse_seines,76.75,False,27
440542000,South Korea,purse_seines,77.075,True,25
440644000,South Korea,purse_seines,68.17,True,22
224523000,Spain,purse_seines,84.1,True,27
529417000,Kiribati,purse_seines,72.455,True,25
367179000,United States,purse_seines,68.7915,True,39
441446000,South Korea,purse_seines,74.51,True,22
412440032,China,drifting_longlines,54.2,True,30
440648000,South Korea,drifting_longlines,50.66475,True,25
440920000,South Korea,drifting_longlines,48.08375,True,25
441226015,South Korea,drifting_longlines,22.85,True,9
441660000,South Korea,drifting_longlines,49.3043333333,True,25
412371197,China,drifting_longlines,47.716,True,19
441483000,South Korea,drifting_longlines,47.51,True,25
412687110,China,drifting_longlines,24.555,True,10
412371181,China,purse_seines,69.2766666667,False,34
440780000,South Korea,drifting_longlines,49.6185714286,True,25
553111765,Papua New Guinea,purse_seines,70.8,False,41
412460115,China,drifting_longlines,38.15,True,18
412694590,China,drifting_longlines,27.085,False,12
416003472,Taiwan,drifting_longlines,23.9,True,15
416199800,Taiwan,drifting_longlines,26.76,False,15
416102500,Taiwan,drifting_longlines,27.3066666667,True,12
416004246,Taiwan,drifting_longlines,35.7,False,20
577289000,Vanuatu,drifting_longlines,49.7033333333,True,28
576754000,Vanuatu,drifting_longlines,23.8,True,12
441680000,South Korea,drifting_longlines,50.6966666667,True,25
440704000,South Korea,drifting_longlines,50.7089285714,True,25
441084000,South Korea,drifting_longlines,47.8228571429,True,25
413343000,China,drifting_longlines,34.65,True,13
412320026,China,drifting_longlines,35.68,True,12
412420915,China,drifting_longlines,41.0,True,20
441225915,South Korea,drifting_longlines,22.85,True,9
520188000,Fiji,drifting_longlines,28.95,False,12
412320026,China,drifting_longlines,35.68,False,12
431702990,Japan,drifting_longlines,52.1666666667,True,25
431380000,Japan,drifting_longlines,51.2,True,25
412689850,China,drifting_longlines,33.6,True,12
440604000,South Korea,drifting_longlines,49.0257142857,True,25
520076000,Fiji,drifting_longlines,31.6333333333,False,15
412371192,China,drifting_longlines,53.51,True,30
452005511,Federated States of Micronesia,purse_seines,61.88,True,21
553111643,Papua New Guinea,purse_seines,61.75,False,25
510060000,Federated States of Micronesia,purse_seines,65.02,False,25
440104000,South Korea,purse_seines,73.6933333333,True,28
412328729,China,purse_seines,60.31,False,35
416500000,Taiwan,purse_seines,65.7,False,30
431308000,Japan,purse_seines,60.68,False,24
432487000,Japan,purse_seines,63.24,False,24
440822000,South Korea,purse_seines,75.33375,False,22
440450000,South Korea,purse_seines,74.9833333333,True,25
440823000,South Korea,purse_seines,78.33,True,22
440671000,South Korea,purse_seines,72.1705555556,True,25
367666000,United States,purse_seines,79.288875,True,21
553111743,Papua New Guinea,purse_seines,75.66,False,29
416631000,Taiwan,drifting_longlines,52.6482142857,True,32
431796000,Japan,purse_seines,64.21,True,23
416004158,Taiwan,drifting_longlines,23.9,True,14
735058003,Ecuador,purse_seines,115.706,True,27
413322620,China,drifting_longlines,32.74,True,16
431680000,Japan,pole_and_line,59.1566666667,True,35
412331029,China,drifting_longlines,51.2,True,31
359001000,El Salvador,purse_seines,91.9,True,29
36764000,United States,purse_seines,59.4206481481,True,25
557005500,Solomon Islands,purse_seines,70.8,False,35
431159000,Japan,purse_seines,60.68,False,24
412460285,China,drifting_longlines,41.015,True,18
440952000,South Korea,drifting_longlines,50.79,True,25
440584000,South Korea,drifting_longlines,50.7896428571,True,25
441219253,South Korea,drifting_longlines,33.76,True,12
416004299,Taiwan,drifting_longlines,23.9,False,14
538060019,Marshall Islands,purse_seines,71.79,True,32
444080710,South Korea,purse_seines,79.9,True,29
451004112,Kyrgyz Republic,purse_seines,61.51,False,20
441219875,South Korea,drifting_longlines,35.5,True,13
432549000,Japan,purse_seines,65.735,False,24
412694570,China,drifting_longlines,27.085,False,13
440552000,South Korea,purse_seines,64.4625,True,22
441226315,South Korea,drifting_longlines,22.85,True,10
553111756,Papua New Guinea,purse_seines,89.21,True,25
441247715,South Korea,drifting_longlines,22.85,True,9
338873000,United States,purse_seines,72.436,True,25
538060004,Marshall Islands,purse_seines,60.71,True,28
735057638,Ecuador,purse_seines,77.3625,True,30
412371182,China,purse_seines,70.825,True,34
416004583,Taiwan,drifting_longlines,23.9,True,17
416101900,Taiwan,drifting_longlines,27.3066666667,True,12
416000817,Taiwan,drifting_longlines,21.5,True,8
416003505,Taiwan,drifting_longlines,19.23,False,8
441825000,South Korea,drifting_longlines,48.038,True,25
416004043,Taiwan,drifting_longlines,23.9,True,15
416230600,Taiwan,drifting_longlines,23.95,True,15
416002768,Taiwan,drifting_longlines,27.2,True,14
416199800,Taiwan,drifting_longlines,26.76,True,15
416220800,Taiwan,drifting_longlines,35.808,True,20
510033000,Federated States of Micronesia,drifting_longlines,26.26,False,10
441241000,South Korea,drifting_longlines,47.61,True,25
440617000,South Korea,drifting_longlines,50.2728571429,True,25
440522000,South Korea,drifting_longlines,50.2885714286,True,25
432626000,Japan,drifting_longlines,53.39,True,25
412326904,China,drifting_longlines,33.74,True,12
412674190,China,drifting_longlines,52.7,True,26
412270058,China,drifting_longlines,49.3,False,30
412420583,China,drifting_longlines,42.465,True,15
412689540,China,drifting_longlines,27.86,True,12
416232500,Taiwan,drifting_longlines,57.6,True,30
441811000,South Korea,drifting_longlines,52.9811111111,True,25
431700060,Japan,drifting_longlines,51.5233333333,True,23
431701560,Japan,drifting_longlines,49.39,True,23
431798000,Japan,drifting_longlines,54.8,True,25
431053000,Japan,drifting_longlines,52.686,True,23
440654000,South Korea,drifting_longlines,48.225,True,25
416210600,Taiwan,drifting_longlines,27.3,True,14
440751000,South Korea,drifting_longlines,52.22,False,25
412691530,China,drifting_longlines,31.2333333333,False,13
440055000,South Korea,drifting_longlines,48.78,True,25
441098000,South Korea,drifting_longlines,50.79,True,25
440950000,South Korea,drifting_longlines,47.2075,True,25
440950000,South Korea,drifting_longlines,47.2075,False,25
441072000,South Korea,drifting_longlines,49.91,True,25
440782000,South Korea,drifting_longlines,49.91,True,25
412420435,China,drifting_longlines,40.5,True,15
416218900,Taiwan,drifting_longlines,22.4,False,12
416097500,Taiwan,drifting_longlines,57.6,True,30
412695430,China,drifting_longlines,59.2,True,31
416017500,Taiwan,purse_seines,66.21,True,28
359004000,El Salvador,purse_seines,82.8283333333,True,29
431200970,Japan,pole_and_line,56.87,True,30
431769000,Japan,pole_and_line,56.5033333333,True,29
431722000,Japan,pole_and_line,58.065,True,26
441650000,South Korea,drifting_longlines,49.1171428571,True,25
303137000,United States,purse_seines,69.9933611111,True,25
368046000,United States,purse_seines,69.164125,True,39
533111749,Malaysia,purse_seines,71.23,False,25
416004831,Taiwan,purse_seines,70.59,True,38
416501000,Taiwan,purse_seines,69.26,False,30
416238800,Taiwan,purse_seines,71.79,False,40
510054000,Federated States of Micronesia,purse_seines,79.35,False,30
529729000,Kiribati,purse_seines,65.59,True,25
529469000,Kiribati,purse_seines,75.0633333333,True,25
413034000,China,purse_seines,66.23,False,30
412439604,China,purse_seines,65.3566666667,False,30
512012000,New Zealand,purse_seines,65.0733333333,True,19
548831000,Philippines,purse_seines,68.4766666667,True,37
416532000,Taiwan,purse_seines,64.76,True,40
413032000,China,purse_seines,64.7,False,30
416004409,Taiwan,drifting_longlines,23.85,True,18
416016600,Taiwan,purse_seines,69.25,False,40
440239000,South Korea,drifting_longlines,48.08,True,25
520183000,Fiji,drifting_longlines,29.43,False,12
416120600,Taiwan,drifting_longlines,56.0,True,30
412689860,China,drifting_longlines,33.6,True,12
416001500,Taiwan,purse_seines,66.2666666667,True,35
416411000,Taiwan,purse_seines,72.37,False,35
224782000,Spain,purse_seines,105.0,True,34
431200060,Japan,pole_and_line,56.3,True,30
412320024,China,drifting_longlines,35.68,True,12
416000235,Taiwan,drifting_longlines,29.0,False,15
510034000,Federated States of Micronesia,drifting_longlines,26.82,False,10
412201849,China,drifting_longlines,35.75,True,18
440287000,South Korea,drifting_longlines,49.91,True,25
413341000,China,drifting_longlines,32.7,False,13
