,mmsi,shiptype,length,tonnage,length_stddev,tonnage_stddev,number_shiptypes
2831,538060007,Purse_seines,61.85,1152.0,,,1
2832,263271000,Drifting_longlines,27.6,225.0,0.0,0.0,1
2833,412217989,Purse_seines,57.8,1095.0,,,1
2834,224156290,Pole_and_line,24.5,93.57,,,1
2835,225460000,Unknown,46.3,480.0,,,1
2836,366934000,Recreational_fishing,25.0,120.0,,,1
2837,204211000,Drifting_longlines,27.505,225.0,0.0057735026919,0.0,1
2838,227902000,Trawlers,20.4,91.83,,,1
2839,224185350,Unknown,27.31,138.14,,,1
2840,510021000,Reefer,59.0,496.0,,,1
2841,224212820,Purse_seines,22.4,53.01,,,1
2842,576664000,Drifting_longlines,23.8,93.18,,,1
2843,238624910,Purse_seines,39.16,385.0,,,1
2844,355874000,Reefer,99.2,3520.0,,,1
2845,553111733,Purse_seines,70.8,1408.0,,,1
2846,355317000,Reefer,79.83,2113.0,0.0,0.0,1
2847,271062155,Unknown,31.4,241.0,,,1
2848,440287000,Drifting_longlines,49.91,,0.0,120.057129258,1
2849,503798600,Drifting_longlines,18.72,70.0,0.582085500087,0.0,1
2850,247158700,Unknown,33.5,239.0,,,1
2851,416002155,Drifting_longlines,21.0,49.7,,,1
2852,538060019,Purse_seines,71.79,1344.0,,,1
2853,247099330,Purse_seines,23.12,43.0,,,1
2854,237216000,Trawlers,24.95,27.86,,,1
2855,520179000,Drifting_longlines,36.6,193.0,,,1
2856,367426580,Unknown,15.84,55.0,,,1
2857,247141170,Drifting_longlines,20.5,78.0,,,1
2858,520145000,Drifting_longlines,36.6,193.0,,,1
2859,227317980,Trawlers,21.1,55.95,,,1
2860,271062059,Purse_seines,27.5,68.08,,,1
2861,416001486,Drifting_longlines,21.4,49.38,,,1
2862,367104180,Pole_and_line,25.0,90.0,,,1
2863,355690000,Reefer,122.92,6964.0,,,1
2864,226267000,Trawlers,24.96,188.49,,,1
2865,642167243,Purse_seines,28.0,150.0,,,1
2866,412322280,Reefer,92.23,3260.0,,,1
2867,224042740,Purse_seines,20.0,52.62,,,1
2868,440102000,Reefer,115.8,4189.0,,,1
2869,235005640,Trawlers,32.1,,,,1
2870,235003170,Trawlers,36.6,,,,1
2871,416001497,Drifting_longlines,23.5,74.53,,,1
2872,416000456,Drifting_longlines,21.95,48.71,,,1
2873,512000044,Recreational_fishing,24.9,156.7,,,1
2874,224104180,Unknown,24.4,126.0,,,1
2875,224111190,Unknown,31.3,254.0,,,1
2876,250165000,Trawlers,41.3,644.0,,,1
2877,227144400,Trawlers,24.9,154.23,,,1
2878,367151830,Recreational_fishing,23.0,95.0,,,1
2879,503586500,Drifting_longlines,27.78,155.0,0.0,0.0,1
2880,224101970,Purse_seines,21.0,49.95,,,1
2881,642247000,Purse_seines,34.48,217.0,,,1
2882,224012690,Drifting_longlines,24.85,147.0,,,1
2883,316002839,Unknown|Trollers,13.48,12.935,0.0,2.23434554176,2
2884,440641000,Drifting_longlines,49.616,467.2,0.00803219328902,86.7476875215,1
2885,224218850,Unknown,27.12,96.49,,,1
2886,224881000,Drifting_longlines,39.8,437.0,0.0,0.0,1
2887,431702230,Drifting_longlines,49.39,418.6,0.0,79.5187135613,1
2888,775626000,Purse_seines,62.17,881.7,0.0,33.8887254745,1
2889,224010000,Drifting_longlines,29.0,,0.0,39.3915258361,1
2890,431329000,Drifting_longlines,49.2,435.8,0.0,81.9283715481,1
2891,441527000,Drifting_longlines,49.385,442.0,0.0160356745147,0.0,1
2892,576975000,Drifting_longlines,57.06,637.0,0.0,0.0,1
2893,238751940,Unknown,23.12,100.0,,,1
2894,303114000,Drifting_longlines,23.7266666667,174.0,0.0194028500029,0.0,1
2895,224068000,Drifting_longlines,32.0,,0.0,63.8911333682,1
2896,660002500,Drifting_longlines,23.9,165.0,,,1
2897,416004662,Drifting_longlines,23.9,99.8,,,1
2898,431739000,Drifting_longlines,49.3755244755,449.762237762,0.199724029043,76.5316797189,1
2899,354670000,Reefer,80.876,2047.0,2.2268957912,0.0,1
2900,247074640,Purse_seines,21.36,64.0,,,1
2901,250269000,Trawlers,26.0,243.0,,,1
2902,431882000,Drifting_longlines,49.9,451.0,0.0,84.3380295348,1
2903,316003050,Unknown|Trollers,18.825,163.57,0.0353553390593,0.0,2
2904,431602130,Drifting_longlines,48.19,418.6,0.0,79.5187135613,1
2905,503798800,Drifting_longlines,21.1,140.0,0.0,0.0,1
2906,366207630,Trollers,21.82,89.0,,,1
