mmsi,clav_TUVI,rfmo_id,length,tonnage,power_kw
224130000,66,8767,38,427,
431500180,395,4915,49.2,398,
224120840,1666,8789,24,43,
440847000,201,8133,49.91,410,888
440751000,486,8403,49.91,410,888
440954000,272,8219,49.62,424,888
440628000,1127,8353,49.77,424,888
263570000,826,14398,43,498,880.6
440963000,175,8117,49.61,423,888
431500040,394,4887,49.2,409,729.64
416001225,13855,14702,27.9,99,555
440612000,1123,8351,48.28,401,888
367512170,21171,15051,26.94,155,666
416091900,117,8729,59.2,697,1184
224717000,71,12430,NA,NA,
416002896,15013,12475,26.1,79,555
224130870,7983,8807,29.36,149,
224259000,1533,14940,28,136,306.36
412371198,36562,15993,44.02,411,600.14
431889000,1193,4171,51.4,499,
431701010,1150,5513,49.32,439,
440549000,937,8365,49.47,427,888
431702230,1060,5461,49.39,379,
345080700,26264,15666,79.5,2042,3752.54
224076000,15,8757,31,222,310.8
224752000,1169,6423,38.5,371,455.1
431700210,1137,4403,49.2,395,384.8
224687000,1532,14913,25.7,154,174.64
431602260,763,4547,49.32,409,
416003700,2694,14674,56.9,720,1036
432458000,620,11997,52.6,499,1331.26
416001245,14231,15597,28.3,98,481
440704000,863,8291,49.61,416,888
577289000,1794,14351,50.15,547,814
577290000,291,15548,55.45,598,1184
431070000,1008,4495,58.57,439,
431329000,617,4543,49.2,395,
224016530,1449,8795,27.3,171,273.8
416235500,16203,14646,35.5,199,763.68
431602020,1013,4841,47.8,379,
431798000,1324,4573,54.8,499,
440645000,1280,8187,49.61,408,888
432447000,1332,12003,49.99,439,729.64
412370007,14705,4481,49.95,409,543.9
416773000,6794,12348,43,465,
440224000,309,12157,43.54,350,740
224099470,1477,8839,28,99,
577106000,23973,14325,120.75,4490,2307.32
577105000,26898,14332,120.75,4493,3011.8
432346000,590,9055,50.6,439,740
538002960,26691,14661,95.95,2782,
440808000,258,8223,46.56,393,1036
431500990,1241,4897,48.19,434,
367170000,15658,12484,70.59,1376,
416303000,1086,8705,57.78,720,1110
432463000,436,12013,49.99,439,
431703970,806,4339,49.99,439,
416239700,21348,14905,35.7,198,763.68
224186000,8069,8871,31.6,150,
416136900,1393,14621,54.85,708,888
577077000,26785,14341,98.28,3858,2968.14
416217500,15672,14677,29.4,99,523.18
440574000,251,8161,49.91,408,888
345080900,26401,15833,79.05,2042,3752.54
576699000,63,15985,55.1,582,1036
316003481,21454,14820,14.3,19,222
553111750,14419,9525,60.71,1099,
224069130,8147,8911,33,154,
371789000,4750,3652,78.29,1640,1498.5
431600220,586,12015,31.25,149,583.86
412460075,24782,15272,38.15,296,591.26
416229600,20236,14667,31.2,142,695.6
441811000,21035,8707,51.19,483,1184
440931000,901,8307,49.61,416,888
204811000,32,14407,50.75,764,
412420911,24894,15637,41,461,740
431919000,15585,12057,56.3,666,
735059089,1702,4129,77.3,2165,3256
224122000,740,12133,44.45,347,
224456000,959,12137,44.45,357,
440858000,274,8155,49.91,397,888
431225000,15608,12073,50.5,495,
345080500,24856,15600,79.5,2042,3752.54
224578000,1367,12492,29.79,238,444
432045000,624,4195,52.6,499,
431200970,814,13594,56.87,499,
412420891,24849,15591,41,462,740
432936000,609,4597,50.59,436,739.26
224176370,8158,14947,24.7,151,200.54
431702580,1141,4161,48.4,391,
529382000,35630,16004,120.2,4574,4145.48
366020000,14455,14605,70.59,1376,
412691310,1412,11991,48.6,523,761.46
416002768,15005,15264,27.2,80,613.46
224020890,8013,14923,30,239,310.06
431769000,816,13592,53.35,495,
416001661,13899,12480,25.25,95,555
412420596,21353,14719,40.67,345,692.64
412371207,38369,15995,43.2,560,675.62
431116000,1228,4933,49.2,379,739.26
224045260,7952,8771,27,99,
224385000,8043,8847,34.2,193,
369519000,5901,9887,20.63,57,270.1
338060008,587,7387,23.92,145,518
440952000,282,8203,49.91,417,888
440966000,202,8127,49.91,416,888
431424000,1196,4153,52.76,498,
412270059,1453,7135,50,647,761.46
431154000,396,4925,49.2,437,729.64
432408000,591,9197,49.99,439,
