mmsi,clav_TUVI,rfmo_id,length,tonnage,power_kw
416602000,24162,14648,76.8,1095,
416171700,463,8747,59.2,635,1184
432228000,611,9189,49.3,399,
416003189,15707,14696,29.2,98,740
416123900,476,8751,55.75,568,1036
440620000,273,8165,49.91,408,888
312982000,26688,14959,109.7,5537,2475.3
440522000,940,8367,49.47,427,888
416002642,14300,12478,26.8,87,403.3
576397000,38103,13646,93.78,2600,
432987000,24863,15608,49.65,439,
369354000,3764,12988,15.69,33,389.24
416003741,1164,13620,34,184,763.68
431263000,38579,16002,104.2,4865,
224415000,729,5663,43.5,620,500.24
431700260,1129,4407,49.99,410,384.8
636016700,16272,15976,115,5136,5032
440236000,264,8167,49.91,408,888
416004583,36156,15970,23.9,100,695.6
431444000,1326,4541,54.8,499,
224047990,26,6357,28,237,350.76
775602000,4723,3403,64.72,1356,2664
367721000,1081,11035,23.77,89,592
224100530,8212,14917,25.5,158,337.44
432453000,546,4803,52.19,489,
224020170,1,8801,25.05,76,
413201090,1791,13566,47.99,577,740
367778000,25422,2662,20.11,99,296
529089000,26687,14954,95.2,2495,2442
224094520,1211,8903,26.3,209,461.76
224103000,2046,12433,NA,NA,
367561420,26546,15903,31.45,177,708.92
416002948,156,14632,26.1,80,613.46
357788000,24156,15914,78.72,1890,
440220000,23992,13641,94,2604,
224069690,8137,8897,34.2,205,
431200880,917,13595,53.34,499,
416768000,2861,14641,51.85,491,814
664589000,1514,13757,44.5,393,
432515000,349,4383,51.4,498,740
316006888,21293,14857,14.32,11,66.6
312028000,10022,128,25.52,99,
431382000,639,4197,52.6,499,
577132000,24164,15247,134.15,6558,4578.38
432288000,15588,12063,51.19,499,
440820000,420,8425,47.21,385,740
416171600,464,8745,59.2,635,1184
431710000,15070,12081,41.2,299,
576634000,331,5723,46.5,499,888
416002135,14209,6575,27,80,
431802000,1149,5523,49.39,379,
441910000,12974,14655,49,603,
576414000,26935,13647,94.65,3496,2960
367440980,24567,15174,15.2,40,259
416053500,683,8603,55.9,496,888
432276000,38408,4191,51.4,499,739.26
367366210,1002,2827,20.78,105,370
224918000,742,8825,43,627,739.26
412371206,38368,15994,43.2,560,675.62
412420915,24897,15640,41,461,740
432475000,570,12043,50.69,439,
440617000,938,8361,49.47,427,888
416202700,14224,15596,30,98,555
224040000,7997,8811,29.3,149,
432468000,636,12009,52.19,469,
366245070,676,14498,22.92,93,370
431791000,1140,4413,49.9,423,
416004098,16177,15266,21.5,99,695.6
367134190,73,13114,19.69,80,253.82
338287000,1040,10977,17.67,52,325.6
412420896,24532,15544,41,462,724.46
416822000,1083,8677,54.85,711,1036
441869000,24714,15240,32.57,173,740
416220900,508,14387,29.4,98,695.6
367500440,1261,14578,17.98,63,259
366207630,4340,14050,21.82,102,458.8
412205130,1798,12425,48.6,626,888
412439607,14417,9535,61.94,1284,
224933000,1509,8755,28,201,264.18
338192000,5074,5779,30.44,86,888
367331760,25091,15362,21.64,99,444
367575760,26544,15865,17.67,83,444
500430,556,4901,49.3,379,739.26
440821000,122,8431,47.21,384,740
576850000,1198,9335,48.6,498,
440944000,8,8233,44.75,353,888
440503000,1126,8355,49.77,424,888
440590000,419,8427,47.21,385,740
224096840,8171,14941,28.2,185,297.48
431797000,1236,4711,49.99,432,
432918000,22283,15315,49.99,439,740.74
431702850,1153,4721,43.88,319,
224018440,7950,8769,31,143,
431704420,589,5463,48.4,409,
431298000,561,4859,49.99,409,
441812000,21036,8709,51.19,488,1184
416003600,2125,15564,53.7,535,814
431938000,661,4879,49.2,386,740
224154000,479,12131,46.45,378,
224120000,1481,8879,33,326,318.2
416230600,241,14390,23.95,97,695.23
432942000,24360,15568,50.59,436,740.74
441650000,871,4903,48.11,398,740
440782000,270,8163,49.91,408,888
224544160,738,6389,28.6,248,399.6
431869000,1232,4245,49.3,408,
224267000,1343,12141,32.85,331,436.6
416705000,21739,8653,54.85,708,1036
316024796,21279,14843,13.64,30,93.98
224101940,8189,14922,28.45,235,297.48
413011000,520,9437,48.6,523,
431893000,1268,4163,51.4,439,
416641000,1215,105,55.75,712,888
224371000,745,12363,40.3,399,649.72
431700190,374,12047,32.56,148,
431739000,416,4911,49.3,422,523.18
735057587,2051,4114,74.66,1997,
353185000,23986,14327,114.82,4150,
431813000,138,4417,49.99,409,
367666000,14394,3361,79.27,1836,
367767000,15657,12482,71.79,1284,
416002116,14234,14360,29.2,98,444
413462010,409,8183,40.01,432,740
224016930,8103,14928,24.7,132,200.54
224173000,8025,14925,30,267,446.96
204862000,192,14394,37.7,319,547.6
416000699,1297,14631,22.15,59,355.2
440636000,262,8197,49.91,414,888
431700130,350,4499,49.9,424,729.64
431316000,622,4157,52.6,499,
431853000,148,4919,56.05,499,739.26
224052370,1472,8821,30,148,
366993790,3917,13227,22.3,134,370
416349000,1085,8725,58.8,660,1110
224342000,2061,6435,43.5,692,537.24
412460043,1088,14424,49.68,493,962
440787000,172,8121,49.91,423,888
224049530,842,14949,27.85,198,414.4
352241000,23970,14345,120.8,4522,3011.06
356065000,28530,140,88.94,2596,
224197150,7985,14920,29.3,238,395.9
416120600,718,8739,56,530,1110
416099800,184,12119,56.96,707,1036
431602620,1329,4609,49.9,409,
636014471,37636,15979,152.14,12413,7755.2
224407000,1473,8827,27.3,192,307.84
431457000,761,4681,50.97,439,
224452000,8138,14934,29,236,247.9
636092595,37647,15972,116.5,7687,4528.06
440801000,1177,8345,47.24,378,888
636011004,38068,15973,126,6082,6394.34
431490000,662,4857,49.2,390,
412420892,24847,15589,43.2,496,1036
224188000,1701,13565,28,115,264.18
775616000,4722,3394,78.14,1640,1986.9
431702510,629,12019,31.42,147,296
366979610,27161,12715,21.9,111,370
416001255,737,14618,26.15,96,555
432370000,15685,12099,50.25,459,
577145000,615,5473,53.61,617,740
774559424,4765,3751,53.34,1129,
316006847,21440,14752,12.09,15,96.2
441600589,708,7145,48.64,657,
224256000,88,8773,44,589,
316005485,21383,14773,15.37,21,236.8
412460285,24538,15550,38.85,302,851
367162190,26294,15737,26.15,211,888
366933360,4440,14459,15.12,72,303.4
225374000,196,14953,42.5,490,547.6
224261000,95,6369,31,232,499.5
416368000,6787,14963,59.2,627,1184
367138310,4508,14534,18.25,75,333
735057523,4781,3856,56.08,883,2664
224721000,1719,6383,49,650,1037.48
224116380,8105,14929,25.7,152,160.58
413692650,26674,15241,77.02,1593,816.22
416003451,1251,14372,29.88,98,613.46
636091098,37635,15978,126,6082,7103.26
440664000,26784,14340,91.58,3302,
431028000,15586,12059,57,664,
224049460,1581,14914,28.73,276,196.84
345080022,4717,3328,59.86,894,
432306000,1230,9145,50.6,438,739.26
303324000,1213,14573,22.49,122,629
263415290,825,14397,35,481,657.12
338793000,15752,13556,63.12,1376,
441233000,867,8269,48.01,380,740
432343000,637,9103,51.2,469,
367399460,16239,15147,9.75,13,62.9
440885000,854,8303,49.61,446,888
277330000,20922,15964,136.12,9499,9900.46
431700660,1249,4437,48.4,427,384.8
440895000,271,8217,49.61,420,888
432503000,1006,13616,50.6,439,
224658000,7969,8799,30,150,
303345000,14384,3562,55.5,975,
224464000,1652,12434,NA,NA,
367161930,926,14077,15.14,70,277.5
224295000,8117,14932,24.5,188,364.08
431700830,542,4375,49.39,379,
440788000,261,8157,49.91,397,888
440239000,418,8429,47.21,385,740
636016998,38357,15989,119.55,5617,5328
412460001,1089,8097,46.88,576,888
577161000,26675,15601,96.94,3132,2716.54
338074000,15724,13560,71.79,1284,
440933000,888,8285,49.9,414,888
366207650,4357,14076,22.86,125,481
224250000,1935,14950,28.3,202,293.04
440705000,869,8287,49.9,414,888
224597000,1689,14919,25.2,164,254.56
441584000,873,4923,49.33,394,740
224068000,1500,8907,32,150,
367019950,750,13481,17.52,63,259
224049860,193,8779,26.3,248,310.8
440089000,147,4813,50.01,442,740
441240000,26783,14339,84.36,1887,
775628000,4737,3538,78.62,1800,2664
416196600,15061,15262,28.1,96,481
412676430,685,8455,47.56,606,962
224156000,828,6395,37.6,350,459.54
431703660,369,4505,48.4,379,739.26
432990000,24912,15657,50.59,436,739.26
431714000,367,4241,49.39,379,
432321000,15698,12109,56,645,1628
224136880,810,14946,26.3,217,367.04
416121900,6797,5607,45.6,470,888
224071000,8207,14938,29,241,291.56
431200740,348,4819,50.59,462,740
412695760,2034,14724,49.15,622,1036
431600275,585,9163,38.1,199,583.86
224241000,1861,8843,26.4,78,
576843000,797,8009,50.8,625,
431395000,1195,4167,51.4,499,
353490000,24878,15623,77.3,2167,3256
200008650,28586,15934,37.08,265,754.8
224050000,1432,12121,46.45,412,1221
1,14378,1078,65.16,1301,3182
431135000,989,4699,49.99,684,739.26
416004242,19805,14718,23.8,100,695.6
553111740,14408,9543,61.94,1280,
224029760,8140,14936,28,217,364.82
440731000,881,8261,47.21,380,740
416001036,13874,12477,27.25,99,555
576737000,784,9299,58.7,638,
316012074,21308,14890,12.65,10,348.54
440992000,36,8189,49.61,408,888
367176750,929,14080,20.42,NA,303.4
431700550,1139,4485,51.2,454,
416240800,24747,15254,35.7,198,763.68
567000445,5831,9359,30.9,98,481
367704000,4020,13395,30.9,86,1110
366941290,3543,12595,17.06,43,44.4
431200730,351,4215,49.9,409,729.64
224113270,8059,8865,24.7,73,
224055240,8132,8895,33,149,
416004421,24779,15269,23.9,100,310.8
431254000,15619,12077,57.8,646,
367147830,3591,12677,20.4,88,340.4
224651000,1546,3772,84.1,2479,3021.42
338200347,782,10629,18.59,47,370
431200990,435,13574,48.8,359,
367359220,15805,14606,56.6,990,
338873000,37702,15944,72.42,1914,4070
368206000,4493,14515,28.68,174,284.9
366934770,3745,12955,22.37,102,444
416002904,15020,12476,26.8,87,740
352577000,24864,15609,76.6,2860,5838.6
431600950,735,13589,31,137,739.26
354622000,4768,3775,73.33,1730,2664
359001000,796,4132,91.9,3007,4950.6
366749490,5070,5771,29.32,90,999
367030568,26995,13286,23.6,138,370
303679000,4560,14590,21.27,107,444
440733000,884,8253,47.21,384,740
431725000,1331,4579,54.8,499,
312888000,9998,7487,23.9,80,473.6
412270057,1454,7129,50,647,761.46
273356760,23988,13648,94,2712,
431702550,1369,4275,54.11,619,740
432924000,24386,15314,49.99,439,740.74
730016000,4803,3964,65.84,1428,2664
431038000,1151,5525,49.99,431,
432461000,619,9067,43.44,319,
432106000,15696,12105,50.94,499,1332
412283999,24315,15274,50.8,625,870.24
431702990,628,5373,49.9,435,729.64
440871000,204,8125,49.91,416,888
431700200,1152,4723,44.8,319,
520174000,16162,15580,36.6,193,384.06
224623000,1504,12367,55,1058,1387.5
432444000,1028,12017,49.99,439,729.64
416353000,720,8721,59.2,628,1110
212121212,24848,15590,43.2,496,1036
441043000,6,8227,49.91,417,888
416002859,1096,14369,28.2,98,740
412371197,36561,15992,44.02,411,600.14
441374000,895,12191,49.61,419,740
412209183,364,15566,49.15,558,740
431602130,149,12039,48.19,379,740
432894000,21840,15249,49.3,398,740.74
303137000,4843,4120,67.3,996,3274.5
416032700,457,8591,52.65,489,888
412370008,14703,4409,48.48,427,543.9
412371179,363,4219,48.03,577,692.64
224286000,843,6401,32.25,301,311.54
440575000,190,3349,60.04,992,
440926000,259,8147,48.43,393,888
576638000,713,5731,46.5,499,888
576276000,23982,14336,99.5,3822,
367098480,26594,15842,22.86,88,740
576420000,23978,14348,91.48,2717,1480
431500836,1115,13606,32.1,143,
224110000,1440,8785,25.25,128,
416002586,159,14366,28.2,99,613.46
576890000,536,9455,46.75,558,
441645000,281,4899,49.93,419,1184
224044870,1688,14918,25,264,298.96
440846000,866,8255,47.21,384,740
432856000,36642,14956,49.3,392,729.64
735059088,1703,9433,77.3,2165,3256
224017000,832,5641,43.5,606,649.72
440045000,856,8313,47.21,380,740
529578000,26933,13643,86.09,2713,1480
431465000,15762,12053,77.85,1820,
367402670,1644,9955,22.25,80,266.4
416002962,1093,12468,29.88,99,740
431855000,643,4165,51.2,439,
431469000,15665,12093,50.6,499,
412420903,24535,15547,41,462,724.46
431602530,663,4851,51.2,439,
412420812,24298,15214,44.19,473,933.88
224189000,846,6403,37.5,403,577.94
224015550,293,5629,37.5,411,370.74
224114750,8082,14927,27,163,293.04
224459000,739,6391,37.5,408,314.5
416002569,14197,9513,24.5,62,444
432878000,24597,15222,49.99,439,740.74
412270058,1452,7131,46.75,565,707.44
412420906,24378,15559,41,461,599.4
367364340,675,14030,23.98,126,347.8
416717000,38407,14600,48.95,472,888
735059287,24915,15662,91.1,2838,
416220600,21200,14717,29.2,98,695.6
368048000,1857,10693,19.11,89,370
440246000,838,8379,49.91,411,888
224619000,100,15210,40.95,593,541.68
440986000,853,8263,47.21,380,740
412331029,24888,15634,51.2,698,1183.26
263582000,17,14393,44.9,602,917.6
366943720,840,14071,12.67,30,122.1
416229900,15830,14703,23.9,97,523.18
367061930,3938,13270,23.01,111,473.6
416001519,1092,12472,26.15,96,555
367332090,780,7373,22.86,119,314.5
416000461,510,14636,29.15,99,481
316003050,21343,14900,18.85,36,222
371224000,4758,3697,72.83,1640,1480
353038000,6628,3469,76.8,1350,
367428110,1899,10869,17.83,48,262.7
412370006,14702,4477,48.48,379,543.9
367338850,677,8435,21.03,114,555
367347000,2069,11329,32.49,176,436.6
416220800,129,13544,36.6,246,763.68
416164600,722,9593,56,530,1036
224115880,1455,8803,28,100,
367172260,4463,14483,37.97,179,629
413300480,2035,14725,47.3,573,888
432298000,368,4259,49.99,409,
352419000,4810,3997,67.66,1329,2664
224609000,830,6373,39,427,370
412331031,24885,15631,51.2,698,1183.26
412420851,24518,15530,41,460,740
431801000,664,13587,56.2,499,1480
366738920,3542,12594,24.1,167,710.4
432282000,1138,9069,49.2,409,
440595000,939,8359,49.47,427,888
431487000,665,13588,56.87,499,1480
432955000,24883,15629,49.3,398,739.26
224591000,1661,12436,46.12,619,
431700970,1131,4387,49.99,409,384.8
224288000,1483,8889,30,147,
416804000,523,8587,52.65,497,888
440935000,850,8297,49.61,416,888
440900000,280,8199,49.91,417,888
735057638,2052,6347,77.3,2165,3256
412329403,24324,15283,40.22,357,739.26
576277000,23981,14338,95.92,2781,
316001021,21456,14822,16.69,28,185
416867000,19746,14644,48.8,451,888
224108000,8028,8833,35.1,201,
412439605,14420,9549,61.94,1280,
224366000,972,6415,42.45,627,361.86
431702470,1234,4707,48.03,379,
730015000,4739,3556,66.14,1535,2664
431809000,760,4615,46.9,397,703
224066580,1682,8797,28.4,80,
224472000,25,12435,37.5,451,
224318000,1427,12123,47.75,405,
416004368,1005,6327,29.3,98,444
440192000,1202,8191,48.06,430,888
224016000,97,6371,35,394,426.24
431935000,915,13596,56.87,499,
412420901,24533,15545,41,462,724.46
224929000,1469,8817,31,294,222
441483000,860,4555,47.51,387,740
440894000,278,8221,49.61,425,888
431838000,361,4243,49.39,379,
431700980,805,4333,48.87,379,
367119910,70,9827,23.77,120,314.5
431873000,1063,4169,51.4,499,
440786000,206,8107,49.91,423,888
432399000,15587,12061,57,660,1480
636092422,38582,16005,134.02,7303,7103.26
431101320,557,4147,49.9,409,739.26
576107000,23971,14328,120.75,4538,
263821000,428,14395,34,350,583.86
224438000,823,8845,28,81,
372527000,4797,3943,59.74,1375,2664
730059000,24795,13554,36.88,1010,1036
431602690,759,4865,48.19,379,740
432226000,362,9063,49.99,439,
576328000,24157,14676,99.06,3989,3016.98
431253000,370,4349,49.2,379,
432395000,15589,12065,57.49,650,
416623000,1394,8701,55.9,535,888
224313000,1438,8777,44.45,838,
440941000,882,8259,47.21,380,740
529604000,26672,14335,79.77,2047,
563418000,24165,15334,134.15,6534,
416631000,2874,15668,52.65,497,888
432441000,804,13591,34.9,167,
416338000,1372,8723,56.18,503,1110
366827000,14445,11975,61.5,1200,2664
441680000,666,4569,49.62,409,740
224043560,1426,8763,29.3,259,444
431701780,560,5431,48.03,379,
775626000,4706,3244,62.17,874,
367340120,3794,13038,13.35,29,344.1
366900670,28565,2848,33.07,307,832.5
367874400,26664,12921,19.9,105,284.9
735058003,4846,4138,116,4401,
412460282,24529,15541,38.85,302,895.4
224308000,914,8875,32.25,195,
367463000,15687,12486,63.1,1376,
224377000,1467,8815,28,169,264.18
416213800,157,14383,29.2,98,740
366980030,3567,12637,11.7,15,118.4
366831470,3062,11021,13.56,22,148
365878412,14528,670,75.25,2019,2886
338123766,37842,15958,9.14,11,236.8
730019000,4777,3844,64.31,851,1339.4
123456789,37952,3373,59.74,881,
367165240,27219,12855,25.9,139,740
440648000,1279,8185,49.91,408,888
432374000,145,9127,52.6,499,729.64
224138280,8141,14937,28,169,128.02
224987000,726,8819,43.5,606,
225325000,948,6405,21.49,220,444
431700150,437,13575,56.87,499,
224022910,433,12129,25.95,147,
224020000,2097,8899,27.3,236,307.84
416002604,1100,13699,29.88,99,740
200001140,26697,15242,77,1588,979.02
440920000,896,8393,46.91,383,888
441660000,667,5375,48.11,393,740
577102000,23972,13642,120.75,4521,3011.06
224654000,240,12364,40.5,497,812.52
412420913,24895,15638,41,461,740
263564000,477,14396,45.5,453,540.2
576877000,1267,9453,44.99,492,
224135000,21,12451,27.85,NA,
416004759,24891,15658,38.1,273,763.68
224556000,2,6355,39.6,432,462.5
440450000,1103,14595,68.29,1349,
224196000,834,5643,43.5,613,888
224153130,8135,14933,28.5,206,196.84
224913000,709,15212,43,538,
431053000,1247,4509,49.65,439,362.6
441251000,936,8369,49.77,442,888
416002858,1095,14370,28.2,98,740
431620000,224,4697,49.9,467,
432426000,121,12007,49.99,439,
576687000,23989,14323,88.94,2581,1480
416002286,14201,7511,27.9,80,
416091600,682,8743,55.9,531,888
441201562,716,7123,47.99,486,740
412460289,24374,15555,38.85,302,851
440778000,252,8149,48.45,388,888
440781000,256,8209,49.61,424,888
412205140,715,12427,48.6,626,888
440641000,253,8207,49.62,424,888
416072600,166,8685,55.2,705,888
316002839,21337,14876,13.48,11,162.8
412460029,650,15561,49.14,619,740
263584000,46,15999,39.1,398,665.26
416002813,14987,15263,26.1,80,444
440780000,260,8205,49.62,424,888
416002839,15001,14660,27.3,99,740
416003205,14178,5869,27.45,63,
263576000,1305,14399,40.95,593,629
311042300,38364,15977,119,5617,5328
367512180,21167,15004,24.17,129,370
367078130,24501,15153,32.09,180,1295
224001000,92,6367,34.27,391,555.74
412460286,24539,15551,38.85,302,851
735058805,4752,3661,72.01,1967,3256
416121800,443,8753,55.9,531,1036
416119900,719,8737,56,525,1110
366903000,15660,12483,71.79,1284,
359003000,4688,299,78.39,2058,
432962000,24852,15594,49.99,439,740.74
412420875,24526,15538,44.19,476,888
224392000,962,6411,36.48,396,630.48
412420985,1422,13636,48.7,646,740
224098420,1864,14926,28,184,233.84
440444000,12531,3229,68.27,946,
412694840,2037,9445,46.75,579,
372880000,3482,12466,80.6,2232,
577082000,26673,14911,107.88,4394,4440
416002682,14207,15571,28.2,97.38,473.6
529087000,26903,14594,99.02,3363,3996
576811000,461,9293,46.75,558,
412270001,527,4927,49.2,602,740
730018000,4740,3571,74.67,1620,3685.2
441720000,23967,15326,85.59,2623,1480
224051350,45,6359,31,342,370
431182000,574,4575,49.2,432,740
440154000,574,4575,49.2,432,740
368489000,14385,3604,61.26,1056,2664
367344000,15807,13559,63.12,1376,
440217000,26793,14349,120.12,4643,
416333000,1341,8715,59.2,630,1036
244563000,30941,15963,144.6,14055,7244.6
577146000,613,12045,56.08,660,740
412439604,14416,9547,61.85,1152,
735057559,4710,3262,62.17,1192,2604.8
371696000,4823,4033,65.26,1245,
627093246,26899,14333,91.48,2716,
345040700,38014,15962,79.5,2042,3648.94
367348005,27730,10197,25.02,163,462.5
416002581,526,14364,29.88,99,740
366857640,3708,12898,15.08,65,270.1
366547000,5076,5783,33.22,89,1332
735058912,20189,7181,107.5,3722,4670.14
367046890,927,14078,21.67,NA,555
441644000,279,4889,49.09,408,740
432907000,24748,15255,29.98,119,739.26
413270220,528,4563,49.32,619,1184
431067000,1012,4737,49.2,417,384.8
416232600,107,13755,33.8,180,763.68
224445000,1173,6425,37.5,442,643.8
224010000,7998,8813,29,150,
416004369,24430,14957,35.76,230,763.68
576736000,338,9291,50.08,637,
441018000,923,8391,46.91,383,888
431500470,1229,4907,49.9,409,739.26
431698000,605,13580,47.71,385,1035.26
431700060,371,4397,49.2,379,
432319000,1007,9061,50.8,439,
431702640,1237,4709,48.4,379,
441084000,920,8389,46.91,383,888
440919000,839,8381,49.91,411,888
431753000,597,5471,49.9,409,
440584000,257,8151,49.91,410,888
412371208,38370,15996,43.2,560,675.62
359004000,3445,12262,82.83,2157,
224082260,1493,8901,25.68,78,
416120500,1084,8733,57.78,643,1110
431602220,764,4873,49.32,409,
431864000,642,4159,51.2,439,739.26
576419000,23985,14329,108.6,3802,2960
416174900,182,8627,54.2,712,888
735059255,644,4689,55.97,656,729.64
440504000,1124,8357,47.21,384,740
338622000,4744,3601,55.47,1178,2664
440624000,267,8177,49.91,408,888
432967000,625,4173,52.6,469,
440807000,886,8295,49.61,416,888
368578000,4389,14125,26.54,174,695.6
636013649,38660,16007,148.52,9070,6806.52
367534310,24740,15246,24.71,131,399.6
224992000,964,8883,44.5,578,
224099450,1978,14952,28.6,204,444
431251000,355,4639,49.6,379,740
10421670,4757,3694,61.56,1113,
441032000,24160,15220,86.33,2426,
440654000,883,8249,47.21,384,740
431678000,26786,14342,116.7,4992,4610.2
441825000,344,4311,48.01,376,740
316001649,24314,15299,22.66,67,314.5
224170000,8185,14921,29,236,302.66
636012261,37640,15975,141,8487,7994.22
431799000,22658,9059,59.88,379,
224680000,1519,12,115,4406,4955.04
367379720,440,7439,17.67,60,317.46
440517000,935,8363,49.47,427,888
577169000,23977,14343,124.25,4969,3870.2
224380000,845,8873,36.7,340,
367324020,1820,10549,25.51,123,270.1
432971000,24851,15593,50.59,479,
416000464,160,7517,28.2,98,444
355651000,4831,4063,61.17,1059,2960
576270000,23974,13649,113.37,4521,
367070360,3701,12886,17.06,65,266.4
432448000,1134,11999,49.99,439,544.64
220463790,1883,8877,28,169,251.6
440623000,277,8153,49.91,410,888
204212000,1308,14400,34.5,273,802.9
440765000,276,8159,47.21,380,888
359002000,4834,4075,79.8,2109,3552
416052600,306,13625,59.25,696,1184
432558000,15611,15663,50.3,499,1337.92
432411000,573,9129,49.99,471,739.26
224045930,1479,8853,28,193,264.18
431722000,1283,13611,53.35,483,
431731000,15653,12087,50.79,499,
416000804,14182,15519,27.6,79,444
224081690,1863,6399,40,502,666
441220316,1408,12037,47.99,577,739.26
431182000,574,4575,49.2,432,740
440154000,574,4575,49.2,432,740
440772000,7,8225,49.91,410,888
36764000,15643,3406,59.74,1216,2664
422802062,699,8679,56.3,717,1036
224626000,389,12366,47.7,699,754.8
416001355,13829,12473,25.16,95,444
367084000,14456,14609,72.37,1283,
316004771,21364,14736,18.9,48,259
367512510,21181,15160,25.35,149,370
353171000,6629,460,77.3,2058,
416004594,24854,15598,23.9,99,740
416002151,14047,5861,26.4,79,444
412460288,24373,15554,38.85,302,851
636009737,37634,15974,126,6082,7103.26
366736360,1189,13402,26.88,157,495.8
312422000,5545,7495,28.9,125,488.4
366270000,14526,14608,63.79,1283,
367466000,1315,11299,22.55,96,407
553111751,14409,9529,61.44,1060,
367078530,3890,13190,12.52,22,210.9
416002175,14241,14701,28.2,97,444
775630000,4756,3691,65.39,1055,2817.18
316002310,21427,14835,15.54,37,203.5
345050700,24898,15641,79.05,2042,3752.54
224545000,67,6365,36.5,449,499.5
416039500,226,8559,48.6,407,740
431782000,612,4525,49.3,395,
529101000,26682,15667,91.9,3415,
224142870,16,8759,28,193,264.92
367174580,698,10449,22.61,101,333
440809000,254,8201,49.91,417,888
431704490,223,4347,49.9,439,
431200910,1128,13608,52.4,463,
224727000,12,3736,85.85,1506,3389.2
576732000,23979,14347,100.98,3936,2960
367040420,1985,12798,14.44,37,133.2
