mmsi,gross_tonnage,length_m,engine_power_kW
412345678,1449.0,NA,1470.0
413222000,7671.0,91.1,5920.0
413236000,7847.0,109.6,5296.0
413219000,7847.0,109.6,5296.0
413235000,7671.0,91.1,5920.0
413200450,4630.0,94.49,3824.0
412679810,1198.0,68.22,1213.0
412217992,1419.0,67.85,2e3
412270038,7765.0,119.52,5294.0
412270039,7765.0,119.52,5294.0
412270002,7765.0,107.61,5296.0
412329655,1655.0,NA,2100.0
412329656,1655.0,NA,2100.0
412329657,1655.0,NA,2100.0
412329658,1655.0,NA,2100.0
412331054,1655.0,NA,2100.0
412331055,1655.0,NA,2100.0
412331087,1655.0,NA,2100.0
412331088,1655.0,NA,2100.0
412329634,1408.0,NA,1912.0
412329635,1408.0,NA,1912.0
412331038,1408.0,NA,1912.0
412329654,1408.0,69.9,1912.0
412331039,1408.0,NA,1912.0
412331041,1408.0,69.9,1912.0
412331057,1408.0,NA,2100.0
412331059,1408.0,NA,2100.0
412331061,1408.0,NA,2100.0
412331146,1408.0,NA,2100.0
412330931,1366.0,NA,2100.0
412329697,1673.0,70.87,2100.0
412329695,1673.0,70.87,2100.0
412331076,1654.0,NA,2205.0
412331077,NA,NA,2205.0
412329698,1673.0,70.87,2100.0
412329696,1673.0,70.87,2100.0
412328741,1491.0,67.68,1760.0
412328762,1491.0,67.68,1760.0
412331073,1497.0,NA,2100.0
412329642,917.0,59.67,1103.0
412329643,917.0,59.67,1103.0
412329644,917.0,59.67,1103.0
412331213,1300.0,65.94,882.0
412331034,989.0,61.14,1470.0
412331035,989.0,61.14,1470.0
412333035,989.0,61.14,1470.0
412301256,989.0,61.14,1470.0
412331111,989.0,61.14,1470.0
412331135,989.0,61.14,1470.0
412333007,989.0,61.14,1470.0
412333181,989.0,61.14,1470.0
412333628,989.0,61.14,1470.0
412388999,989.0,61.14,1470.0
412331035,989.0,61.14,1470.0
412331036,989.0,61.14,1470.0
412331037,989.0,61.14,1470.0
412331077,NA,63.0,1323.0
412699210,1273.0,66.68,1324.0
412699220,1273.0,66.68,1324.0
412420787,718.0,53.45,662.0
412401570,971.0,64.15,1213.0
412420804,498.0,44.98,662.0
412420494,496.0,NA,662.0
412420469,478.0,44.98,551.0
412420504,496.0,44.98,551.0
412420624,955.0,59.62,735.0
412420955,655.0,50.1,993.0
412420979,NA,NA,993.0
412420981,650.0,NA,993.0
412420957,653.0,50.1,993.0
412420979,NA,NA,1765.0
412420998,4506.0,107.9,3675.0
412421049,4506.0,NA,3675.0
412439602,1596.0,69.29,2400.0
412439601,1596.0,69.29,2400.0
412439599,1596.0,69.29,2400.0
412439598,1596.0,69.29,2400.0
412439588,955.0,59.62,882.0
412423655,2998.0,90.55,2206.0
412423656,2998.0,90.55,2206.0
412328763,1491.0,67.68,1760.0
412420823,592.0,47.6,735.0
412354153,985.0,NA,1103.0
412354154,985.0,NA,1103.0
412420659,1587.0,71.01,2100.0
412420948,946.0,59.67,1471.0
