mmsi,enginepower_registry,length_registry,GT_registry
251599110,408,21.78,66.37
251602110,369.92,23.29,76.98
251603110,609.28,21.5,115.86
251604000,,93.9,
251605000,,48.16,460.95
251606110,,,
251607110,,,
251609000,,,
251701110,,25,168.74
251724000,,,
251725110,,25.85,160
251745000,,105,
251756000,7507.2,77.4,3131.99
251759110,,,
251771000,,,
251789110,439.28,13.02,14.97
251790000,,70.1,
251801110,456.96,19.8,55.27
251803110,699.04,28.98,485.67
251806110,,,
251814110,,,
251833340,,,
251842670,512.72,12.63,14.95
251844440,,14.91,29.88
251848270,,,
251848740,,,
251848840,,,
251849570,,,
251393110,,27.73,107
251018000,995.52,27.26,186.89
251412440,299.2,17.47,27
251005110,,,
251441110,,18.23,36
251044110,609.28,23.99,122.44
251022000,,75.9,
251163000,,81.08,
