,t,Google Search,nn_max_label,nn_max_sublabel_fishing,Label Dropdown,Expert label,Notes,Person,callsign,nn_max_sub_score,active_positions,fishing_points,training_label,training_sublabel,training_length,training_listsources,Unnamed: 16,Unnamed: 17,nn_times_classified,nn_number_max_labels,nn_average_length,nn_stddev_length,Unnamed: 22,Unnamed: 23,nn_max_label_fishing,nn_max_fishing_score,nn_max_sublabel,Unnamed: 27,Unnamed: 28,nn_max_sub_fishing_score,nn_times_classified_all,nn_number_max_labels_all,nn_average_length_all,nn_stdev_length_all,nn_max_label_all,nn_max_score_all,nn_max_label_fishing_all,nn_max_fishing_score_all,nn_max_sublabel_all,nn_max_sub_score_all,nn_max_sublabel_fishing_all,nn_max_sub_fishing_score_all,positions,Unnamed: 43,active_hours,Unnamed: 45,num_A,num_B,iso3,country_name,average_length,stddev_length,number_distinct_lengths,avg_width,number_valid_length_messages,shipname,num_shipnames,imo,num_imos,callsign.1,num_callsign,gap_hours,num_gaps,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,spoofing_hours,num_overlapping_segs,norm_shipname,PermitNumber,CertificateStartDate,CertificateEndDate,Permit Owner,PermitOwnerAddress,PermitOwnerCity,PermitOwnerState,PermitOwnerZip,VesselName,Vessel  Length,VesselRegistrationNumber,VesselOwner,VesselOwnerAddress,VesselOwnerCity,VesselOwnerState,VesselOwnerZip,EndorsedLength,TrawlGear,LonglineGear,TrapPotGear,SablefishEndorsement,SablefishTier,CPEndorsement,Mothership,SmallFleet,MS/CVEndorsement,Owner On Board Exempt,Catch  HistoryAssignment,Whiting  Assignment,Vessel ID,Vessel Name,Official Number,IMO Number,Hull Number,Hull Identification Number,Vessel Service,Flag,Self Propelled Indicator,Registered Gross Tons,Registered Net Tons,Registered Length,Registered Breadth,Registered Depth,ITC Gross Tons,ITC Net Tons,ITC Length,ITC Breadth,ITC Depth,***Dead Weight Tons,***Dead Weight Tons Measure Unit,Measuring Organization Name,Hailing Port,Hailing Port State,Hailing Port Country,Coastwise Unrestricted,Limited Coastwise Bowaters Only,Limited Coastwise Restricted MARAD Waiver, Limited Coastwise Oil Spill Response Only,Limited Coastwise Under Charter to Citizen,Limited Coastwise Trade Fish Products Only,Fishery,Fishery Only,Recreation,Limited Recreation Great Lakes Use Only,Registry,Limited Registry Cross Border Financing,Limited Registry No Foreign Voyage by Sea,Limited Registry Trade with Canada Only,Great Lakes,Builder,Shipyard ,Build Year,Vessel Complete Build City,Vessel Complete Build State,Vessel Complete Build Province,Vessel Complete Build Country,Vessel Hull Build City,Vessel Hull Build State,Vessel Hull Build Province,Vessel Hull Build Country,Party ID,Organization Name,Organization Type,Person First Name,Person Middle Name,Person Last Name,Person Name Suffix,Address Line 1,Address Line 2,Address Line 3,Address Line 4,City,State,Province,Country,Postal Code,Main HP Ahead,Main HP Astern,Propulsion Type,Hull Material,Hull Configuration,Hull Shape,COD Status,COD issue date,COD expire date,Filler
10,367199090,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=367199090%20mmsi,Tug_Pilot,Trawlers,Tug,,http://www.marinetraffic.com/en/ais/details/ships/shipid:439712/mmsi:367199090/imo:0/vessel:WONDERLAND,Brady,WDD8435,0.95,1885,26,,,,,,,1.0,1.0,16.0908126831,,,,Trawlers,5.26777985215e-05,Tug,,,6.36582844891e-05,2.0,2.0,16.0697889328,0.0297320728135,Tug_Pilot,0.486357231624,Trawlers,0.395866924131,Tug,0.483244334348,Trawlers,0.416432202124,46540,,766.49,,3475,0,USA,United States,20.0,0.0,1.0,6.0,13422.0,WONDERLAND,4,,,WDD8435,2,,,,,,,,,WONDERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61557.0,WONDERLAND,241666,,,,Commercial Fishing Vessel,US,1.0,   44.0,   30.0,   50.0,  17.0,   7.4,,,,,,,,United States Coast ,SEATTLE,WA,UNITED STATES,X,,,,,,X,,,,X,,,,,,,1942,,,,,SEATTLE,WA,,UNITED STATES,427331,KELLS INCORPORATED,Unknown,,,,,2888 S. 355TH ST.,,,,FEDERAL WAY,WA,UNSPECIFIED,UNITED STATES,98003                         ,,,Diesel Reduction,Wood,UNSPECIFIED,UNSPECIFIED,Valid,05/21/2016,06/30/2017, 
11,345990052,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=345990052%20mmsi,Tug_Pilot,Set_gillnets,no_idea_what_it_is,,no pic,Brady,LAZAROC,0.85,387,1,,,,,,,1.0,1.0,16.2024879456,,,,Fixed_gear,0.0104676028714,Pilot,,,0.00235169008374,1.0,1.0,16.2024879456,,Tug_Pilot,0.940606176853,Fixed_gear,0.0104676028714,Pilot,0.845372855663,Set_gillnets,0.00235169008374,399,,212.645277778,,0,0,MEX,Mexico,7.0,0.0,1.0,2.0,55.0,LA MOLACHA,1,,,LAZAROC,1,,,,,,,,,LAMOLACHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,367559580,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=367559580%20mmsi,Tug_Pilot,Trawlers,no_idea_what_it_is,,no pic,Brady,WDG6683,0.91,9272,3,,,,,,,1.0,1.0,23.9336338043,,,,Trawlers,0.000718455412425,Tug,,,0.00101092772093,1.0,1.0,23.9336338043,,Tug_Pilot,0.923861205578,Trawlers,0.000718455412425,Tug,0.90990626812,Trawlers,0.00101092772093,11892,,4059.36638889,,0,0,USA,United States,,,,,,HAILI LYNN,1,,,WDG6683,1,,,,,,,,,HAILILYNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,366877090,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=366877090%20mmsi,Tug_Pilot,Trawlers,Trawlers,,looks like trawler? http://www.marinetraffic.com/en/ais/details/ships/shipid:428511/mmsi:366877090/imo:8036512/vessel:SIMPLE_MAN,Brady,WDB2544,0.92,855,430,,,,,,,1.0,1.0,28.1081581116,,,,Trawlers,1.08826498035e-06,Tug,,,1.06146501366e-06,4.0,3.0,23.0556845665,4.28255689267,Seismic_vessel,0.420911373803,Trawlers,0.20891997914,Seismic_vessel,0.416010573972,Trawlers,0.23622121475,1475,,4013.44333333,,322,0,USA,United States,22.0,0.0,1.0,7.0,83.0,SIMPLE MAN,1,,,WDB2544,1,5058.2075,70.0,,,,,117.016388889,1.0,SIMPLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184153.0,SIMPLE MAN,620974,8036512,,,Commercial Fishing Vessel,US,1.0,  108.0,   74.0,   74.3,  22.0,  11.1,,,,,,,,United States Coast ,PASCAGOULA,MS,UNITED STATES,,,,,,,X,,,,,,,,,,,1980,,,,,BAYOU LA BATRE AL,,,UNITED STATES,496663,B & B BOATS INC,Unknown,,,,,705 WASHINGTON AVE,,,,PASCAGOULA,MS,UNSPECIFIED,UNITED STATES,39567                         ,345,,Diesel Reduction,Steel,UNSPECIFIED,UNSPECIFIED,Valid,08/24/2016,09/30/2017, 
14,367400510,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=367400510%20mmsi,Tug_Pilot,Trawlers,Trawlers,,,Brady,WDE8016,0.97,4903,185,,,,,,,1.0,1.0,15.2814426422,,,,Trawlers,1.14624890557e-05,Tug,,,5.30214447281e-06,1.0,1.0,15.2814426422,,Tug_Pilot,0.914212465286,Trawlers,1.14624890557e-05,Tug,0.96739345789,Trawlers,5.30214447281e-06,6322,,663.11,,4640,0,USA,United States,18.6415981199,0.886292626325,4.0,6.17391304348,851.0,PACIFIC FISHER,1,,,WDE8016,1,,,,,,,349.230555556,1.0,PACIFICFISHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,367647210,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=367647210%20mmsi,Tug_Pilot,Purse_seines,Tug,,https://www.vesselfinder.com/ship-photos/194179?s=1,Brady,WDH7341,0.92,7941,32,,,,,,,3.0,1.0,25.3949724833,4.46517346153,,,Purse_seines,1.14664730984e-05,Tug,,,1.89614237955e-05,3.0,1.0,25.3949724833,4.46517346153,Tug_Pilot,0.913156708082,Purse_seines,1.14664730984e-05,Tug,0.923663198948,Purse_seines,1.89614237955e-05,34207,,2442.45486111,,348,0,USA,United States,29.0,0.0,1.0,11.0009060496,14348.0,ROBERT J SHEA,1,,,WDH7341,4,,,,,,,2597.05888889,22.0,ROBERTJSHEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,367040470,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=367040470%20mmsi,Tug_Pilot,Trawlers,other_fishing,,sport fishing?,Brady,WYL5533,0.98,1872,602,,,,,,,1.0,1.0,15.9960412979,,,,Trawlers,0.000284209760139,Pilot,,,6.87367864884e-05,2.0,2.0,20.7002205849,6.65271414745,Tug_Pilot,0.460609269794,Purse_seines,0.367857646153,Pilot,0.492740479764,Purse_seines,0.365715952275,10676,,774.320833333,,0,0,USA,United States,15.0,0.0,1.0,4.0,854.0,MONTE CARLO,2,,,WYL5533,2,,,,,,,176.62,1.0,MONTECARLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,367592640,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=367592640%20mmsi,Tug_Pilot,Trawlers,Tug,,,Brady,WDG9929,0.92,7857,97,,,,,,,3.0,1.0,20.9188359578,2.63799561791,,,Trawlers,1.41801601972e-06,Tug,,,1.39014717212e-06,6.0,1.0,17.3349140485,5.37510046775,Tug_Pilot,0.954893072446,Trawlers,7.14504231489e-07,Tug,0.962213108937,Trawlers,7.0665403334e-07,25237,,3232.87013889,,685,0,USA,United States,21.0,0.0,1.0,7.0,10112.0,CAPT CJ,2,,,WDG9929,4,,,,,,,3.15527777778,3.0,CAPTCJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,367651810,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=367651810%20mmsi,Tug_Pilot,Trawlers,Tug,,,Brady,WDH7802,0.94,10591,34,,,,,,,3.0,1.0,19.029800415,1.85786331602,,,Trawlers,3.42057361991e-07,Tug,,,4.74090711577e-07,3.0,1.0,19.029800415,1.85786331602,Tug_Pilot,0.90881896019,Trawlers,3.42057361991e-07,Tug,0.937248488267,Trawlers,4.74090711577e-07,31939,,3045.15472222,,1343,0,USA,United States,30.0,0.0,1.0,10.0,37.0,KATE GOLDING,2,,,WDH7802,3,,,,,,,3562.21027778,5.0,KATEGOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,338110345,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=338110345%20mmsi,Tug_Pilot,Trawlers,no_idea_what_it_is,,,Brady,,0.99,2605,14,,,,,,,3.0,1.0,26.8582064311,2.86878985287,,,Trawlers,0.0255408840828,Pilot,,,0.00195823238588,7.0,2.0,21.3932335036,9.32544762937,Tug_Pilot,0.779675201646,Fixed_gear,0.0209074822288,Pilot,0.98634486539,Pots_and_traps,0.00106525199331,4722,,1269.69833333,,1258,0,USA,United States,11.0,0.0,1.0,4.0,956.0,R/V QUESTUARY,2,,,,1,,,,,,,,,QUESTUARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
