mmsi,country
251445640,ISL
412326295,CHN
412004639,CHN
412556666,CHN
412202851,CHN
503016680,AUS
101407346,
413870057,CHN
412431281,CHN
413819461,CHN
412433695,CHN
412428171,CHN
338590000,USA
271072732,TUR
251842370,ISL
367109910,USA
200002096,
412328633,CHN
412332683,CHN
412422367,CHN
412436554,CHN
257601150,NOR
416003013,TWN
725000199,CHL
412422735,CHN
412349836,CHN
412430857,CHN
303628000,USA
710040842,BRA
800011392,
735058906,ECU
800019464,
123450020,
900024319,
412325454,CHN
412448723,CHN
412423365,CHN
412283518,CHN
257590700,NOR
412435834,CHN
150203945,
412447584,CHN
413014396,CHN
410000061,BTN
412328592,CHN
271072360,TUR
900300303,
259623000,NOR
412428049,CHN
412445332,CHN
257175440,NOR
259447000,NOR
271072480,TUR
412444876,CHN
412568908,CHN
224343930,ESP
416002013,TWN
412330739,CHN
263405280,PRT
440154550,KOR
412035009,CHN
366916960,USA
900017803,
231405000,FRO
273539800,RUS
412423368,CHN
412286549,CHN
251182110,ISL
412326026,CHN
251159110,ISL
412422957,CHN
412420338,CHN
412287094,CHN
412213271,CHN
412412952,CHN
412417737,CHN
412441947,CHN
257260720,NOR
412423824,CHN
251084110,ISL
412478729,CHN
412450996,CHN
200005734,
412435712,CHN
900009050,
412449155,CHN
412437283,CHN
800400749,
412422946,CHN
347002700,MTQ
412314167,CHN
503335600,AUS
367399910,USA
997753875,
412450946,CHN
412421694,CHN
412435977,CHN
412460759,CHN
257580500,NOR
412453456,CHN
425856696,IRQ
900022612,
412431041,CHN
303428000,USA
412413312,CHN
412201695,CHN
416248500,TWN
412414787,CHN
412436935,CHN
412428576,CHN
412422024,CHN
412438823,CHN
412416652,CHN
413871234,CHN
257878900,NOR
412439248,CHN
412450003,CHN
412285323,CHN
367387060,USA
807081670,
412329459,CHN
412328174,CHN
412449584,CHN
412449616,CHN
416458568,TWN
412284063,CHN
412464724,CHN
800000142,
412417724,CHN
316016281,CAN
412421667,CHN
412432314,CHN
412699550,CHN
800004534,
412348488,CHN
412325619,CHN
412447193,CHN
316003227,CAN
412431227,CHN
538070600,MHL
412436975,CHN
412421379,CHN
412478549,CHN
800008081,
412330962,CHN
900028813,
412412513,CHN
412412266,CHN
412358613,CHN
416306430,TWN
412036321,CHN
200004176,
235084327,GBR
13104,
367472940,USA
412285227,CHN
257405320,NOR
412410211,CHN
412365872,CHN
412201779,CHN
412446775,CHN
412413307,CHN
412439046,CHN
412323139,CHN
813022906,
905101688,
251849770,ISL
412430546,CHN
412428632,CHN
412283912,CHN
16,
11346,
412430435,CHN
271072747,TUR
412284242,CHN
412428483,CHN
525005322,IDN
412033167,CHN
338140169,USA
271072488,TUR
412433296,CHN
412430619,CHN
412332423,CHN
412428355,CHN
412009741,CHN
701006139,ARG
412413157,CHN
412422683,CHN
412325815,CHN
367147230,USA
412431685,CHN
770576142,URY
412522583,CHN
412423098,CHN
412286168,CHN
412428517,CHN
700000962,
503647900,AUS
412421726,CHN
257147920,NOR
431002332,JPN
412464637,CHN
416001907,TWN
257218440,NOR
412428256,CHN
251363340,ISL
412421797,CHN
412412679,CHN
412205315,CHN
247111060,ITA
257165340,NOR
412433676,CHN
413801009,CHN
999898005,
412436576,CHN
412412951,CHN
999921088,
273537800,RUS
251171110,ISL
412475043,CHN
227300250,FRA
412325623,CHN
412354135,CHN
413002258,CHN
257115640,NOR
412437644,CHN
257224020,NOR
901401587,
820040815,
257107240,NOR
412428294,CHN
412432977,CHN
235004756,GBR
412444705,CHN
416798120,TWN
412501666,CHN
257304140,NOR
257282700,NOR
412003133,CHN
412433877,CHN
412214129,CHN
412432057,CHN
273824810,RUS
412025999,CHN
413976858,CHN
412349141,CHN
200007227,
412444669,CHN
598868713,
316009550,CAN
800035859,
366238990,USA
412444855,CHN
412445003,CHN
412428165,CHN
431501435,JPN
412521821,CHN
316006988,CAN
412205042,CHN
413031316,CHN
901409103,
800033066,
412441031,CHN
231200165,FRO
412435517,CHN
412422739,CHN
412325549,CHN
412451384,CHN
100881741,
412444142,CHN
800004535,
251170640,ISL
503449600,AUS
412418174,CHN
412449695,CHN
412324954,CHN
375608000,VCT
412441378,CHN
800045289,
412200928,CHN
412435491,CHN
413787886,CHN
412283613,CHN
412520761,CHN
367630920,USA
412332828,CHN
663129000,SEN
235109332,GBR
412412673,CHN
251788110,ISL
412441423,CHN
412418797,CHN
412423227,CHN
120400154,
875410168,
412412535,CHN
316002919,CAN
412326267,CHN
428110000,ISR
130400920,
412416669,CHN
900008413,
150203522,
412213608,CHN
412449252,CHN
257791500,NOR
412004635,CHN
266413000,SWE
150202239,
910060418,
503005710,AUS
412431123,CHN
413070785,CHN
412450535,CHN
412286196,CHN
412214779,CHN
412413002,CHN
900020229,
645265000,MUS
412462256,CHN
251160110,ISL
273538800,RUS
251118440,ISL
251392000,ISL
412202458,CHN
412326588,CHN
412422073,CHN
251226000,ISL
235108836,GBR
412427073,CHN
251208740,ISL
412210059,CHN
627132000,GHA
412412523,CHN
412201735,CHN
412416106,CHN
412449638,CHN
600013381,
412422571,CHN
412440977,CHN
412449701,CHN
235002103,GBR
412417833,CHN
412499887,CHN
412450607,CHN
800020314,
900061156,
412345166,CHN
905103289,
412427852,CHN
412075011,CHN
875433831,
412414396,CHN
247253540,ITA
235003285,GBR
257319420,NOR
416004565,TWN
412370188,CHN
261061000,POL
412213909,CHN
412203601,CHN
416000302,TWN
412313268,CHN
601223000,ZAF
800008093,
412301618,CHN
219000769,DNK
601535000,ZAF
412349635,CHN
412427051,CHN
200000596,
412326611,CHN
412413011,CHN
412464588,CHN
378001272,VGB
412439379,CHN
412464758,CHN
271073081,TUR
412421857,CHN
235060648,GBR
316028366,CAN
412418923,CHN
257053600,NOR
412200625,CHN
412461309,CHN
412412611,CHN
412428618,CHN
800045678,
800032825,
