mmsi,eu_fishing,eu_label,eu_sublabel,eu_label2,eu_sublabel2,eu_length,eu_tonnage
239467000,Fishing vessel,Purse seines,Purse seines,Set gear,Set gillnets,15.9,17.0
250001339,Fishing vessel,Trawlers,Trawlers,,,24.95,186.0
224093760,Fishing vessel,Set gear,Set longlines,,,21.26,69.0
235020423,Fishing vessel,Trawlers,Trawlers,,,20.2,82.0
224687000,Fishing vessel,Drifting longlines,Drifting longlines,,,25.7,154.0
211535000,Fishing vessel,Trawlers,Trawlers,,,20.09,75.0
220242000,Fishing vessel,Trawlers,Trawlers,,,18.0,67.3
235032001,Fishing vessel,Trawlers,Trawlers,,,14.02,28.24
247102180,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,18.68,49.0
246489000,Fishing vessel,Trawlers,Trawlers,,,22.97,83.0
235001428,Fishing vessel,Trawlers,Trawlers,,,16.99,38.0
232328000,Fishing vessel,Trawlers,Trawlers,,,24.26,266.0
224052350,Fishing vessel,Purse seines,Purse seines,,,31.6,156.0
235066405,Fishing vessel,Trawlers,Trawlers,,,33.53,186.0
265670930,Fishing vessel,Set gear,Set gillnets,Pole and line,Pole and line,10.0,8.1
247083520,Fishing vessel,Trawlers,Trawlers,,,17.48,48.0
263407550,Fishing vessel,Trawlers,Trawlers,,,31.35,251.0
211314450,Fishing vessel,Trawlers,Trawlers,Fishing vessel,Fishing vessel,30.28,299.0
224067670,Fishing vessel,Trawlers,Trawlers,,,27.9,210.8
247076860,Fishing vessel,Trawlers,Trawlers,,,17.9,50.0
230069190,Fishing vessel,Trawlers,Trawlers,,,20.6,113.0
247070880,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,22.32,70.0
224146950,Fishing vessel,Purse seines,Purse seines,,,23.5,83.26
227636430,Fishing vessel,Set gear,Set gillnets,Set gear,Set longlines,11.0,9.0
247156120,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,15.45,22.0
232006590,Fishing vessel,Set gear,Set gillnets,,,38.2,307.0
211351000,Fishing vessel,Trawlers,Trawlers,,,17.24,41.0
247141690,Fishing vessel,Set gear,Set gillnets,,,15.58,23.0
263420260,Fishing vessel,Purse seines,Purse seines,,,17.07,26.86
219012302,Fishing vessel,Set gear,Set gillnets,,,15.39,32.7
224072690,Fishing vessel,Trawlers,Trawlers,,,24.72,75.48
247070540,Fishing vessel,Trawlers,Trawlers,,,21.0,67.0
244770007,Fishing vessel,Trawlers,Trawlers,,,24.94,72.0
227590000,Fishing vessel,Trawlers,Trawlers,,,19.5,113.94
247302220,Fishing vessel,Trawlers,Trawlers,,,21.88,57.0
247092230,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,21.1,55.0
246516000,Fishing vessel,Trawlers,Trawlers,,,33.77,155.0
275136000,Fishing vessel,Trawlers,Trawlers,,,25.45,109.0
250000387,Fishing vessel,Trawlers,Trawlers,,,40.0,329.0
265658830,Fishing vessel,Trawlers,Trawlers,Set gear,Pots and traps,9.97,5.99
246273000,Fishing vessel,Trawlers,Trawlers,,,23.97,151.0
227320160,Fishing vessel,Set gear,Set gillnets,Set gear,Pots and traps,9.12,10.42
224056190,Fishing vessel,Purse seines,Purse seines,,,36.2,226.0
247113390,Fishing vessel,Trawlers,Trawlers,,,20.55,93.0
235096263,Fishing vessel,Set gear,Pots and traps,,,10.78,16.78
211166000,Fishing vessel,Trawlers,Trawlers,,,16.73,35.0
224015930,Fishing vessel,Set gear,Set gillnets,,,18.55,45.62
247151080,Fishing vessel,Trawlers,Trawlers,,,18.29,35.0
275191000,Fishing vessel,Set gear,Set gillnets,Set gear,Set longlines,19.48,122.0
263410840,Fishing vessel,Drifting longlines,Drifting longlines,Set gear,Set longlines,19.2,51.45
240426000,Fishing vessel,Trawlers,Trawlers,,,26.7,154.0
247049440,Fishing vessel,Purse seines,Purse seines,Set gear,Set longlines,16.9,16.0
247054130,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,16.8,29.0
224123730,Fishing vessel,Trawlers,Trawlers,,,27.0,205.94
247118400,Fishing vessel,Trawlers,Trawlers,,,41.4,435.0
235002820,Fishing vessel,Trawlers,Trawlers,,,23.8,128.0
247050740,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,16.6,49.0
232006840,Fishing vessel,Set gear,Set gillnets,,,27.3,200.0
224175960,Fishing vessel,Set gear,Set longlines,Set gear,Set gillnets,33.5,307.0
224021460,Fishing vessel,Purse seines,Purse seines,,,29.85,135.31
224069650,Fishing vessel,Set gear,Set gillnets,,,21.0,93.43
211607000,Fishing vessel,Trawlers,Trawlers,,,15.96,26.0
250000315,Fishing vessel,Fishing vessel,Fishing vessel,,,14.48,26.53
247140950,Fishing vessel,Set gear,Set longlines,Fishing vessel,Fishing vessel,20.5,60.0
263422770,Fishing vessel,Trawlers,Trawlers,,,20.0,105.95
219871000,Fishing vessel,Trawlers,Trawlers,,,16.02,40.0
247281510,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,19.53,51.0
