mmsi,squid_fishing,squid_label,squid_sublabel
412420422,Fishing vessel,Squid,Squid
412420423,Fishing vessel,Squid,Squid
412420427,Fishing vessel,Squid,Squid
412420428,Fishing vessel,Squid,Squid
412420432,Fishing vessel,Squid,Squid
412420439,Fishing vessel,Squid,Squid
412420452,Fishing vessel,Squid,Squid
412420453,Fishing vessel,Squid,Squid
412420454,Fishing vessel,Squid,Squid
412420455,Fishing vessel,Squid,Squid
412420456,Fishing vessel,Squid,Squid
412420457,Fishing vessel,Squid,Squid
412420458,Fishing vessel,Squid,Squid
412420464,Fishing vessel,Squid,Squid
412420466,Fishing vessel,Squid,Squid
412420467,Fishing vessel,Squid,Squid
412420471,Fishing vessel,Squid,Squid
412420488,Fishing vessel,Squid,Squid
412420493,Fishing vessel,Squid,Squid
412420494,Fishing vessel,Squid,Squid
412420502,Fishing vessel,Squid,Squid
412420503,Fishing vessel,Squid,Squid
412420504,Fishing vessel,Squid,Squid
412420531,Fishing vessel,Squid,Squid
412420532,Fishing vessel,Squid,Squid
412420533,Fishing vessel,Squid,Squid
412420538,Fishing vessel,Squid,Squid
412420609,Fishing vessel,Squid,Squid
412420622,Fishing vessel,Squid,Squid
412420623,Fishing vessel,Squid,Squid
412420624,Fishing vessel,Squid,Squid
412420644,Fishing vessel,Squid,Squid
412420646,Fishing vessel,Squid,Squid
412420647,Fishing vessel,Squid,Squid
412420652,Fishing vessel,Squid,Squid
412420688,Fishing vessel,Squid,Squid
412420691,Fishing vessel,Squid,Squid
412420697,Fishing vessel,Squid,Squid
412420789,Fishing vessel,Squid,Squid
412420798,Fishing vessel,Squid,Squid
412420799,Fishing vessel,Squid,Squid
412420801,Fishing vessel,Squid,Squid
412420816,Fishing vessel,Squid,Squid
412420822,Fishing vessel,Squid,Squid
412420823,Fishing vessel,Squid,Squid
412420825,Fishing vessel,Squid,Squid
412420872,Fishing vessel,Squid,Squid
412420873,Fishing vessel,Squid,Squid
412420923,Fishing vessel,Squid,Squid
412420925,Fishing vessel,Squid,Squid
412420926,Fishing vessel,Squid,Squid
412420927,Fishing vessel,Squid,Squid
412420928,Fishing vessel,Squid,Squid
412420933,Fishing vessel,Squid,Squid
412420937,Fishing vessel,Squid,Squid
412420951,Fishing vessel,Squid,Squid
412420955,Fishing vessel,Squid,Squid
412420956,Fishing vessel,Squid,Squid
412420957,Fishing vessel,Squid,Squid
412420958,Fishing vessel,Squid,Squid
412420959,Fishing vessel,Squid,Squid
412420961,Fishing vessel,Squid,Squid
412420962,Fishing vessel,Squid,Squid
412420963,Fishing vessel,Squid,Squid
412420964,Fishing vessel,Squid,Squid
412420965,Fishing vessel,Squid,Squid
412420966,Fishing vessel,Squid,Squid
412420968,Fishing vessel,Squid,Squid
412420969,Fishing vessel,Squid,Squid
412420971,Fishing vessel,Squid,Squid
412420972,Fishing vessel,Squid,Squid
412420973,Fishing vessel,Squid,Squid
412420974,Fishing vessel,Squid,Squid
412420975,Fishing vessel,Squid,Squid
412420979,Fishing vessel,Squid,Squid
412420981,Fishing vessel,Squid,Squid
412420992,Fishing vessel,Squid,Squid
412420994,Fishing vessel,Squid,Squid
412421002,Fishing vessel,Squid,Squid
412421003,Fishing vessel,Squid,Squid
412421004,Fishing vessel,Squid,Squid
412421016,Fishing vessel,Squid,Squid
412421033,Fishing vessel,Squid,Squid
412421356,Fishing vessel,Squid,Squid
412421357,Fishing vessel,Squid,Squid
412422693,Fishing vessel,Squid,Squid
412422695,Fishing vessel,Squid,Squid
412422696,Fishing vessel,Squid,Squid
412422697,Fishing vessel,Squid,Squid
412422701,Fishing vessel,Squid,Squid
412422706,Fishing vessel,Squid,Squid
412424491,Fishing vessel,Squid,Squid
412424547,Fishing vessel,Squid,Squid
412424702,Fishing vessel,Squid,Squid
412424703,Fishing vessel,Squid,Squid
412430930,Fishing vessel,Squid,Squid
412439584,Fishing vessel,Squid,Squid
412439586,Fishing vessel,Squid,Squid
412439587,Fishing vessel,Squid,Squid
412439741,Fishing vessel,Squid,Squid
412439742,Fishing vessel,Squid,Squid
412670670,Fishing vessel,Squid,Squid
412679810,Fishing vessel,Squid,Squid
412697150,Fishing vessel,Squid,Squid
412857888,Fishing vessel,Squid,Squid
416562000,Fishing vessel,Squid,Squid
416563000,Fishing vessel,Squid,Squid
440995000,Fishing vessel,Squid,Squid
441767000,Fishing vessel,Squid,Squid
373039000,Fishing vessel,Squid,Squid
356514000,Fishing vessel,Squid,Squid
370178000,Fishing vessel,Squid,Squid
411164730,Fishing vessel,Squid,Squid
