mmsi,itu_nonfishing_label,itu_nonfishing_sublabel,itu_nonfishing_fishing
203703200,Passenger,Passenger,Non-fishing
203706400,Passenger,Passenger,Non-fishing
203707200,Passenger,Passenger,Non-fishing
203707400,Passenger,Passenger,Non-fishing
203709200,Passenger,Passenger,Non-fishing
203709400,Passenger,Passenger,Non-fishing
203712400,Passenger,Passenger,Non-fishing
203715400,Passenger,Passenger,Non-fishing
203716400,Passenger,Passenger,Non-fishing
203717400,Passenger,Passenger,Non-fishing
203718400,Passenger,Passenger,Non-fishing
203719400,Passenger,Passenger,Non-fishing
203721400,Passenger,Passenger,Non-fishing
203722400,Passenger,Passenger,Non-fishing
203723400,Passenger,Passenger,Non-fishing
203724400,Passenger,Passenger,Non-fishing
203725400,Passenger,Passenger,Non-fishing
203726400,Passenger,Passenger,Non-fishing
203729400,Passenger,Passenger,Non-fishing
203731400,Passenger,Passenger,Non-fishing
203732400,Passenger,Passenger,Non-fishing
203737400,Passenger,Passenger,Non-fishing
203738400,Passenger,Passenger,Non-fishing
203742400,Passenger,Passenger,Non-fishing
203743400,Passenger,Passenger,Non-fishing
203744200,Passenger,Passenger,Non-fishing
203745400,Passenger,Passenger,Non-fishing
203746400,Passenger,Passenger,Non-fishing
203747400,Passenger,Passenger,Non-fishing
203749200,Passenger,Passenger,Non-fishing
203749400,Passenger,Passenger,Non-fishing
203751400,Passenger,Passenger,Non-fishing
203753400,Passenger,Passenger,Non-fishing
203755400,Passenger,Passenger,Non-fishing
203758400,Passenger,Passenger,Non-fishing
203761400,Passenger,Passenger,Non-fishing
203763400,Passenger,Passenger,Non-fishing
203764400,Passenger,Passenger,Non-fishing
203766400,Passenger,Passenger,Non-fishing
203768400,Passenger,Passenger,Non-fishing
203783200,Passenger,Passenger,Non-fishing
203787400,Passenger,Passenger,Non-fishing
203793100,Passenger,Passenger,Non-fishing
203794200,Passenger,Passenger,Non-fishing
203809200,Passenger,Passenger,Non-fishing
203810200,Passenger,Passenger,Non-fishing
203828400,Passenger,Passenger,Non-fishing
203857400,Passenger,Passenger,Non-fishing
203861200,Passenger,Passenger,Non-fishing
203875400,Passenger,Passenger,Non-fishing
203883200,Passenger,Passenger,Non-fishing
203888400,Passenger,Passenger,Non-fishing
203971100,Passenger,Passenger,Non-fishing
205001000,Tug/Pilot/Supply,Tug,Non-fishing
205013000,Tug/Pilot/Supply,Tug,Non-fishing
205019000,Tug/Pilot/Supply,Tug,Non-fishing
205022000,Tug/Pilot/Supply,Tug,Non-fishing
205025000,Tug/Pilot/Supply,Tug,Non-fishing
205029000,Tug/Pilot/Supply,Tug,Non-fishing
205033000,Passenger,Passenger,Non-fishing
205036000,Tug/Pilot/Supply,Tug,Non-fishing
205043000,Passenger,Passenger,Non-fishing
205051000,Tug/Pilot/Supply,Tug,Non-fishing
205057000,Tug/Pilot/Supply,Tug,Non-fishing
205058000,Tug/Pilot/Supply,Tug,Non-fishing
205063000,Tug/Pilot/Supply,Tug,Non-fishing
205065000,Tug/Pilot/Supply,Tug,Non-fishing
205067000,Tug/Pilot/Supply,Tug,Non-fishing
205070000,Tug/Pilot/Supply,Tug,Non-fishing
205071000,Tug/Pilot/Supply,Tug,Non-fishing
205074000,Tug/Pilot/Supply,Tug,Non-fishing
205082000,Tug/Pilot/Supply,Tug,Non-fishing
205084000,Tug/Pilot/Supply,Tug,Non-fishing
205086000,Tug/Pilot/Supply,Tug,Non-fishing
205087000,Tug/Pilot/Supply,Tug,Non-fishing
205116000,Passenger,Passenger,Non-fishing
205123000,Tug/Pilot/Supply,Tug,Non-fishing
205172000,Tug/Pilot/Supply,Tug,Non-fishing
205177000,Tug/Pilot/Supply,Tug,Non-fishing
205179000,Tug/Pilot/Supply,Tug,Non-fishing
205181000,Tug/Pilot/Supply,Tug,Non-fishing
205185000,Passenger,Passenger,Non-fishing
205188000,Tug/Pilot/Supply,Tug,Non-fishing
205193000,Tug/Pilot/Supply,Tug,Non-fishing
205199000,Tug/Pilot/Supply,Tug,Non-fishing
205200000,Tug/Pilot/Supply,Tug,Non-fishing
205233000,Tug/Pilot/Supply,Tug,Non-fishing
205234000,Tug/Pilot/Supply,Tug,Non-fishing
205238000,Tug/Pilot/Supply,Tug,Non-fishing
205300000,Tug/Pilot/Supply,Tug,Non-fishing
205340000,Tug/Pilot/Supply,Tug,Non-fishing
205358810,Passenger,Sailing,Non-fishing
205359000,Tug/Pilot/Supply,Tug,Non-fishing
205393000,Tug/Pilot/Supply,Tug,Non-fishing
205414000,Tug/Pilot/Supply,Tug,Non-fishing
205415000,Tug/Pilot/Supply,Tug,Non-fishing
205416000,Tug/Pilot/Supply,Tug,Non-fishing
205417000,Tug/Pilot/Supply,Tug,Non-fishing
205452000,Passenger,Passenger,Non-fishing
205454000,Tug/Pilot/Supply,Tug,Non-fishing
205466000,Tug/Pilot/Supply,Tug,Non-fishing
205467000,Tug/Pilot/Supply,Tug,Non-fishing
205468000,Tug/Pilot/Supply,Tug,Non-fishing
205480000,Passenger,Passenger,Non-fishing
205483000,Tug/Pilot/Supply,Tug,Non-fishing
205484000,Tug/Pilot/Supply,Tug,Non-fishing
205486000,Tug/Pilot/Supply,Tug,Non-fishing
205541000,Tug/Pilot/Supply,Tug,Non-fishing
205545000,Tug/Pilot/Supply,Tug,Non-fishing
205546000,Tug/Pilot/Supply,Tug,Non-fishing
