mmsi,reefer_fishing,reefer_label,reefer_sublabel,reefer_length,reefer_tonnage
273430160,Nonfishing vessel,Reefer,Reefer,,
273433460,Nonfishing vessel,Reefer,Reefer,,
273434600,Nonfishing vessel,Reefer,Reefer,,
273435310,Nonfishing vessel,Reefer,Reefer,,
273440860,Nonfishing vessel,Reefer,Reefer,,
273441270,Nonfishing vessel,Reefer,Reefer,,
273441670,Nonfishing vessel,Reefer,Reefer,,
273442580,Nonfishing vessel,Reefer,Reefer,,
273442740,Nonfishing vessel,Reefer,Reefer,,
273449510,Nonfishing vessel,Reefer,Reefer,,
273449760,Nonfishing vessel,Reefer,Reefer,,
273459100,Nonfishing vessel,Reefer,Reefer,,
273459400,Nonfishing vessel,Reefer,Reefer,,
273511500,Nonfishing vessel,Reefer,Reefer,,
273512400,Nonfishing vessel,Reefer,Reefer,,
273811020,Nonfishing vessel,Reefer,Reefer,,
273812710,Nonfishing vessel,Reefer,Reefer,,
273814050,Nonfishing vessel,Reefer,Reefer,,
273815000,Nonfishing vessel,Reefer,Reefer,,
273815020,Nonfishing vessel,Reefer,Reefer,,
273815050,Nonfishing vessel,Reefer,Reefer,,
273816010,Nonfishing vessel,Reefer,Reefer,,
273816020,Nonfishing vessel,Reefer,Reefer,,
273817200,Nonfishing vessel,Reefer,Reefer,,
273818000,Nonfishing vessel,Reefer,Reefer,,
273820900,Nonfishing vessel,Reefer,Reefer,,
273824020,Nonfishing vessel,Reefer,Reefer,,
273825810,Nonfishing vessel,Reefer,Reefer,,
273827710,Nonfishing vessel,Reefer,Reefer,,
273828310,Nonfishing vessel,Reefer,Reefer,,
273829410,Nonfishing vessel,Reefer,Reefer,,
273833000,Nonfishing vessel,Reefer,Reefer,,
273842700,Nonfishing vessel,Reefer,Reefer,,
273844500,Nonfishing vessel,Reefer,Reefer,,
273844700,Nonfishing vessel,Reefer,Reefer,,
273851400,Nonfishing vessel,Reefer,Reefer,,
273875400,Nonfishing vessel,Reefer,Reefer,,
273892210,Nonfishing vessel,Reefer,Reefer,,
273895510,Nonfishing vessel,Reefer,Reefer,,
277099000,Nonfishing vessel,Reefer,Reefer,,
277247000,Nonfishing vessel,Reefer,Reefer,,
277312000,Nonfishing vessel,Reefer,Reefer,136.01,5899.0
277327000,Nonfishing vessel,Reefer,Reefer,,
277331000,Nonfishing vessel,Reefer,Reefer,,
277348000,Nonfishing vessel,Reefer,Reefer,134.02,7313.0
277380000,Nonfishing vessel,Reefer,Reefer,134.02,7313.0
277397000,Nonfishing vessel,Reefer,Reefer,134.02,7326.0
306073000,Nonfishing vessel,Reefer,Reefer,122.92,6964.0
306083000,Nonfishing vessel,Reefer,Reefer,,
306126000,Nonfishing vessel,Reefer,Reefer,,
306303000,Nonfishing vessel,Reefer,Reefer,,
306337000,Nonfishing vessel,Reefer,Reefer,,
306497000,Nonfishing vessel,Reefer,Reefer,106.38,4440.0
306509000,Nonfishing vessel,Reefer,Reefer,105.35,4190.0
306511000,Nonfishing vessel,Reefer,Reefer,105.35,4190.0
306752000,Nonfishing vessel,Reefer,Reefer,124.7,5476.0
306796000,Nonfishing vessel,Reefer,Reefer,102.86,4263.0
306862000,Nonfishing vessel,Reefer,Reefer,108.81,4666.0
306866000,Nonfishing vessel,Reefer,Reefer,117.27,5100.0
306871000,Nonfishing vessel,Reefer,Reefer,117.135,5107.5
306872000,Nonfishing vessel,Reefer,Reefer,117.27,5100.0
306873000,Nonfishing vessel,Reefer,Reefer,117.285,5100.0
308090000,Nonfishing vessel,Reefer,Reefer,,
308121000,Nonfishing vessel,Reefer,Reefer,,
308122000,Nonfishing vessel,Reefer,Reefer,,
308126000,Nonfishing vessel,Reefer,Reefer,,
308228000,Nonfishing vessel,Reefer,Reefer,,
308438000,Nonfishing vessel,Reefer,Reefer,,
308511000,Nonfishing vessel,Reefer,Reefer,,
308512000,Nonfishing vessel,Reefer,Reefer,,
308541000,Nonfishing vessel,Reefer,Reefer,,
308564000,Nonfishing vessel,Reefer,Reefer,115.0,5225.0
308572000,Nonfishing vessel,Reefer,Reefer,,
308668000,Nonfishing vessel,Reefer,Reefer,,
308701000,Nonfishing vessel,Reefer,Reefer,,
308765000,Nonfishing vessel,Reefer,Reefer,,
308868000,Nonfishing vessel,Reefer,Reefer,,
309075000,Nonfishing vessel,Reefer,Reefer,,
309165000,Nonfishing vessel,Reefer,Reefer,,
309193000,Nonfishing vessel,Reefer,Reefer,,
309281000,Nonfishing vessel,Reefer,Reefer,,
309361000,Nonfishing vessel,Reefer,Reefer,,
309578000,Nonfishing vessel,Reefer,Reefer,133.59,8487.0
309681000,Nonfishing vessel,Reefer,Reefer,,
309689000,Nonfishing vessel,Reefer,Reefer,,
309716000,Nonfishing vessel,Reefer,Reefer,,
309841000,Nonfishing vessel,Reefer,Reefer,,
310746848,Nonfishing vessel,Reefer,Reefer,,
311000433,Nonfishing vessel,Reefer,Reefer,,
311004000,Nonfishing vessel,Reefer,Reefer,,
311009400,Nonfishing vessel,Reefer,Reefer,,
311009500,Nonfishing vessel,Reefer,Reefer,,
311011400,Nonfishing vessel,Reefer,Reefer,,
311029000,Nonfishing vessel,Reefer,Reefer,,
311040500,Nonfishing vessel,Reefer,Reefer,,
311042300,Nonfishing vessel,Reefer,Reefer,119.275,5617.0
311051000,Nonfishing vessel,Reefer,Reefer,,
311054900,Nonfishing vessel,Reefer,Reefer,,
311062300,Nonfishing vessel,Reefer,Reefer,,
311087000,Nonfishing vessel,Reefer,Reefer,,
311088000,Nonfishing vessel,Reefer,Reefer,,
