mmsi,shipname,callsign,length,width,power,tonnage
257122820,ROALDSEN JUNIOR,LK2391,17.25,5.2,355,74
257122920,VIGDIS,LK 2392,NA,NA,NA,NA
257123120,BUHOLMSKJAER,LK2396,9.24,3.22,76,7
257123140,MJOLNER2,LK5093,10.65,4.01,155,18
257123220,ROY MAGNE,LK2397,10.55,3.46,152,11
257123320,EVRO,LK2407,14.1,4.52,256,19
257123840,NA,,NA,NA,NA,NA
257124020,ANFIELD,LK2420,10.52,3.7,150,12
257124220,SOLBRIS,LK2430,9.97,2.95,80,10
257124420,BAATSMANN,LK2432,13.23,4.18,178,23
257124500,HAVBAAEN,LG5968,12.32,3.94,610,NA
257124520,JUVEL,LK2433,14.07,4.68,270,23
257124640,VANGSBUEN,LM7558,10.62,3.89,156,14
257124740,ELAS,LM6029,13.62,3.95,200,22
257124800,NORDTINN,LM3210,14.08,4.3,185,18
257124840,ULF DANIEL,LM 3972,NA,NA,NA,NA
257124920,UTVAER,LK2452,10.55,3.46,152,11
257125020,EMMA,LK2459,14.98,5.0,280,24
257125040,HORNGRUNN,LM7740,10.37,3.24,180,10
257125140,DENTAX SENIOR,JXVK,16.88,5.4,450,40
257125440,WILLYSON,LK3860,13.15,4.18,230,21
257125600,MARTOR,LG 6409,NA,NA,NA,NA
257125700,FINDUS,LG2147,9.69,3.1,222,NA
257125720,VESTASKJER,LK2475,14.86,5.2,330,25
257125820,LANGNESVAERING,LK2481,12.4,3.95,208,20
257125920,SENJAFJELL,LK2482,12.2,4.18,250,16
257126040,SEKTOR,LM6798,10.99,4.26,270,18
257126220,ERLEND JOHAN,LK2485,10.55,3.38,145,10
257126500,SELMA,LG6368,12.4,3.88,500,15
257126740,VEINES,LM7077,14.6,4.5,246,24
257127520,BONES,LK2515,10.66,3.83,109,12
257127920,MAGNARSON,LK2524,10.17,3.4,230,5
257128000,SOLVARSKJAR,LCJG,34.99,9.25,1000,NA
257128020,BOEVAERING,LK2528,9.02,2.95,105,6
257128420,SANDRA MARI,LK2535,12.34,3.86,131,16
257128440,DRAGON,LK5314,10.63,3.72,192,12
257128620,SKARSTADVAERING,LK2545,13.08,3.69,122,21
257128920,HIMMELTIND,LK2556,12.8,4.2,265,21
257129020,NEPTUN,LK2561,9.14,3.15,72,7
257129140,HANS,LK5216,14.97,5.4,450,25
257129320,LANGHOLMSUND,LK2569,12.98,3.9,175,15
257129420,JOHANNE,LK2570,10.55,3.46,210,12
257129520,MISTRAL,LK2571,8.81,3.22,76,8
257129840,STRAUMVANG T-80-I,LK5298,10.64,3.95,190,12
257129940,OEYBAS,LK5304,12.13,4.55,275,19
257130040,SKAGOY,LM8731,14.29,4.34,272,23
257130240,AKSEL ANDRE,LK5299,10.65,2.95,150,10
257130320,JOSNESBUEN,LK2591,8.82,3.14,80,6
257130620,SIMAR,LK2605,10.5,3.78,145,9
257130920,MULOYBUEN,LK2616,13.68,3.98,131,20
257131020,HAVGUTT,LK2621,10.6,3.9,152,15
257131320,HAVOEY,LK2629,10.54,4.1,131,18
257131420,VARDEN,LK2630,8.85,3.11,129,7
257131520,SORVAERING,LK2632,10.64,4.06,115,12
257131740,NENNIK,LK4980,8.06,2.65,65,4
257131800,STORVIG,LCLK,NA,NA,NA,NA
257131940,TERNA,LM8521,9.51,3.14,120,9
257132240,HAAVARD,LM7492,9.27,3.15,72,8
257132340,EVELYN,LM6249,NA,NA,NA,NA
257132720,VESTBAAEN,LK2666,10.35,3.08,115,9
257132820,SOYLABUEN,LK2668,NA,NA,NA,NA
257132940,NY-KVIKK,LM4841,10.05,2.99,109,8
257133000,M-SOLHAUG,LAIC,34.07,9.5,990,NA
257133140,EGILSON,LM6545,10.61,3.6,178,14
257133340,OEYSKJAER,LK2305,8.33,2.72,65,4
257133500,LAGERTHA,LM6844,9.72,3.41,162,11
257133620,LENA-ELIAS,LK2688,12.37,4.52,238,19
257133720,KIKKI,LK2691,12.99,4.85,220,21
257133820,RAVNOEY,LK2694,10.66,3.58,156,12
257134040,SJOEBLOMSTEN,LNEW,NA,NA,NA,NA
257134420,FROEGRUNN,LK2711,10.66,3.1,80,12
257134500,VALKYRIEN,LG5979,10.4,4.05,250,NA
257134620,NA,,NA,NA,NA,NA
257134720,BUAGUTT,LK2717,10.01,3.48,135,9
257135000,FISKEBAS,LDFS,64.2,14.0,3100,NA
257135020,NESBUEN,LK2722,9.26,2.87,85,5
257135220,MARINA,LK2724,12.32,4.66,296,19
257135500,SKREIGRUNN,LG6353,14.98,6.01,500,NA
257135520,SOERSTEIN,LK2734,10.6,3.9,127,7
257135620,HANNE,LK2736,10.35,3.5,160,11
257135920,SKIPSON,LK2746,10.55,3.46,131,11
257136040,ANDUNGEN F-62-BD,LM2808,9.56,3.2,108,9
257136220,ALDRA,?,NA,NA,NA,NA
257136340,ENGOEY,LM4403,10.64,3.41,180,9
257136420,REISAVAERINGEN,LK2755,10.02,3.0,80,10
257136520,HALTENFISK,LK2756,12.2,4.18,250,19
257136640,AMANDA,LK3056,10.55,3.46,130,12
257136720,LEON OLAI,LK 2759,NA,NA,NA,NA
257136920,HEIDRUN,LK2764,10.6,3.9,116,9
257137220,VAARBUEN,LK2769,10.62,3.93,152,12
257137420,FJORDBUEN,LK2773,10.65,3.86,190,12
257137640,VANNOEYVAERING,LK4991,14.8,5.27,405,25
257137720,SAIBMA,LK2781,8.06,2.94,30,4
257138000,SMARAGD,LKOO,74.0,15.8,5440,NA
257138240,STORENGBUEN,LM8377,9.54,2.97,110,9
257138420,HITTERVAERING,LK2803,14.99,4.58,300,32
257138720,IDA BEATE,LK2809,14.94,5.05,360,24
257138820,GORM III,LK2811,14.02,3.9,163,14
257139000,JOHAN HJORT,LDGJ,NA,NA,NA,NA
257139040,HAVBRYN,LK2155,10.05,3.35,115,10
257139120,SIGNAL,LK2814,14.95,4.66,300,24
257139240,GILL,LKQZ,16.49,4.51,235,29
257139340,BRASOEYFISK,LM 6122,NA,NA,NA,NA
257139520,RENATO III,LK2842,NA,NA,NA,NA
257139940,MEBAS,LK3893,10.03,3.55,116,10
257140040,VAAGAN,LK5334,10.99,3.67,152,14
257140120,TOFTING,LK2849,NA,NA,NA,NA
257140140,TOR.E,LK5297,10.6,3.1,130,12
257140240,BARSKJAER,LK5333,10.12,3.65,152,11
257140620,TOVE MARIE,LK2860,10.55,3.46,178,11
257140920,RUTH KRISTIN,LK2869,10.64,4.05,160,12
257141020,LAKSHMI,LK2870,9.02,3.22,108,8
257141040,JAN TORE,LK5099,10.64,3.95,152,12
257141320,SOLFUGLEN,LK2882,10.6,3.9,145,12
257141720,SULOEY,LK2913,10.55,3.46,116,11
257141820,ULOEYBUEN,LK2915,12.2,4.18,168,19
257141940,JANSON,LK5336,12.1,4.2,152,16
257142140,KVALVIK,LM6026,10.45,3.0,100,NA
257142240,LINN TORRY,LM6373,9.45,3.08,97,9
257142520,SVENDSEN SENIOR,LK2937,14.93,4.52,317,22
257142620,GLADIATOR,LK2941,10.45,3.77,135,11
257142820,SJOBAS,LK2950,14.95,5.2,368,25
257142920,SVEBOEN,LK2954,9.65,2.87,76,9
257143120,SILVER,LK2957,7.9,2.67,30,4
257143420,DUKAT,LK2965,10.66,4.02,115,12
257143440,LITJ SKJAERET,LK 5350,NA,NA,NA,NA
257143720,TEIS,LK 2979,NA,NA,NA,NA
257143740,VALOYTIND,LK5329,12.98,4.95,250,21
257144020,GIVAER,LK3003,10.6,3.99,165,12
257144040,LARS GORAN,LK5340,10.58,3.8,152,12
257144120,BRATTHOLM,LK3005,12.2,4.18,185,18
257144220,OLSOYVERING,LK3043,12.5,4.13,240,20
257144240,SKUVINGEN,LM9927,12.83,3.96,180,17
257144920,DALGAARD,LK3055,10.6,3.75,230,12
257145220,NORDHAV,LK3075,12.2,4.18,182,19
257145320,HAVPRINS,LK3078,10.66,3.91,152,12
257145600,MARIUS,LF5284,NA,NA,NA,NA
257145800,HOEGNI,LG2408,10.26,3.14,303,NA
257145820,ARKTOS,LK3109,19.01,5.51,345,65
257145920,DRUEN II,LK3120,7.91,2.62,48,4
257146020,SYREN,LK3123,10.55,3.46,130,11
257146120,MARI,LK3131,10.48,3.82,116,12
257146220,F/S SILEGG,LK3136,10.6,3.8,170,10
257146440,TROLLTIND,LK5326,12.98,4.3,156,21
257146520,SNEFJELL,LK3145,10.4,3.3,152,11
257146800,URAGUTTEN,LM5558,9.42,3.14,118,7
257146820,EINAR ANDRE,LK3164,12.2,4.18,263,40
257147020,KAMOE,LK3167,13.53,4.11,400,22
257147320,HAVFROEKNA,LK3171,10.61,3.9,131,12
257147500,STAR,LF5286,NA,NA,NA,NA
257147820,STINE MAYA,LK3190,9.35,2.91,130,9
257147900,SOLVAER,LG6479,10.99,3.84,500,NA
257147920,JOKER,LK3210,16.03,5.75,370,43
257148020,ODD JONNY 2,LK3215,13.75,4.89,238,22
257148220,CONAN,LK3219,9.58,2.72,135,9
257148320,NITTAYA,LK3220,10.3,3.2,115,11
257148420,JOELLE,LK3225,14.92,5.42,367,72
257148520,ARNT IVAR,LK3234,10.63,3.75,176,12
257148620,ANDFJORD,LK3235,14.87,4.72,291,24
257149000,HOVDEN VIKING,JWLM,37.54,9.25,1000,NA
257149020,STORM,LK3239,10.55,3.46,266,11
257149120,VEGARD,LK3243,18.15,5.0,250,39
257149220,BREITIND,LK3245,12.91,3.6,152,22
257149420,VESLEMOY,LK 3252,NA,NA,NA,NA
257149500,OCEAN,LG3733,10.65,4.2,450,8
257149920,REPSOY,LK3270,14.97,5.4,250,25
257150120,REPPARFJORD,LK3272,10.62,4.2,178,12
257150140,NONSTIND,LK7508,12.21,3.65,175,NA
257150220,BJOERN,LK3280,10.03,3.0,76,10
257150240,T.A SENIOR,LK7556,14.99,6.0,474,NA
257150320,M/S SANDHOLMEN,LK3281,9.0,3.45,115,NA
257150620,SKUMRING,LK 3295,NA,NA,NA,NA
257150700,KAMILLA,LM2163,10.65,3.17,70,7
257150720,HOLMEN,LK 3298,NA,NA,NA,NA
257150820,VENI ACTIV,LK3312,10.6,3.9,127,12
257150920,SLETTVOLL SENIOR,LK3313,10.6,3.9,167,12
257151120,ICE,LK3323,10.62,4.2,185,5
257151240,HAUNES,LK7604,12.98,3.97,290,NA
257151420,LOKSTIND,LK3334,14.11,4.72,250,24
257151500,VAARINN,LM8656,9.15,3.05,80,7
257151720,BUROY,LK3370,12.2,4.18,250,19
257152420,NORBRIS,LK3429,10.62,4.2,154,14
257152520,OLAV NILSEN,LK3431,16.35,5.8,400,45
257152620,MEA,LK 3438,NA,NA,NA,NA
257152940,HAAREK,LK7646,8.02,2.7,63,NA
257153140,INGOYVAERING,LK7649,10.65,4.13,175,NA
257153220,KLUBBEN,LK3483,12.64,4.22,250,20
257153240,OYESTEIN,LK7610,12.24,3.64,250,NA
257153440,STUFUNES,LK2109,10.4,3.71,150,11
257153500,PRESTFJORD,3YHX,65.0,15.0,6000,NA
257153520,NYBOE,LK3503,14.0,4.7,380,23
257153700,REMY,LM9663,9.37,3.38,120,8
257154120,KVITNES,LK3540,8.85,3.15,76,7
257154220,GEIR ERIK,LM3550,NA,NA,NA,NA
257154320,ELVIRA 3,LK3553,NA,NA,NA,NA
257154420,OEYSJARK,LK3554,10.12,3.6,80,9
257154540,TRUDA,LF 3840,NA,NA,NA,NA
257154720,PETTERSON,LK3599,10.55,3.46,162,11
257154900,VILJEN,LK3278,10.31,3.35,357,NA
257155040,REKYL,LK 7587,NA,NA,NA,NA
257155220,LILLI,LK3614,9.65,3.41,120,9
257155320,HARDY GUTTEN,LK3815,NA,NA,NA,NA
257155500,SAGA K,LG6266,14.98,5.68,913,NA
257155740,VESLEPER,LK7647,12.21,3.64,175,NA
257156040,STORSTEIN,LK7764,14.96,5.42,400,NA
257156120,FAGERSKJAER,LK3677,10.66,4.1,160,12
257156240,TRIN EVEN,LK5053,10.65,4.01,120,12
257156320,KARINA,LK3696,12.06,3.6,152,7
257156500,SALTBAAEN,LG6592,10.66,3.84,500,NA
257156640,KVITNAKKEN F-29-G,LK7683,10.98,3.99,400,NA
257157020,HORNTIND,LK3727,10.6,4.1,160,18
257157120,MELOEYBAS,LK3735,13.68,4.13,250,22
257157240,HERR OLSEN,LK7585,10.62,3.05,310,NA
257157340,ALBATROSS III,LK7757,10.15,3.05,222,NA
257157440,NORBUEN,LK7736,12.22,4.52,218,NA
257157500,SELVAAGBUEN,LG 6591,NA,NA,NA,NA
257157520,VESTFISK,LK3764,14.98,5.4,250,24
257157620,LEISKJAER,LK3767,10.65,4.2,152,12
257157640,JM SENIOR,LK7821,10.71,4.72,330,NA
257157740,ZANDER,LK7818,12.21,3.64,175,13
257157920,TRISTEIN,LK3798,10.62,4.2,152,12
257157940,DINABOEN,LK7089,12.72,4.2,280,16
257158320,FLOHAV,LK3851,10.66,4.1,152,12
257158500,SYDNES,LF6252,NA,NA,NA,NA
257158540,SILJAN,LF3869,NA,NA,NA,NA
257158840,LISBETH,LK7721,10.15,3.07,200,NA
257158920,SONBAS SENIOR,LK3905,10.5,3.65,200,15
257159220,MAGNHILD,LK3919,9.45,3.06,108,8
257159320,ERATO,LK3925,12.2,4.18,204,19
257159640,ISABELL,LK7808,9.05,2.85,305,10
257159740,GJOEA,LK7541,10.66,4.0,175,12
257159920,JANTO,LK3975,12.3,3.74,245,20
257159940,FANGST,LK5559,9.24,3.22,100,7
257160020,SNARSETVEARING,LK3988,14.98,4.95,411,24
257160120,LYNGVAER,LK3998,14.47,5.19,600,24
257160140,TUNGVAAG,LK7829,10.67,4.0,170,NA
257160240,JULIANE,LK7626,10.3,3.4,340,NA
257160320,BELL-ROCK,LK4011,NA,NA,NA,NA
257160620,VAAGASKJAER,LK4031,10.64,3.5,152,12
257160640,HAVGUTT,LK7820,10.66,3.65,154,NA
257160740,VASSOYBUEN,LK7574,10.62,5.05,303,NA
257160940,LINDA SOFIE,LF3879,10.35,3.4,410,NA
257161020,MAAKEN,LK4069,10.65,3.98,152,12
257161040,SPRINT,LK7828,10.55,3.12,430,NA
257161140,HAVSULEN,LK7835,12.2,3.64,175,NA
257161320,SULINGEN,LK4083,10.99,3.56,170,13
257161420,STEINARSON,LK4094,10.55,3.46,178,11
257161540,FJORDBAS,LK7744,10.6,2.95,310,NA
257161620,TIN,LK 4119,NA,NA,NA,NA
257161840,KRISTIN MARITA,LK7751,10.65,3.79,375,10
257161940,SULOY,LK7840,12.2,4.2,250,NA
257162520,NA,LK 4203,NA,NA,NA,NA
257162600,HUSOEY,LG 6583,NA,NA,NA,NA
257162640,KATLA,LK7560,14.95,5.94,600,54
257162840,CAPELLA,LK 7885,NA,NA,NA,NA
257163120,EMIL LEANDER,LK 4257,NA,NA,NA,NA
257163140,NORDHOLMEN,LK7759,10.25,3.82,365,NA
257163220,HANNE MARIE,LK4259,13.05,4.1,245,18
257163320,BORFJELL,LK4261,14.1,4.37,250,24
257163340,THEA,LF3895,9.69,3.1,220,NA
257163840,VAAGAR,LK7976,10.2,3.9,330,NA
257163940,LANGNES JR,LK7902,10.6,3.0,112,NA
257164320,MAYA,LK4392,10.01,2.94,115,10
257164340,M/S BOIE,LK7887,13.99,5.01,360,NA
257164500,GURATIND,LF5296,14.99,6.0,450,NA
257164540,KING NORDKAPP,LK7929,10.59,3.86,200,NA
257164640,HUSOEYSUND,LK-7944,NA,NA,NA,NA
257164700,LOMSTIND,LG6593,10.66,4.61,265,NA
257164820,SWANSEA,LK4409,10.99,3.57,175,10
257165320,MARTIN,LK4435,10.6,3.9,145,10
257165340,WILLIKSEN SENIOR$,LK 7984,NA,NA,NA,NA
257165920,SVATIND,LK4452,10.96,3.42,120,13
257166000,KAROLOS,LKDQ,NA,NA,NA,NA
257166220,ORAFISK,LK4492,14.23,4.43,450,23
257166400,ORFJORD,LGLX,31.31,8.2,750,108
257166920,NORDLYS,LK4525,10.11,3.43,175,10
257167020,STRONSTADVAERING,LK4527,10.98,3.88,160,14
257167220,STEN TORE,LK4529,10.65,4.15,152,12
257167320,BOELGEN,LK4530,10.98,3.75,152,20
257167540,BOY-ANGEL,LK8049,14.63,5.0,285,24
257167800,AKOM F-100-TN,LG6640,NA,NA,NA,NA
257168040,OTELIE,LK7283,10.6,3.75,230,NA
257168240,IDA KONSTANSE,LF3945,NA,NA,NA,NA
257168520,POLARJO,LK4580,10.02,2.99,80,10
257168800,BAATSKJKAER,LM2398,9.97,2.91,82,NA
257169140,VESLEPER,LK8122,10.65,4.12,152,NA
257169320,MORILD,LK4631,10.31,3.35,127,12
257169420,VAAGEN,LK4642,10.55,4.12,255,12
257169620,VIKING,LK4663,12.6,3.8,180,15
257169820,GRONOYTRAL,LK4671,12.96,4.22,205,20
257169920,OYVER,LK 4673,NA,NA,NA,NA
257170320,NORDSTJERNA F-40-G,LK4708,12.96,3.92,190,18
257170340,FINNVIK,LK7806,10.65,4.14,175,NA
257170720,SJOESTJERNA,LK4729,10.02,3.01,80,10
257170820,LILJEN,LK4731,8.67,3.05,72,4
257170940,BORGHILD,LGXG,NA,NA,NA,NA
257171020,HUSOYVAERING,LK4748,12.95,3.98,250,18
257171140,RODIAN,LK7202,10.61,4.3,320,NA
257171220,HARTHO,LK4773,12.24,4.9,330,19
257171620,BALLSTADJENTA,LK4780,10.38,3.41,110,11
257171940,MICHELLE,LK7968,10.6,4.55,250,NA
257172140,BAMSE,LK8133,9.52,3.27,120,6
257172440,VITO,LK8225,10.65,3.63,175,NA
257172500,LOVUNDVAERING,LG6630,10.32,4.28,225,NA
257172600,MIRA,LG6654,10.65,3.8,425,NA
257172640,OTTOBAS,LM2703,10.64,3.8,167,12
257172720,KIM RICHARD,LK4824,10.6,4.1,152,12
257172740,PION,LK8236,10.66,4.1,210,12
257172820,KVALOEYGUTT,LK4825,10.47,3.66,300,11
257172920,MILDRID,LK4829,7.78,2.62,30,4
257173500,DANSKEN,LG6279,9.91,4.83,300,NA
257174140,STRANDGUTT,LK8141,10.65,4.5,330,NA
257174220,MARIANNE,LK4972,10.62,3.85,152,16
257174420,CAVARO F-13-G,LK4981,12.14,3.95,230,18
257174440,SKIPNES,LK8075,10.3,3.44,340,NA
257174540,HUGNAD,LK8196,9.82,3.22,154,NA
257174740,SANDER,LK8042,10.42,3.42,485,NA
257175020,MARNA,LK5040,12.22,4.1,218,19
257175040,NEPTUN,LK8287,12.21,3.65,175,14
257175220,ONSOEYGUTT,LK5044,8.8,3.25,85,7
257175320,AEGIR,LK5045,14.13,4.16,310,16
257175420,SOLBUEN,LK5054,10.58,3.43,170,12
257175440,SJOGUTTEN,LM2404,10.55,3.77,200,12
257175620,KORAL,LK5087,8.8,3.2,152,6
257175740,KAROLINE,LF7638,NA,NA,NA,NA
257175820,VIKING,LK5107,9.24,3.22,86,7
257176240,BUAR,LF4022,NA,NA,NA,NA
257176320,VANDSOEYVAAG,LK5140,10.56,3.89,250,12
257176340,TORSTIND,LM5175,8.63,2.71,109,7
257176540,TRAPANI,LM4563,10.08,2.99,150,7
257176620,OYGUTT,LK5160,14.23,3.97,245,23
257176640,HAUGEN,LK8048,14.96,5.68,360,NA
257177000,STRAUMBERG,LDEF,46.55,12.0,1863,NA
257177040,LOBSTER,LK7995,11.98,3.85,400,NA
257177120,JARLEN,LLER,17.34,4.88,375,41
257177240,ODDVAR JUNIOR,LK8044,9.4,3.2,68,7
257177340,UTRYGG,LK8219,10.65,3.8,165,NA
257177500,LILLEBROR,LK5684,14.63,4.15,270,23
257177900,SANTOS,LK6458,10.55,4.1,350,16
257178340,BJORNOY,LK8319,10.66,4.69,384,NA
257178800,JAKOBSSON,LG6658,10.97,4.0,410,10
257178940,M/S MODDY,LK8347,10.3,3.55,160,11
257179040,SILJE,LM7305,8.74,2.49,35,6
257179140,NYSTAD,LM 7561,NA,NA,NA,NA
257179240,BORGEN,LF5003,NA,NA,NA,NA
257179640,AKONO,LK-8359,NA,NA,NA,NA
257179740,BRENNAJENTA,LK8240,9.12,3.15,80,NA
257179820,VESLA,LMEQ,12.28,4.48,350,20
257179940,NORDHAVN,LF5007,10.3,3.7,340,NA
257180000,BOEMMELBAS,LLGZ,61.54,11.6,3750,NA
257180440,ROKSUND,LK8435,10.65,4.1,154,NA
257180500,LUDVIK,LG6747,10.97,5.01,265,NA
257180700,GERD JORID,LG2175,10.3,3.28,340,NA
257180740,YVONN,LM6213,10.66,3.54,300,9
257180800,FROYA,LG6517,10.94,3.96,610,NA
257181020,SOLBAS,LMUG,NA,NA,NA,NA
257181140,SIMEN F16B,LK 8442,NA,NA,NA,NA
257182340,FAEROEYFISK,LM5953,14.37,3.87,210,24
257182440,TOR VIGGO,LK 8527,NA,NA,NA,NA
257182620,RONNY N,LM2021,12.1,3.8,286,10
257182640,OYTIND,LK8502,10.15,3.95,185,NA
257182840,BISPEN F-30-G,LK8594,11.41,3.65,154,NA
257182920,MALMEN,LM2028,7.65,2.5,65,3
257183040,REINESBUEN,LM4069,9.45,3.14,129,9
257183140,TRYGVASON,LK2859,10.52,3.55,154,12
257183500,VASOYFISK,LG6781,10.98,3.78,650,NA
257183920,GAUTIND,LM2049,9.89,3.7,120,NA
257183940,HAGTIND,LK8607,10.64,3.64,175,NA
257184220,DRIVAR,LM2053,10.24,3.3,102,9
257184340,M/S GRIMSHOLM,LK 8711,NA,NA,NA,NA
257184940,PLUTOS,LF5037,8.1,3.05,100,NA
257185020,ISAK OLAI,LM2069,10.62,4.2,250,14
257185240,ELINE,LF5038,NA,NA,NA,NA
257185420,SJOLIV,LM2085,14.95,5.1,368,21
257185440,DELFIN,LK8750,10.2,3.82,270,8
257185540,BRUSOEYSKJAER,LK8333,10.66,3.65,175,NA
257185640,GAASHOLM,LF5040,NA,NA,NA,NA
257185940,SOLSKJAER,LK3787,10.55,3.66,235,12
257186040,HAVSTEIN,LK8749,12.2,4.1,550,NA
257186140,VAAGOEYBUEN,LK8734,10.66,4.52,291,NA
257186340,GAIA,LK8149,NA,NA,NA,NA
257186440,NORDFISK,LM 7757,NA,NA,NA,NA
257186520,SKARSTEIN,LM2120,10.11,3.2,135,8
257187246,GUNN-LOTTE,LM2699,10.65,3.02,152,10
257187500,VIKSTJERNA,LM8587,10.24,3.22,68,8
257187740,BAARDFJORD,LG3401,10.2,3.9,330,NA
257187840,LYKKEN,LM9608,8.95,3.44,30,NA
257188020,TERNA,LM2173,7.65,2.5,40,3
257188500,ANDOYGUTT,LM2751,10.39,3.56,115,11
257188540,RUBIN,LK 8820,NA,NA,NA,NA
257189020,SANNAGUTT,LM2211,10.58,4.1,152,12
257189040,KAMILLA KATRINE,LK 8837,NA,NA,NA,NA
257189240,BREMVAERING,LM2663,10.55,3.46,127,12
257189600,JOHAN HAAKON,LG 3720,NA,NA,NA,NA
257190040,CHRISTINA,LK7948,10.65,3.64,250,NA
257190140,SANDOEYJENTA,LK8869,10.66,3.98,154,NA
257190440,ERVIK,LK5589,NA,NA,NA,NA
257190540,OYMON,LK8782,10.63,3.98,500,NA
257190720,SANGOLT,LM2271,10.59,4.17,127,15
257191020,LINNEA,LM2284,14.86,4.75,400,25
257191240,LARS AINA,LF5075,NA,NA,NA,NA
257191440,SVANESUND,LK8665,10.66,4.5,250,NA
257192240,SKARTIND,LK8903,10.66,4.52,230,NA
257192540,HEPSOEFJORD,LK9090,10.66,4.5,255,NA
257193220,RAILO,LM2359,NA,NA,NA,NA
257193340,DELFIN,LK6149,10.65,4.17,152,13
257193500,EIRIK,LK6576,NA,NA,NA,NA
257193940,HEILO,LK9070,9.22,3.18,127,NA
257194420,KVALVIK JUNIOR,LM 2389,NA,NA,NA,NA
257194440,JANICKE,LK9012,10.36,3.36,340,NA
257195140,TOR JONNY,LK 9125,NA,NA,NA,NA
257195420,VIKAJENTA,LM2414,10.0,2.96,72,9
257195620,LISOYSUND,LM2425,10.57,4.05,145,14
257195840,SORVEST,LK8838,10.63,4.1,270,NA
257196240,LILLE BREIVIKBUEN,LK 9192,NA,NA,NA,NA
257196340,POLARLINER F-1-LB,LK9231,10.54,3.34,154,NA
257196500,LOMVI,LF5323,NA,NA,NA,NA
257196540,RYVARDEN,LK9127,12.23,3.95,250,NA
257196640,DANIANA,LF5106,10.65,5.0,250,20
257196940,SIWA,LK9126,12.23,3.96,600,18
257197000,ERLY,LAVH,26.0,7.0,775,173
257197020,HAVBRIS,LM2456,9.25,3.2,72,8
257197320,STRAUMEN,LM2459,9.23,3.12,82,NA
257197340,STILIAN,LK9181,9.78,3.64,85,9
257198000,JOHAN BERG,LLWT,37.57,9.0,1016,148
257198040,SIRIUS II,LK8532,10.38,3.4,310,NA
257198220,TORILL,LM2474,10.42,3.9,185,11
257198340,TRAENAGUTT,LK9262,10.6,3.78,152,NA
257198440,TORSHAV,LF5115,NA,NA,NA,NA
257198540,FUGLOYFISK,LK9268,12.99,4.5,390,NA
257198920,VICKI,LM2485,NA,NA,NA,NA
257199240,HAVBOEN,HAVBOEN,NA,NA,NA,NA
257199600,SOLVAER,LM8695,9.6,3.2,82,8
257199640,OSUND,LM6980,10.62,3.89,156,NA
257199800,KARINE N-99-SO,LM9613,10.66,3.2,660,8
257200220,KRISTINA,LM2509,12.89,3.88,182,40
257200620,VESTFLU,LM2520,10.66,4.05,260,12
257200640,NEMO,LK9455,12.23,3.94,575,12
257200840,FANT,LG4920,9.69,3.1,222,NA
257201020,FISKESKJAER,LM2530,12.08,3.5,131,12
257201040,ERIKSEN SENIOR,LK9329,10.2,4.1,250,NA
257201140,ERLINGSON,3YMO,NA,NA,NA,NA
257201540,ERLEND,LK7119,10.66,3.65,154,12
257201640,BENONI,LM2687,10.64,3.85,158,8
257201720,ASTRID MARIE,LM2539,10.66,3.98,124,12
257201900,SKJERODDEN,LG6679,10.98,4.1,700,NA
257201940,GLIMT,LK9510,10.65,4.54,230,NA
257202120,ORION,LM2549,9.76,3.46,80,9
257202140,FRYDHOLMEN,LK9321,12.99,4.5,390,NA
257202320,NY-ODD,LM2558,10.29,3.29,150,11
257202340,BALDER,LF4058,NA,NA,NA,NA
257202940,AESOYBUEN,LK5937,10.65,3.9,218,12
257203000,GARDAR,LKWZ,71.1,13.0,11000,NA
257203020,HELLEFISK,LM2572,10.59,3.46,112,12
257203640,MONSEGUTT,LK7249,10.53,3.38,154,11
257203900,AMANDA,LG6637,NA,NA,NA,NA
257203940,FLIPPER,LG2236,9.69,3.1,222,9
257204140,KJELL ARNE,LM4019,8.99,2.99,68,5
257204240,SANDFJORD-JENTA,LK9594,12.23,3.96,600,NA
257204640,MONICA,LK9699,9.46,3.34,350,9
257204740,FLIPPER,LK5659,9.6,3.1,200,9
257204840,DONNING,LK2851,10.53,3.88,248,17
257204940,MIDNATSOL,LK9768,14.33,6.4,380,58
257205040,TINGANES,LF4078,10.66,3.7,171,12
257205220,KENT RUNE,LM2629,9.25,3.2,75,9
257205540,SKAGANES,LM6372,9.45,3.06,85,8
257205640,REMI F-40-LB,LK8208,8.23,3.06,220,NA
257205940,FLID,LF4082,10.63,3.1,80,NA
257206040,JUVEL,LF4084,NA,NA,NA,NA
257206540,TUVA,LF9686,NA,NA,NA,NA
257206620,MAYA,LM2657,9.35,2.92,136,5
257207420,JOHAN F,LM2677,11.65,3.8,154,15
257207740,HENRIKSEN JR,LK9706,12.23,3.94,600,14
257207920,EVA MARITA,LM2686,12.98,3.9,220,21
257208120,TEIS,LM2689,10.59,4.21,250,12
257208140,ANDFJELL II,LF4095,NA,NA,NA,NA
257208840,ARCTIC OCEAN,LK977,NA,NA,NA,NA
257209040,THINA-IRENE,LK2662,10.54,3.67,116,12
257209340,UNNI,LM3413,10.55,4.15,95,9
257209440,KIRKOEYBUEN,LM8427,10.61,3.39,152,12
257209500,RINGHORNE,LG6890,NA,NA,NA,NA
257209940,KLOVNESJENTA,LK9824,12.19,3.9,250,NA
