mmsi,shipname,callsign,length,width,power,tonnage
257015640,RYVINGEN,LK 5591,NA,NA,NA,NA
257016140,ARNT EGIL,LK5634,10.66,3.63,230,12
257016340,OEYNES,LHXQ,20.18,5.9,550,69
257016500,UNNUR,LG3862,9.54,2.97,420,8
257017240,UDVAAR II,LHYA,19.68,6.75,720,91
257017440,SOLBJOERN,LK5670,14.32,4.72,250,24
257018000,GOLLENES,LCOH,62.6,12.8,4160,NA
257018040,THORSHAVET,LK5641,14.13,5.18,250,23
257018140,GROENHOLM,LK5613,12.9,3.7,400,21
257018640,JOHN ANDREAS  F-1-TN,LK5682,10.63,3.6,152,10
257018840,BJORN MARTIN,LK5584,10.07,3.37,154,10
257020600,BUGOYFISK,LG4858,10.66,5.03,640,NA
257020740,GEMINI,LK5671,10.66,4.17,160,12
257020840,FROKNA,LK5707,14.99,5.5,311,25
257020940,HIMMELTIND,LM9378,10.65,3.36,131,11
257021140,HAVOERN 1,LF3310,10.65,3.3,135,7
257021440,KARL EMIL,LK5667,9.82,2.98,130,8
257021940,MOSTEIN,LK5352,14.97,5.8,402,25
257022340,M/K HANS GUSTAV,LK5688,NA,NA,NA,NA
257022900,FOERST,LK5601,NA,NA,NA,NA
257023440,KARI ANNE,LK2962,NA,NA,NA,NA
257023540,BROTT,LK8383,10.62,4.0,167,14
257023920,LISO,LF2148,10.6,3.8,117,12
257024540,KVARTNES,LK5749,12.0,3.61,160,18
257024600,RAANES N-80-B,LK9155,12.04,3.95,187,NA
257024900,TRESSNES,LK9331,10.66,4.5,280,NA
257025440,M/S FJORDBUEN,LK5781,12.13,3.95,190,18
257025740,OSTAD SENIOR,LK5051,14.2,3.94,268,23
257026440,NY VIKING,LK5809,14.97,5.0,311,24
257026640,HAVSKOY II,LM 6277,NA,NA,NA,NA
257027000,NORLINER,LG6271,10.95,10.95,700,NA
257027040,MALIN,LG5523,10.25,3.25,135,11
257027140,JENNY,LM 2858,NA,NA,NA,NA
257027940,SVANEN,LK5644,10.63,2.98,300,12
257028500,AUSTNESFJORD,LM8282,10.6,3.2,85,12
257028640,FROEY,LK5888,10.6,3.89,152,12
257029240,HORNSUND,LK2031,14.08,3.98,256,23
257029440,FALCON,LK5889,12.12,3.93,230,18
257029640,HERMANN,LK5883,12.24,4.55,245,19
257029940,ISELIN,LK5806,14.96,4.58,311,25
257030340,BONITO,LK5861,14.73,4.99,490,24
257030500,BREIVIK SR,LG9033,12.98,4.32,300,NA
257030540,ISBJORN,LK5895,10.89,4.25,250,15
257030600,INGVALDSON,LG5614,14.97,4.75,800,25
257030740,FESKARGUTTEN,LK5910,14.96,5.01,350,25
257030940,GRIMSOEYVAERING,LK5875,12.0,3.47,152,12
257031040,KNOTTEN,LK2381,7.76,2.67,51,4
257031340,DANOY,LM2627,8.11,2.75,30,3
257031600,KEVIN,LM7385,9.94,3.25,120,NA
257032140,T.SIVERTSEN,LK5948,12.12,3.93,250,18
257032500,CHRISTINA E,3YVG,80.4,16.8,6120,NA
257032740,NEPTUN,LM8392,9.45,3.2,62,8
257032900,HYAS,LK 2586,NA,NA,NA,NA
257033520,BRITA,LF2288,7.93,2.75,84,4
257033840,HAVOY,LK5995,9.89,3.59,115,10
257034440,SKOGSOEYJENTA,LK5485,12.52,3.73,250,10
257034520,DELFIN,LF2309,NA,NA,NA,NA
257034640,FISKEBOEN,LKXA,NA,NA,NA,NA
257034800,JULIE,LG5657,10.66,3.98,175,NA
257034840,JOHAN MARTIN,LF4232,NA,NA,NA,NA
257034940,BERGEBUEN,LK5943,14.16,4.4,250,24
