mmsi,shiptype,length,tonnage,length_stddev,tonnage_stddev,number_shiptypes
338793000,Purse_seines,63.12,1446.5,0.0,75.36767021930368,1
416002947,Drifting_longlines,29.699999999999996,98.0,0.0,0.0,1
416000961,Drifting_longlines,23.2,61.23,,,1
224654000,Drifting_longlines,40.5,434.2233333333332,0.0,89.71910637220451,1
412371206,Drifting_longlines,43.199999999999996,560.0,0.0,0.0,1
228878000,Purse_seines,40.8,279.0,0.9621404708847295,0.0,1
367528590,Trollers,12.8,4.0,,,1
247146320,Drifting_longlines,20.1,31.0,,,1
416233900,Drifting_longlines,23.92,98.16,,,1
636017010,Reefer,145.55,6579.0,0.0,0.0,1
576277000,Reefer|Drifting_longlines,95.92000000000004,2781.0,0.0,0.0,2
273527800,Trawlers,120.47,,,,1
224016530,Drifting_longlines,27.299999999999994,170.8366666666667,0.0,0.23538838609348237,1
224782000,Purse_seines,105.0,3026.0575000000003,0.0,562.3531872578367,1
416002553,Drifting_longlines,24.7,63.01,,,1
548906000,Reefer,133.95,6964.0,,,1
228168000,Purse_seines,78.32999999999998,1584.9433333333336,0.0,219.13697976379981,1
235051173,Trawlers,31.65,268.0,,,1
520189000,Drifting_longlines,27.5,114.0,,,1
650175000,Drifting_longlines,23.3,178.0,,,1
225325000,Drifting_longlines,29.747500000000002,281.34749999999997,4.805157942996553,39.7721417218492,1
416002287,Drifting_longlines,24.51,65.32,,,1
224212280,Drifting_longlines,21.0,68.75,,,1
431801000,Pole_and_line,56.199999999999996,499.0,0.0,0.0,1
416002615,Drifting_longlines,27.0,77.45,,,1
224069840,Pole_and_line,32.0,161.0,,,1
416002141,Drifting_longlines,22.08,45.0,,,1
224054360,Purse_seines|Unknown,36.0,314.0,0.0,0.0,2
416002568,Drifting_longlines,26.0,79.89,,,1
224745000,Purse_seines,54.5,857.52,0.0,118.86633113259231,1
224135000,Drifting_longlines,31.85000000000001,218.0,2.9104275004359965,69.8502600104639,1
224000220,Unknown,32.6,329.0,,,1
224022590,Purse_seines,20.5,35.41,,,1
250000897,Trawlers,22.0,174.0,,,1
416001421,Drifting_longlines,21.66,41.34,,,1
224940000,Unknown,22.0,129.42,,,1
238880340,Purse_seines,39.95,328.0,,,1
356567000,Reefer|Unknown,7289.17,12413.0,8250.139047628227,0.0,2
367150450,Recreational_fishing,25.72,81.0,,,1
416853000,Purse_seines,78.25,1735.0,,,1
247084670,Trawlers,26.92,95.0,,,1
412326894,Drifting_longlines,35.5,255.0,,,1
412460299,Drifting_longlines,49.98999999999991,514.0,0.0,105.73685114538281,1
224080370,Drifting_longlines,22.0,108.8,0.0,0.21380899352994215,1
227579000,Set_gillnets,31.85,159.59,,,1
440733000,Drifting_longlines,47.21000000000003,434.0,0.0,87.28715609439695,1
416211800,Drifting_longlines,26.44,79.81,,,1
529052000,Reefer,99.59,3493.0,,,1
538003209,Bunker|Reefer|Unknown,105.48333333333333,3798.0,0.05270462766947293,0.0,3
247075010,Trawlers,29.3,168.0,,,1
224580000,Purse_seines,52.29999999999997,842.3499999999999,0.0,100.3763332127189,1
367456560,Recreational_fishing,29.0,146.0,,,1
538005147,Bunker,95.23,4640.0,,,1
416004427,Drifting_longlines,23.95,99.76,,,1
357642000,Reefer,125.67,5323.0,,,1
512004025,Recreational_fishing,20.52,89.37,,,1
224070490,Unknown,21.6,56.74,,,1
244542000,Reefer,113.80666666666667,4638.666666666667,14.861176058648715,921.8577814558867,1
224068980,Drifting_longlines,28.0,186.07666666666668,0.0,0.11156638751670889,1
553111751,Purse_seines,65.445,1060.0,4.624575656208905,0.0,1
368578000,Trollers,26.54,113.0,,,1
416221800,Drifting_longlines,29.4,99.0,,,1
416002092,Drifting_longlines,22.97,70.7,,,1
440731000,Drifting_longlines,47.21000000000003,429.75,0.0,86.85072031392497,1
224088000,Purse_seines,116.0,3803.3999999999996,0.0,644.2064975057076,1
218066000,Trawlers,140.79999999999998,9082.0,0.0,0.0,1
416001327,Drifting_longlines,20.8,33.78,,,1
224623000,Drifting_longlines,55.0,895.0866666666667,0.0,232.83234773191333,1
367364340,Trollers,23.985000000000003,132.5,0.00534522483824784,6.948792289723032,1
227321170,Trawlers,22.56,61.0,,,1
412209234,Drifting_longlines,33.9,271.0,,,1
224004750,Trawlers,29.99,230.0,,,1
247101120,Trawlers,28.05,106.0,,,1
250126460,Trawlers,25.22,159.0,,,1
224023970,Unknown,24.5,63.19,,,1
432861000,Research|Drifting_longlines,51.379999999999995,450.0,4.133827927397722,0.0,2
256000684,Unknown,23.4,145.0,0.0,0.0,1
227317720,Trawlers,24.95,92.0,,,1
416002859,Drifting_longlines,28.199999999999996,97.82999999999998,0.0,0.18173764450045124,1
371210000,Reefer,144.35,12383.0,,,1
247305830,Trawlers,24.0,72.0,,,1
224026860,Trawlers,25.5,180.95,,,1
367025330,Recreational_fishing,22.6,3.0,,,1
441201732,Drifting_longlines,25.8,157.0,,,1
553111698,Purse_seines,71.79,1349.0,,,1
601272000,Pole_and_line,22.62,116.2,,,1
432256000,Pole_and_line,31.0,119.0,,,1
247140240,Purse_seines,21.93,61.0,,,1
312864000,Purse_seines,79.0,2028.5,0.0,92.9533933395298,1
227897000,Trawlers,20.6,112.0,,,1
247051860,Trawlers,25.5,105.0,,,1
227834000,Drifting_longlines,22.4,148.09,,,1
247068110,Trawlers,22.34,67.0,,,1
306034000,Purse_seines,101.00142857142855,2975.474285714287,7.7799999999999985,1898.698503010242,1
664078000,Unknown,46.3,482.0,,,1
225309000,Purse_seines,89.7,3671.0,,,1
441226315,Drifting_longlines,22.85,119.0,,,1
440167000,Purse_seines,79.6,1013.0,,,1
338172317,Unknown,12.8,24.0,,,1
412320023,Drifting_longlines,33.76,199.0,,,1
247120760,Trawlers,30.16,142.0,,,1
416193900,Drifting_longlines,27.3,79.45,,,1
247101340,Purse_seines,21.39,77.0,,,1
227311010,Trawlers,24.9,158.0,,,1
247143620,Unknown,27.43,114.0,0.0,0.0,1
224096770,Unknown,26.5,114.23,,,1
367457870,Purse_seines,23.77,103.0,,,1
345080900,Purse_seines,79.05,2042.0,,,1
412691540,Drifting_longlines,24.75,157.0,,,1
316003459,Trawlers,29.34,356.66,,,1
576765000,Drifting_longlines,23.8,93.18,,,1
416201800,Drifting_longlines,21.5,47.03,,,1
312422000,Drifting_longlines,28.9,125.0,,,1
367192880,Handliners,24.32,85.0,,,1
416099800,Drifting_longlines,56.96000000000002,707.0,0.0,0.0,1
412200079,Drifting_longlines,49.19999999999993,588.0,0.0,105.5852415976932,1
416303000,Drifting_longlines,57.77999999999999,720.0,0.0,0.0,1
441070000,Drifting_longlines,46.91,385.0,0.0,0.0,1
256000534,Drifting_longlines,20.26,52.0,,,1
247121290,Purse_seines,22.06,48.0,,,1
227318610,Trawlers,24.9,84.0,,,1
431782000,Drifting_longlines,49.30000000000011,435.8,0.0,81.9283715480549,1
238337540,Unknown,32.79,309.0,,,1
224047990,Drifting_longlines,29.9,247.89799999999977,3.815291812286869,82.43483995683911,1
332154000,Purse_seines,79.8,2109.0,0.0,0.0,1
416002527,Drifting_longlines,29.88,99.0,0.0,0.0,1
642525312,Purse_seines,24.2,128.8,,,1
416208900,Drifting_longlines,29.2,98.0,0.0,0.0,1
416004329,Drifting_longlines,23.8,74.82,,,1
440552000,Purse_seines,65.58750000000006,1145.75,3.0702791686145336,353.4225906178822,1
431612000,Pole_and_line,32.199999999999996,122.0,0.0,0.0,1
440751000,Drifting_longlines,54.53000000000002,462.5,2.688444407707427,91.6515138991168,1
247082320,Drifting_longlines,24.62,106.0,,,1
416002904,Drifting_longlines,26.800000000000004,86.9,0.0,0.10690449676497042,1
249000934,Unknown,20.0,61.0,,,1
412270001,Drifting_longlines,49.200000000000024,556.0,0.0,93.67342033586344,1
503042740,Drifting_longlines,22.89999999999999,96.66666666666667,0.0,24.019223070763065,1
412270059,Drifting_longlines,50.0,647.0,0.0,0.0,1
432515000,Drifting_longlines,51.399999999999906,534.4,0.0,105.24280681878822,1
271072538,Purse_seines,24.05,36.89,,,1
224223470,Unknown,10.35,5.23,,,1
224587000,Purse_seines,77.29999999999998,1954.8766666666666,0.0,312.9080266320588,1
416002997,Drifting_longlines,18.55,29.84,,,1
416055600,Drifting_longlines,56.0,496.0,,,1
224116380,Drifting_longlines,25.700000000000006,152.0,0.0,0.0,1
367534310,Pole_and_line,24.715,137.5,0.00534522483824784,6.948792289723032,1
224091680,Trawlers,27.0,205.94,,,1
540005000,Drifting_longlines,29.0,136.0,,,1
235000097,Trawlers,27.47,,,,1
250242000,Trawlers,33.29,320.0,,,1
412420812,Drifting_longlines,44.19,473.0,0.0,0.0,1
416002896,Drifting_longlines,26.099999999999998,79.075,0.0,0.08017837257373099,1
431701650,Drifting_longlines,49.32000000000001,451.0,0.0,84.42317648177385,1
627691000,Pole_and_line,47.25,417.0,,,1
775993050,Pole_and_line,32.13,198.36,,,1
367485730,Pole_and_line,21.58,121.0,,,1
416248700,Purse_seines,71.79,1428.0,,,1
356065000,Reefer,86.7125,2592.25,2.3038008622054167,6.5465367070797695,1
353981000,Reefer,143.29999999999998,9997.0,0.0,0.0,1
247094940,Purse_seines,26.7,71.0,,,1
367463000,Purse_seines,63.11000000000001,1446.5,0.01069044967649568,75.36767021930368,1
224176380,Pole_and_line,26.73,145.0,,,1
366355000,Pole_and_line|Trollers,20.845,109.0,0.00577350269189716,36.95041722813605,2
440617000,Drifting_longlines,49.46999999999994,427.0,0.0,0.0,1
512134000,Drifting_longlines,23.9,165.0,,,1
636016998,Reefer,119.55000000000005,5617.0,0.0,0.0,1
224004950,Trawlers,29.99,230.0,,,1
256000655,Unknown,27.975,210.03999999999996,4.763139720814412,80.87522570808277,1
224057890,Purse_seines,22.58,65.07,,,1
247068130,Purse_seines,22.26,53.0,,,1
416000625,Drifting_longlines,18.2,30.18,,,1
412460282,Drifting_longlines,38.85,302.0,0.0,0.0,1
224049160,Trawlers,31.35,256.0,,,1
365878412,Purse_seines,74.35499999999999,2019.0,1.033456981849435,0.0,1
228221000,Trawlers|Drifting_longlines,26.09,171.0,0.0,0.0,2
367162190,Trollers,26.15,211.0,,,1
263407690,Drifting_longlines,29.0,234.0,0.0,81.0,1
224069690,Drifting_longlines|Unknown,34.2,297.6666666666667,0.0,68.46245188005028,2
416002445,Drifting_longlines,26.0,74.58,,,1
412691550,Drifting_longlines,24.75,157.0,,,1
540004200,Drifting_longlines,21.0,97.0,,,1
564266000,Bunker,102.7,4568.0,,,1
355636000,Unknown,62.60000000000001,1267.0,0.0,0.0,1
367009780,Recreational_fishing,13.1,24.0,,,1
627640000,Purse_seines,80.47,500.0,,,1
413300480,Drifting_longlines,47.29999999999998,573.0,0.0,0.0,1
247146020,Drifting_longlines,26.31,98.0,,,1
303324000,Trollers|Unknown,22.49,128.0,0.0,6.928203230275509,2
359004000,Purse_seines,82.82,2157.0,0.014411533842456145,0.0,1
367020280,Trollers,14.11,28.5,0.0,1.6035674514745464,1
416004797,Drifting_longlines,22.9,54.47,,,1
416223800,Reefer|Drifting_longlines,34.0,160.0,0.0,0.0,2
416001446,Drifting_longlines,22.63,62.21,,,1
224106260,Purse_seines,30.4,287.0,,,1
367300490,Drifting_longlines,19.15,95.0,,,1
247122640,Drifting_longlines,21.0,74.0,,,1
432412000,Research,36.5,199.0,,,1
354136000,Bunker,97.7,4007.0,,,1
204838000,Pole_and_line,28.1,134.0,,,1
228301600,Trawlers,27.85,326.0,,,1
617073000,Drifting_longlines,35.0,249.0,,,1
510035000,Drifting_longlines,26.82,139.0,,,1
224064450,Unknown,24.94,71.06,,,1
224067690,Trawlers,27.6,206.01,,,1
247142480,Unknown,28.3,172.0,,,1
316003957,Unknown|Trollers,12.985,51.79,0.021213203435595972,0.0,2
441201729,Drifting_longlines,25.8,157.0,,,1
416003643,Drifting_longlines,18.01,27.58,,,1
367300570,Trollers,22.615000000000002,125.0,0.00577350269189716,6.928203230275509,1
367440980,Unknown,15.2,40.0,,,1
204212000,Set_gillnets|Drifting_longlines,34.5,273.0,0.0,0.0,2
354716000,Reefer,124.7,4936.0,,,1
237312000,Trawlers,24.88,61.91,,,1
601705000,Drifting_longlines,43.300000000000004,293.8,0.0,0.21380899352992824,1
247149950,Drifting_longlines,22.02,90.0,,,1
367147830,Trollers,20.4,36.0,,,1
224268000,Drifting_longlines,30.0,281.0,,,1
224093760,Unknown,21.26,69.0,,,1
416000761,Drifting_longlines,21.4,49.26,,,1
247091080,Trawlers,23.01,94.0,,,1
224096320,Unknown,23.78,112.48,,,1
529766000,Bunker,96.98,3183.0,,,1
441630000,Bunker,104.54,3293.0,,,1
416003933,Drifting_longlines,21.1,49.06,,,1
367658420,Recreational_fishing,22.6,85.0,,,1
529105000,Reefer,99.58,3505.0,,,1
416002348,Drifting_longlines,23.65,77.85,,,1
247145290,Drifting_longlines,21.7,50.0,,,1
224241000,Drifting_longlines,26.399999999999995,181.0,0.0,0.0,1
250106800,Trawlers,27.0,252.0,,,1
271072027,Unknown,33.0,182.0,,,1
366749490,Recreational_fishing,29.32,90.0,,,1
273526700,Trawlers,120.47,,,,1
224013090,Trawlers,30.7,286.0,,,1
540003000,Drifting_longlines,29.18,136.23,,,1
232005700,Set_gillnets,26.22,,,,1
567025800,Drifting_longlines,53.57,434.0,,,1
371996000,Unknown,30.35,193.0,,,1
224597000,Drifting_longlines,25.200000000000003,164.0,0.0,0.0,1
440612000,Drifting_longlines,48.28000000000005,401.0,0.0,0.0,1
224017000,Drifting_longlines,43.5,465.5279999999999,0.0,172.73468775795646,1
224043560,Drifting_longlines,29.299999999999986,259.0,0.0,0.0,1
440920000,Drifting_longlines,46.90999999999992,422.8,0.0,79.92032322579864,1
357805000,Reefer,141.99,12383.0,0.0,0.0,1
316006888,Trollers|Unknown,14.32,22.48,0.0,13.255962180593807,2
247054650,Purse_seines,22.93,95.0,,,1
538002960,Reefer,95.94999999999989,2782.0,0.0,0.0,1
440987000,Drifting_longlines,47.21000000000003,429.75,0.0,86.85072031392498,1
413692650,Reefer,77.02,1593.0,0.0,0.0,1
237151000,Purse_seines,28.45,74.83,,,1
431200730,Drifting_longlines,49.89999999999992,451.0,0.0,84.33802953476241,1
416379000,Drifting_longlines,55.9,531.0,0.0,0.0,1
432776000,Drifting_longlines,29.8,119.0,,,1
440549000,Drifting_longlines,49.46999999999994,427.0,0.0,0.0,1
312844000,Reefer,138.9,6545.0,0.0,0.0,1
224142580,Purse_seines,22.0,47.45,,,1
431316000,Drifting_longlines,52.6000000000001,547.4,0.0,97.18953879720237,1
412370007,Drifting_longlines,49.950000000000024,520.5,0.0,113.66844825646322,1
412331031,Drifting_longlines,51.199999999999996,698.0,0.0,0.0,1
224128650,Unknown,23.0,106.0,,,1
224926000,Trawlers,29.62,251.0,,,1
209232000,Drifting_longlines,25.4,82.0,,,1
412200115,Drifting_longlines,37.25,242.0,,,1
416000222,Drifting_longlines,20.3,40.69,,,1
250000527,Trawlers,26.52,276.0,,,1
432402000,Drifting_longlines,49.979999999999855,418.6,0.0,79.5187135613474,1
529770000,Bunker,102.39,4626.0,,,1
440963000,Drifting_longlines,49.68500000000002,476.75,0.13093073414159476,93.83369280147673,1
441853000,Purse_seines,75.16,1594.5,4.703797857658667,620.5806037206494,1
416002655,Drifting_longlines,27.16,79.08,,,1
416001344,Drifting_longlines,27.08,98.99,,,1
