mmsi,clav_TUVI,rfmo_id,length,tonnage,power
224578000,1367,12492,29.79,238.0,600.0
432045000,624,4195,52.6,499.0,NA
431200970,814,13594,56.87,499.0,NA
412420891,24849,15591,41.0,462.0,1e3
432936000,609,4597,50.59,436.0,999.0
224176370,8158,14947,24.7,151.0,271.0
431702580,1141,4161,48.4,391.0,NA
529382000,35630,16004,120.2,4574.0,5602.0
366020000,14455,14605,70.59,1376.0,NA
412691310,1412,11991,48.6,523.0,1029.0
416002768,15005,15264,27.2,80.0,829.0
224020890,8013,14923,30.0,239.0,419.0
431769000,816,13592,53.35,495.0,NA
416001661,13899,12480,25.25,95.0,750.0
412420596,21353,14719,40.67,345.0,936.0
412371207,38369,15995,43.2,560.0,913.0
431116000,1228,4933,49.2,379.0,999.0
224045260,7952,8771,27.0,99.0,NA
224385000,8043,8847,34.2,193.0,NA
369519000,5901,9887,20.63,57.0,365.0
338060008,587,7387,23.92,145.0,700.0
440952000,282,8203,49.91,417.0,1200.0
440966000,202,8127,49.91,416.0,1200.0
431424000,1196,4153,52.76,498.0,NA
412270059,1453,7135,50.0,647.0,1029.0
431154000,396,4925,49.2,437.0,986.0
432408000,591,9197,49.99,439.0,NA
416602000,24162,14648,76.8,1095.0,NA
416171700,463,8747,59.2,635.0,1600.0
432228000,611,9189,49.3,399.0,NA
416003189,15707,14696,29.2,98.0,1e3
416123900,476,8751,55.75,568.0,1400.0
440620000,273,8165,49.91,408.0,1200.0
312982000,26688,14959,109.7,5537.0,3345.0
440522000,940,8367,49.47,427.0,1200.0
416002642,14300,12478,26.8,87.0,545.0
576397000,38103,13646,93.78,2600.0,NA
432987000,24863,15608,49.65,439.0,NA
369354000,3764,12988,15.69,33.0,526.0
416003741,1164,13620,34.0,184.0,1032.0
431263000,38579,16002,104.2,4865.0,NA
224415000,729,5663,43.5,620.0,676.0
431700260,1129,4407,49.99,410.0,520.0
636016700,16272,15976,115.0,5136.0,6800.0
440236000,264,8167,49.91,408.0,1200.0
416004583,36156,15970,23.9,100.0,940.0
431444000,1326,4541,54.8,499.0,NA
224047990,26,6357,28.0,237.0,474.0
775602000,4723,3403,64.72,1356.0,3600.0
367721000,1081,11035,23.77,89.0,800.0
224100530,8212,14917,25.5,158.0,456.0
432453000,546,4803,52.19,489.0,NA
224020170,1,8801,25.05,76.0,NA
413201090,1791,13566,47.99,577.0,1e3
367778000,25422,2662,20.11,99.0,400.0
529089000,26687,14954,95.2,2495.0,3300.0
224094520,1211,8903,26.3,209.0,624.0
224103000,2046,12433,NA,NA,NA
367561420,26546,15903,31.45,177.0,958.0
416002948,156,14632,26.1,80.0,829.0
357788000,24156,15914,78.72,1890.0,NA
440220000,23992,13641,94.0,2604.0,NA
224069690,8137,8897,34.2,205.0,NA
431200880,917,13595,53.34,499.0,NA
416768000,2861,14641,51.85,491.0,1100.0
664589000,1514,13757,44.5,393.0,NA
432515000,349,4383,51.4,498.0,1e3
316006888,21293,14857,14.32,11.0,90.0
312028000,10022,128,25.52,99.0,NA
431382000,639,4197,52.6,499.0,NA
577132000,24164,15247,134.15,6558.0,6187.0
432288000,15588,12063,51.19,499.0,NA
440820000,420,8425,47.21,385.0,1e3
416171600,464,8745,59.2,635.0,1600.0
431710000,15070,12081,41.2,299.0,NA
576634000,331,5723,46.5,499.0,1200.0
416002135,14209,6575,27.0,80.0,NA
431802000,1149,5523,49.39,379.0,NA
441910000,12974,14655,49.0,603.0,NA
576414000,26935,13647,94.65,3496.0,4e3
367440980,24567,15174,15.2,40.0,350.0
416053500,683,8603,55.9,496.0,1200.0
432276000,38408,4191,51.4,499.0,999.0
367366210,1002,2827,20.78,105.0,500.0
224918000,742,8825,43.0,627.0,999.0
412371206,38368,15994,43.2,560.0,913.0
412420915,24897,15640,41.0,461.0,1e3
