mmsi,year,month,vesselType
431200880,2015,4,"Handline and pole-lines (mechanized),Handline and pole-lines (hand operated)"
247306030,2015,6,LTL
247051830,2015,1,Bottom trawls
219005837,2015,1,GNS
224581000,2015,12,"Drifting longlines,Longlines (not specified),Handline and pole-lines (hand operated),Drifting longlines"
431700830,2015,12,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
345080022,2015,1,Purse seines
239139000,2015,3,PS
224103220,2015,2,PS
416032700,2015,6,"Longlines (not specified),Longlines (not specified),Longlines (not specified)"
645379000,2015,2,Purse seines
275141000,2015,2,OTM
247144080,2015,7,Longlines (not specified)
416853000,2015,12,Purse seines
244759000,2015,1,TBB
205307000,2015,5,GNS
224122000,2015,12,Drifting longliner
224071000,2015,1,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
224053650,2015,12,Drifting longliner
416002304,2015,4,Longlines (not specified)
553111754,2015,12,Purse seines
238288740,2015,2,PS
529695000,2015,12,Gear not known or not specified
432388000,2015,6,Gear not known or not specified
249000980,2015,8,Longlines (not specified)
230034210,2015,1,OTM
239329000,2015,9,Drifting longliner
645379000,2015,1,Purse seines
512236000,2015,3,Other trawls (not specified)
441650000,2015,1,"Longlines (not specified),Gear not known or not specified,Drifting longlines,Longlines (not specified),Drifting longlines"
224103760,2015,5,Handline and pole-lines (hand operated)
316002956,2015,3,Hooks and lines (not specified)
601425000,2015,1,"Miscellaneous gears,Longlines (not specified),Drifting longlines"
367157650,2015,8,Trolling lines
235105524,2015,4,FPO
540002300,2015,9,Longlines (not specified)
224371000,2015,1,Drifting longliner
228367000,2015,1,Gear not known or not specified
224112790,2015,4,GNS
416773000,2015,1,"Longlines (not specified),Longlines (not specified),Longlines (not specified)"
247152310,2015,12,Longlines (not specified)
540002200,2015,1,Longlines (not specified)
224597000,2015,9,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
224353650,2015,1,PS
219016004,2015,4,GNS
432525000,2015,7,Handline and pole-lines (hand operated)
247141390,2015,5,Purse seines
247131490,2015,8,PS
275461000,2015,2,FPO
256000527,2015,7,Gear not known or not specified
431038000,2015,12,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
416171600,2015,9,"Longlines (not specified),Longlines (not specified)"
224038000,2015,12,Set longliner
576093000,2015,12,Longlines (not specified)
204209570,2015,4,LHP
245553000,2015,12,GNS
224597000,2015,12,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
245553000,2015,1,GNS
224088000,2015,11,"Purse seines,Gear not known or not specified"
207426000,2015,10,OTM
224053650,2015,1,Drifting longliner
235000640,2015,11,FPO
228367000,2015,12,Gear not known or not specified
224472000,2015,12,"Drifting longlines,Longlines (not specified),Handline and pole-lines (hand operated),Drifting longlines,Gear not known or not specified"
224017460,2015,3,Purse seines
204848000,2015,3,FPO
416002304,2015,12,Longlines (not specified)
224071000,2015,7,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
224208650,2015,1,Bottom trawls
245744000,2015,1,TBB
247143860,2015,1,Bottom trawls
553111754,2015,7,Purse seines
432228000,2015,2,"Longlines (not specified),Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
576093000,2015,6,Longlines (not specified)
247220620,2015,4,PS
224064850,2015,4,Handline and pole-lines (hand operated)
601111600,2015,3,"Longlines (not specified),Miscellaneous gears,Drifting longlines"
416002116,2015,12,"Drifting longlines,Longlines (not specified)"
416000784,2015,4,Gear not known or not specified
431038000,2015,1,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
204225000,2015,1,Longlines (not specified)
432525000,2015,2,Handline and pole-lines (hand operated)
207343400,2015,6,Set longliner
247146610,2015,9,Bottom trawls
248000280,2015,8,Gear not known or not specified
263401590,2015,3,GNS
224038000,2015,6,Set longliner
432984000,2015,3,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
235003355,2015,12,FPO
250140400,2015,2,LHP
412691540,2015,8,Drifting longlines
247142520,2015,6,Set longliner
431700830,2015,1,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
224074730,2015,6,Set longliner
247142520,2015,8,Set longliner
367157650,2015,9,Trolling lines
412460283,2015,12,Longlines (not specified)
265629560,2015,8,LTL
224004420,2015,1,Purse seines
265612260,2015,4,FPO
431700190,2015,4,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
247140580,2015,1,PS
224103220,2015,4,PS
224022490,2015,1,PS
247086590,2015,5,Longlines (not specified)
247144080,2015,6,Longlines (not specified)
224064850,2015,5,Handline and pole-lines (hand operated)
245655000,2015,1,TBB
224020790,2015,1,"Handline and pole-lines (hand operated),Drifting longlines"
237963000,2015,3,PS
774559424,2015,1,"Purse seines,Purse seines"
275226000,2015,1,OTM
412691540,2015,12,Drifting longlines
247086590,2015,1,Longlines (not specified)
266358000,2015,5,GNS
