mmsi,newlabel,link,primary geartyp,secondary geartype,Vaida's Best Guess,David's Best Guess,Kristina's Best Guess
204206740,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10137,Pole and line,Drifting longlines,pole and line,Pole and line,
204206740,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10203,Pole and line,Drifting longlines,pole and line,Pole and line,
204209570,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9871,Pole and line,Fishing vessel,pole and line,Pole and line,
204209570,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10144,Pole and line,Fishing vessel,pole and line,Pole and line,
204209890,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10009,Set longlines,Pole and line,pole and line,Pole and line,
204209890,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10161,Set longlines,Pole and line,pole and line,Pole and line,
204212000,Drifting longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10031,Drifting longlines,Set longlines,drifting longlines,Drifting longlines??,
204212000,Drifting longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10191,Drifting longlines,Set longlines,drifting longlines,Drifting longlines??,
204225000,Set longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9897,Set longlines,Drifting longlines,set longlines,Set longlines,
204225000,Set longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9959,Set longlines,Drifting longlines,set longlines,Set longlines,
204248000,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9999,Purse seines,Set gillnets,purse seines,Purse seines,
204248000,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10053,Purse seines,Set gillnets,purse seines,Purse seines,
204285000,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9968,Pole and line,Set longlines,pole and line,Pole and line,
204285000,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10243,Pole and line,Set longlines,pole and line,Pole and line,
204848000,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9882,Pots and traps,Set longlines,pole and line,Pots and traps,
204848000,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10017,Pots and traps,Set longlines,pots and traps,Pots and traps,
207343400,Set longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9899,Set longlines,Trawlers,set longlines,Set longlines,
207343400,Set longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10071,Set longlines,Trawlers,set longlines,Set longlines,
207421000,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10093,Trawlers,Pole and line,pole and line,Trawlers,
207421000,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10180,Trawlers,Pole and line,trawlers,Trawlers,
207426000,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9876,Trawlers,Drifting longlines,trawlers,Trawlers,
207426000,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10228,Trawlers,Drifting longlines,trawlers,Trawlers,
219001703,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9997,Set gillnets,Trawlers,trawlers,Troller???,
224038000,Set longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9869,Set longlines,Set gillnets,,?,
224038000,Set longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9903,Set longlines,Set gillnets,,?,
224082580,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9988,Set longlines,Pots and traps,pots and traps,Pots and traps,
224082580,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9990,Set longlines,Pots and traps,pots and traps,Pots and traps,
225382000,Set gillnets,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10056,Set longlines,Set gillnets,,? Set gillnets,
225382000,Set gillnets,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10225,Set longlines,Set gillnets,,? Set gillnets,
227132100,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10013,Pole and line,Set longlines,pole and line,Pole and line,
227132100,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10162,Pole and line,Set longlines,pole and line,Pole and line,
227142200,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10091,Purse seines,Trollers,purse seines,Purse seines,
227142200,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10155,Purse seines,Trollers,purse seines,Purse seines,
227145800,IGNORE,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9991,Set gillnets,Set longlines,,IGNORE,
227316570,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10192,Pots and traps,Set gillnets,,Pots and traps,
227316570,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10230,Pots and traps,Set gillnets,,Pots and traps,
227581550,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9986,Pots and traps,Set gillnets,,Pots and traps?,
227581550,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10014,Pots and traps,Set gillnets,,Pots and traps?,
227883000,Set gillnets,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9933,Set gillnets,Set longlines,,Set gillnets,
227883000,Set gillnets,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10060,Set gillnets,Set longlines,,Set gillnets,
235097217,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10040,Pots and traps,Set gillnets,,Pots and traps,
235097217,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10248,Pots and traps,Set gillnets,,Pots and traps,
238361240,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10084,Purse seines,Trawlers,,Purse seines,
238361240,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10146,Purse seines,Trawlers,,Purse seines,
238561110,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10186,Purse seines,Trawlers,,Purse seines,
238561110,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10245,Purse seines,Trawlers,,Purse seines,
238613210,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10210,Purse seines,Trawlers,,Purse seines,
238613210,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10211,Purse seines,Trawlers,,Purse seines,
239329000,IGNORE,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9843,Drifting longlines,Pots and traps,,IGNORE,
239329000,IGNORE,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10159,Drifting longlines,Pots and traps,,IGNORE,
245553000,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9872,Set gillnets,Trawlers,,Trawlers,
245553000,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9874,Set gillnets,Trawlers,,Trawlers,
247068110,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9943,Trawlers,Set gillnets,,Trawlers,
247068110,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9962,Trawlers,Set gillnets,,Trawlers,
247083390,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9972,Trawlers,Purse seines,,Trawlers,
247083390,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10121,Trawlers,Purse seines,,Trawlers,
247086590,IGNORE,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9921,Trawlers,Set longlines,,BOTH?,
247086590,IGNORE,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9930,Trawlers,Set longlines,,BOTH?,
247100480,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9953,Trawlers,Set gillnets,,Trawlers,
247100480,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10030,Trawlers,Set gillnets,,Trawlers,
247131490,Set longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9864,Purse seines,Set longlines,,Set longlines,
247131490,Set longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9998,Purse seines,Set longlines,,Set longlines,
247140580,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9918,Purse seines,Set longlines,,Purse seines,
247140580,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9987,Purse seines,Set longlines,,Purse seines,
247141390,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9863,Trawlers,Purse seines,,Trawlers,
247141390,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10029,Trawlers,Purse seines,,Trawlers,
247142520,Set longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9908,Set longlines,Fishing vessel,,Set longlines,
247142520,Set longlines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9911,Set longlines,Fishing vessel,,Set longlines,
247142730,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9958,Trawlers,Set longlines,,Trawlers,
247142730,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10034,Trawlers,Set longlines,,Trawlers,
247144080,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9829,Trawlers,Set longlines,,Trawlers,
247144080,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9922,Trawlers,Set longlines,,Trawlers,
247144270,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10096,Purse seines,Set longlines,,Purse seines,
247144270,Purse seines,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10169,Purse seines,Set longlines,,Purse seines,
247150040,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10165,Trawlers,Set longlines,,Trawlers,
247150040,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10237,Trawlers,Set longlines,,Trawlers,
247151110,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9989,Trawlers,Set longlines,,Trawlers,
247151110,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10208,Trawlers,Set longlines,,Trawlers,
247152310,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9857,Trawlers,Set longlines,,Trawlers,
247152310,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10184,Trawlers,Set longlines,,Trawlers,
247300180,Set gillnets,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9949,Set longlines,Set gillnets,,Fixed gear?,
247300180,Set gillnets,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10181,Set longlines,Set gillnets,,Fixed gear?,
250000608,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10130,Set gillnets,Trawlers,,Trawlers,
250000608,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10148,Set gillnets,Trawlers,,Trawlers,
250140400,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9906,Pole and line,Trawlers,,Trawlers,
250140400,Trawlers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10028,Pole and line,Trawlers,,Trawlers,
255402650,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10062,Pole and line,Set longlines,,Pole and line,
255402650,Pole and line,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10124,Pole and line,Set longlines,,Pole and line,
265629560,Trollers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9914,Trollers,Fishing vessel,,? Trollers,
265629560,Trollers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10175,Trollers,Fishing vessel,,? Trollers,
265661180,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10050,Trollers,Pots and traps,,? Pots and traps?,
265661180,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10140,Trollers,Pots and traps,,?,
265704020,Trollers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9954,Trollers,Fishing vessel,,Trollers,
265704020,Trollers,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9974,Trollers,Fishing vessel,,Trollers,
265752900,IGNORE,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10209,Pots and traps,Fishing vessel,,?,
275455000,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9995,Pots and traps,Unknown gear,,Pots and traps,
275455000,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9996,Pots and traps,Unknown gear,,Pots and traps,
275461000,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/9865,Pots and traps,Unknown gear,,Pots and traps,
275461000,Pots and traps,http://crowd.globalfishingwatch.org/project/id_fishing_points_3/task/10136,Pots and traps,Unknown gear,,Pots and traps,
