,lat_bin,lon_bin,f0_
237,14,-26,334.435138889
238,-20,117,1167.76888889
239,-23,50,1303.56875
240,62,-52,3699.52736111
241,-28,96,3.07708333333
242,64,-14,33561.4576389
243,-25,-19,1.89791666667
244,-19,60,1840.70819444
245,25,-16,6550.75930556
246,-5,-179,4082.6825
247,-11,-144,1000.36069444
248,-13,-112,796.4325
249,-6,65,745.667916667
250,37,134,48.8501388889
251,70,28,4287.02611111
252,-39,172,588.156527778
253,36,14,38589.8434722
254,52,-6,2296.06055556
255,-20,-115,300.287638889
256,5,157,489.683472222
257,-17,41,58.5736111111
258,-77,-173,1.59041666667
259,-63,-60,885.843194444
260,37,15,2725.95402778
261,-30,154,265.648194444
262,48,155,3063.39263889
263,-5,56,186.324444444
264,-35,171,788.367638889
265,30,-161,637.919305556
266,12,-30,469.540138889
267,-36,136,194.882222222
268,-6,-149,195.435416667
269,56,-10,2925.78222222
270,-21,118,49.8347222222
271,32,-51,30.8070833333
272,-41,-161,34.69125
273,38,142,6724.74
274,15,-28,669.910972222
275,-11,-118,500.315833333
276,-42,-48,137.463194444
277,9,149,186.587361111
278,-6,-169,275.305138889
279,20,-144,54.0125
280,18,-95,89.2154166667
281,29,-116,112.790972222
282,-29,-76,4599.00111111
283,9,-96,55.9443055556
284,-26,101,29.8559722222
285,-47,-64,8592.65777778
286,32,-176,545.050277778
287,-46,49,803.600277778
288,-13,-22,62.1558333333
289,4,-139,581.600416667
290,7,99,9.70708333333
291,0,-173,177.227638889
292,14,149,504.322638889
293,2,-4,117.251388889
294,28,-30,3.41277777778
295,-18,-77,31.4390277778
296,-33,79,36.4125
297,-39,145,35.0286111111
298,-41,-62,116.272222222
299,-3,157,1080.36972222
300,47,-11,279.7825
301,24,-77,95.1647222222
302,-2,-24,280.420555556
303,11,-175,289.729305556
304,12,177,861.080555556
305,-1,156,383.371527778
306,8,-102,116.759166667
307,12,70,68.2419444444
308,0,89,17.2465277778
309,17,-26,412.417777778
310,-25,55,57.6736111111
311,-6,-151,208.898472222
312,2,133,92.1763888889
313,-18,164,2.40708333333
314,-17,146,86.8744444444
315,-31,63,58.7644444444
316,20,-158,298.478055556
317,-7,-144,56.0429166667
318,19,-120,45.2977777778
319,-8,-159,822.701944444
320,7,-133,30.1148611111
321,-13,-143,14.5498611111
322,0,152,615.074305556
323,-37,-175,15.9690277778
324,-27,-115,205.051527778
325,34,-122,243.570277778
326,-32,-12,14.0855555556
327,28,143,24.7520833333
328,-27,73,60.37
329,-32,-121,312.042916667
330,-4,80,422.490972222
331,-31,175,1955.63791667
332,17,156,773.548888889
333,-42,-142,45.1331944444
334,-17,-85,322.910972222
335,16,86,16.2233333333
336,-33,4,81.4868055556
337,-6,-28,416.095
338,-25,-24,21.6677777778
339,13,-119,16.5506944444
340,5,-166,8.64430555556
341,54,164,0.662916666667
342,-12,-168,761.938611111
343,-11,132,36.5830555556
